geometry,seed_offset,ergodic_variance_ratio
L1-smooth ball,101,0.5378523385419578
L1-smooth ball,202,0.5348840227933754
L1-smooth ball,303,0.5640505344296953
L1-smooth ball,404,0.5493918972863946
unit ball,101,0.5563179752329521
unit ball,202,0.5411355170959712
unit ball,303,0.5946135473311991
unit ball,404,0.606044322720128
