alpha,step_size,swirl,n_chains,n_draws,runtime_s,min_ess,median_ess,min_ess_per_s,median_ess_per_s,max_split_rhat,median_iat_iterations,msjd,projection_frequency,mean_projection_distance,mean_operator_norm_J,max_operator_norm_J,mean_a,min_a,mean_slack,min_slack,step_divisor
0.0,0.00011035590628378174,1.0,4,1200,5.803889697000045,181.0308391482901,258.5805031036014,31.191295596445016,44.55296647647496,1.0274317168062783,92.81442224738922,0.0016979114391637517,0.0,0.0,2.209431473853133,2.4198974766970496,0.8423905973676434,0.5720508358627905,6.273499053205562,5.30007806803192,1.0
0.1,0.00011035590628378174,1.0,4,1200,6.8427286790001745,193.03780017328506,256.6801965058703,28.21064654597569,37.51138011559668,1.0237930835826896,93.50156469687414,0.0016989116753762775,0.0,0.0,2.209168795686931,2.415776214067322,0.8425001787312346,0.562228251396879,6.273504271740147,5.312878186698302,1.0
0.25,0.00011035590628378174,1.0,4,1200,6.722912703999896,215.71845542851517,257.2469006966032,32.08705287816251,38.26420363060052,1.0186524219800228,93.29558465042726,0.0017021615168451131,0.0,0.0,2.208963631834493,2.409644057842658,0.8422692220184981,0.5817121456093922,6.273052054228455,5.3164836684766446,1.0
0.5,0.00011035590628378174,1.0,4,1200,5.995613424000112,229.98277400268623,272.8317391683875,38.358506084144416,45.5052252161984,1.0164812416517168,87.9663050682955,0.0017144322554767965,0.0,0.0,2.209183009357565,2.400724389348581,0.8418466823473744,0.5679789318992235,6.2706085778300595,5.2965742251656,1.0
1.0,0.00011035590628378174,1.0,4,1200,6.350401776000012,229.0393081858869,384.341809153886,36.06690037337355,60.522439793718846,1.017152433817743,62.44441647614423,0.0017674190629717711,0.0,0.0,2.2099034140125524,2.407172104535079,0.8411655217185056,0.576894298995325,6.2668493315922555,5.275030069258101,1.0
0.0,5.517795314189087e-05,1.0,4,1200,6.325891472999956,94.99570453566561,133.12172237330321,15.016967164410643,21.04394660286075,1.0485046853393696,180.28612890613456,0.000841512214795645,0.0,0.0,2.203951512201316,2.4025443849945387,0.8427067830475741,0.5727089275363656,6.300202913489804,5.4629217747219885,2.0
0.1,5.517795314189087e-05,1.0,4,1200,5.871018227000036,98.45786244546969,137.55442579225294,16.770151043421226,23.429398525737554,1.0427584820021287,174.4763926116558,0.0008417145535091107,0.0,0.0,2.203616422880789,2.3996527742147613,0.842779335240363,0.5567604352786557,6.299952960223891,5.480213356657651,2.0
0.25,5.517795314189087e-05,1.0,4,1200,5.29580859400005,106.09381657034893,138.31436373759257,20.033544394060844,26.11770446052327,1.0393481421485937,173.51777032739963,0.0008422151626555172,0.0,0.0,2.203177588849403,2.3951743020329794,0.8423768182065766,0.5623227626714625,6.299645666563151,5.497325455563443,2.0
0.5,5.517795314189087e-05,1.0,4,1200,5.667216260999908,106.2727795282326,158.53186359590683,18.752201192597887,27.973498150560413,1.0381647313229145,151.38912427835524,0.0008444485672775858,0.0,0.0,2.203298129542413,2.387650829835138,0.8413453401556626,0.5725100881714822,6.29690439669883,5.498685420329387,2.0
1.0,5.517795314189087e-05,1.0,4,1200,6.826027099000044,101.53169566978504,215.92639445903842,14.874200497190905,31.632806510637767,1.0365928409104623,111.14898695051771,0.0008564091458146568,0.0,0.0,2.2040129509196276,2.374443859668463,0.8404850127041463,0.5557669641613128,6.291669926184559,5.478683489050023,2.0
0.0,2.7588976570945435e-05,1.0,4,1200,5.536799311999857,40.28612421179649,72.95946602193054,7.276067262269145,13.177191715041236,1.0875731935850876,328.9497759315557,0.00041932547877962376,0.0,0.0,2.1960929059412697,2.3693915928872573,0.8437922966799689,0.5590454061445396,6.337576216996671,5.693374567325195,4.0
0.1,2.7588976570945435e-05,1.0,4,1200,5.130711858999916,39.57230975215462,74.53336068121813,7.712830273783508,14.526904400307961,1.088320406375563,322.00345966752883,0.00041932726457540894,0.0,0.0,2.1957046806966445,2.373672746423085,0.8437283237423852,0.555141646964438,6.33716770252947,5.699452680137173,4.0
0.25,2.7588976570945435e-05,1.0,4,1200,5.328001565999898,42.47628809227905,72.66424843105,7.972273950393929,13.63818075706838,1.0930860531647444,330.28622077847865,0.0004192307439462312,0.0,0.0,2.195452819642956,2.3789333637354964,0.8431185430433615,0.5689359405045809,6.335712946071944,5.685323199542912,4.0
0.5,2.7588976570945435e-05,1.0,4,1200,6.108468394000056,38.761240807489706,71.47105378793916,6.345492569882543,11.700323088867979,1.0975439393169417,335.8002817645601,0.00041910000070994875,0.0,0.0,2.195727614687169,2.379077328280922,0.8413266360039793,0.5694118716456736,6.331374572245754,5.684911969089356,4.0
1.0,2.7588976570945435e-05,1.0,4,1200,5.581771559999993,38.771334311058254,133.16437983249065,6.9460625348591485,23.85700998349184,1.0891454371543499,180.2283766138508,0.00042138938628382035,0.0,0.0,2.1961851124318605,2.361718470823044,0.8392495156293774,0.594232207973718,6.326747582341984,5.678571779057052,4.0
