alpha,n_states,max_g,Lambda_constraint,max_violation,all_feasible
0.0,80000,4.456982593926451,9.646564605005883,-5.189582011079432,True
0.1,80000,4.4286211673891955,9.646564605005883,-5.217943437616688,True
0.25,80000,4.3864147742948845,9.646564605005883,-5.260149830710999,True
0.5,80000,4.373384235996425,9.646564605005883,-5.2731803690094585,True
1.0,80000,4.383224900432938,9.646564605005883,-5.263339704572945,True
