alpha,step_size,swirl,n_chains,n_draws,runtime_s,min_ess,median_ess,min_ess_per_s,median_ess_per_s,max_split_rhat,median_iat_iterations,msjd,projection_frequency,mean_projection_distance,mean_operator_norm_J,max_operator_norm_J,mean_a,min_a,mean_slack,min_slack
0.0,0.00011035590628378174,1.0,4,3000,15.639878388000056,365.1617911609048,461.77414006942394,23.348122159382065,29.525430352689153,1.0083583767313562,129.9336510939731,0.0017019625205315658,0.0,0.0,2.218940919678247,2.4885641416884225,0.8409827078137309,0.5615810075307767,6.221992253427316,5.189582011079432
0.1,0.00011035590628378174,1.0,4,3000,14.925556696000001,368.7039590182468,464.3957691329971,24.7028614428203,31.11413387062833,1.0078788448921168,129.20014347248878,0.0017030415641215446,0.0,0.0,2.2188655706253293,2.483545820081001,0.8412255973828973,0.562228251396879,6.223046202679334,5.217943437616688
0.25,0.00011035590628378174,1.0,4,3000,15.64410494799995,382.0637263172721,471.4903422834279,24.422217032372807,30.13853102178955,1.0067977426414032,127.25605302840347,0.0017070530799673733,0.0,0.0,2.2187343909235646,2.4726323190986093,0.8414824048726706,0.5817121456093922,6.224448439211693,5.260149830710999
0.5,0.00011035590628378174,1.0,4,3000,14.755822034999937,405.33166341233897,615.7443234793428,27.469270261657822,41.72890686935867,1.0064517335175585,97.4430420421292,0.0017202915974549775,0.0,0.0,2.218582544534212,2.4774943559960625,0.8417592506097048,0.5570109162805952,6.225387657177625,5.2731803690094585
1.0,0.00011035590628378174,1.0,4,3000,17.208942927999942,442.2515340146758,887.1376284782968,25.69893664387178,51.55096580829917,1.0071469550867356,67.6332488600644,0.0017748626386255787,0.0,0.0,2.2186288368779676,2.4765173339429074,0.8419025347329553,0.5663420827863079,6.223912062229863,5.263339704572945
