experiment,method,post_avg_acc_train,post_avg_acc_train_sd,post_avg_acc_test,post_avg_acc_test_sd,last_iterate_acc_test
magic_ball,Projected SGLD,0.7805421924290221,0.0011811883738973513,0.7760147213459515,0.001991177358851638,0.7592034700315459
magic_ball,Non-reversible SGLD,0.717402076761304,0.03657228827190859,0.7169269190325973,0.03490747330977398,0.5586487907465826
magic_ball,Reversible anchored Langevin,0.7807235804416406,0.0007822276860518056,0.7759936908517351,0.0017857948283871415,0.7694716088328074
magic_ball,Non-reversible anchored Langevin,0.7459858044164038,0.016451880079035353,0.7467744479495267,0.014030624615684974,0.5723711882229232
magic_lp,Projected SGLD,0.7814925078864353,0.001333377481979215,0.7746792849631967,0.0022300824428388996,0.7636855941114616
magic_lp,Non-reversible SGLD,0.6219111461619348,0.07462031938749061,0.6231282860147214,0.07131599430559471,0.5110173501577286
magic_lp,Reversible anchored Langevin,0.7814767350157727,0.001080555981405984,0.7744900105152471,0.002071519585510005,0.7704574132492114
magic_lp,Non-reversible anchored Langevin,0.636554942166141,0.07228950452866754,0.6338774973711881,0.07106485112215769,0.5212145110410096
titanic_ball,Projected SGLD,0.798806179775281,0.005343030061101746,0.8115642458100558,0.007271246222608564,0.8037988826815642
titanic_ball,Non-reversible SGLD,0.7986938202247191,0.0034406131136092023,0.8110055865921787,0.007576982233309946,0.7994972067039106
titanic_ball,Reversible anchored Langevin,0.7977247191011237,0.006130115365142347,0.8098882681564247,0.009138576422777354,0.8031284916201119
titanic_ball,Non-reversible anchored Langevin,0.7989185393258427,0.004530479928306781,0.8107821229050279,0.008465227667498512,0.7999441340782121
titanic_lp,Projected SGLD,0.8060955056179775,0.003869967795625789,0.8107821229050279,0.007846782443788572,0.8060335195530726
titanic_lp,Non-reversible SGLD,0.767935393258427,0.02612118134784308,0.7780446927374303,0.03761332824755569,0.7000558659217876
titanic_lp,Reversible anchored Langevin,0.8044943820224719,0.004441401208101653,0.8085474860335197,0.009817122138465289,0.8069273743016759
titanic_lp,Non-reversible anchored Langevin,0.7940308988764044,0.014916461300664317,0.8012290502793296,0.015421218748754918,0.7508379888268155
