alpha,coefficient,ess_bulk,ess_tail,ess_per_s,split_rhat,rank_rhat,iat_draws,iat_iterations,posterior_mean,posterior_sd
0.0,intercept,982.4040817275629,1695.2925589107842,62.814048636166376,1.0027534378487926,1.0027608495880964,12.214932962104488,61.074664810522435,-0.1588308212508072,0.05326956484619016
0.0,x1,461.77414006942394,1191.7850757775218,29.525430352689153,1.005602140516671,1.005605882649171,25.986730218794623,129.9336510939731,1.100395108146554,0.06643155073513708
0.0,x2,365.1617911609048,828.8121971587777,23.348122159382065,1.0063673198643805,1.0063480675210856,32.86214574052279,164.31072870261397,-0.9419319770339398,0.07576532976396637
0.0,x3,436.06844061977824,1129.1143833069063,27.88183065121265,1.0083583767313562,1.0083762771238893,27.518616075367802,137.593080376839,0.695573357264698,0.07175915607550566
0.0,x4,703.9839738048468,1569.8524427601142,45.01211303183723,1.0032341549849901,1.0034110518953625,17.04584258522702,85.2292129261351,0.05754295220460078,0.056920173277261975
0.0,x5,423.4419369198405,817.9515844860366,27.074503165237715,1.003690666393307,1.0051940059915179,28.339186447353832,141.69593223676915,0.5467989308082728,0.07014221606655131
0.0,x6,425.30283816084074,1120.400292016165,27.19348754573188,1.0057105828994273,1.0057942445352694,28.21518909182978,141.0759454591489,-0.32992802938392185,0.0664736693394242
0.0,x7,678.0169801662582,1531.7770708468627,43.351806410878325,1.003635585298141,1.0035032700369952,17.698671789985923,88.49335894992961,0.09886745261197345,0.06180443589269376
0.0,x8,1055.1294208192717,2015.1629969424048,67.464042535576,1.0024513695360673,1.0023991035949078,11.37301241271655,56.86506206358275,0.011292881187332104,0.047878306681086565
0.1,intercept,1024.790294314683,1844.8414181886387,68.66010529371567,1.00301395438799,1.0030049275928343,11.709712773992328,58.54856386996164,-0.15935687747736182,0.05319952726420884
0.1,x1,464.3957691329971,1189.9695153400785,31.11413387062833,1.0054265329990915,1.0054385554363685,25.840028694497757,129.20014347248878,1.1001457495481786,0.06660270270336884
0.1,x2,368.7039590182468,842.6427583770239,24.7028614428203,1.0064707023208468,1.0064345954651033,32.54643652851618,162.7321826425809,-0.9414807317601069,0.07552110316376734
0.1,x3,440.94373247978035,1111.1370046783486,29.54286673929903,1.0078788448921168,1.0078579119444235,27.214356653885005,136.07178326942503,0.6950280632886626,0.07163876014409867
0.1,x4,700.9172986290511,1567.234670485053,46.960881453547024,1.0030428413176138,1.003228724167121,17.12042208613088,85.60211043065439,0.05780791162576032,0.056994165877951516
0.1,x5,428.5294186770317,881.9311544303745,28.71111794388722,1.0037771627942371,1.0051546064622954,28.00274491549902,140.01372457749508,0.5469569229609978,0.07024879268401418
0.1,x6,429.4581884451333,1068.887202795063,28.773344753045404,1.005884460386949,1.0059748809536913,27.94218464769847,139.71092323849234,-0.33004733936952296,0.06639808683706455
0.1,x7,680.322068983,1539.58237137185,45.581018037693966,1.0037671906042727,1.0036217950822017,17.638704588752447,88.19352294376223,0.09897586281249009,0.06168520348987288
0.1,x8,1090.0916781409744,2130.219626007359,73.03524420185381,1.0020666408388923,1.0020316162299276,11.008248425916447,55.04124212958224,0.011139295418352487,0.047911029730579806
0.25,intercept,1258.3100576581653,2182.5758775420977,80.43349631319344,1.0028316429507933,1.0028200793312922,9.53660024170286,47.6830012085143,-0.15991834295727766,0.05317670561146445
0.25,x1,471.4903422834279,1206.0672046077996,30.13853102178955,1.004665743151308,1.0046829047892334,25.451210605680693,127.25605302840347,1.1000668928892383,0.0669947117446137
0.25,x2,382.0637263172721,897.4446445118107,24.422217032372807,1.006382531168045,1.006358354931421,31.408372932098242,157.0418646604912,-0.9407038874269086,0.07528076996997451
0.25,x3,462.00093124228044,1024.8728418438918,29.531950391405797,1.0067977426414032,1.0067897917531714,25.9739736189125,129.8698680945625,0.6940888079512569,0.07159949223330475
0.25,x4,757.4810948109955,1729.455111145858,48.41958663207748,1.0027693595999094,1.0029621589875286,15.841979532168,79.20989766084,0.058106022326249375,0.05739403347725986
0.25,x5,469.29398437189724,1063.9698226303456,29.99813577905555,1.003459298092159,1.0047703078763164,25.570325637267207,127.85162818633603,0.5472997870129023,0.07018815953259076
0.25,x6,442.9137437266676,1048.1521823390565,28.311862212564147,1.0061453210798676,1.0062442331411288,27.093311440354583,135.4665572017729,-0.33021898220517,0.0663245257637654
0.25,x7,695.4529185202033,1596.6397845505596,44.454631366373874,1.0040132577480936,1.0038580708518554,17.254942326698128,86.27471163349064,0.09906807900231013,0.06153466214087392
0.25,x8,1146.5645858578603,2211.1150598041536,73.29051995425567,1.0014356117049237,1.0014349374193672,10.466048008121229,52.33024004060614,0.010907774823021084,0.047965844812401924
0.5,intercept,1883.0774165316918,3402.724134370249,127.61589371741836,1.0016538367911794,1.001649174345279,6.372547349700555,31.862736748502773,-0.16017249832085378,0.05352877690828294
0.5,x1,484.7623770455066,1268.6955495015839,32.85227863928414,1.0037404829019883,1.003751357198966,24.754396315029027,123.77198157514513,1.1003688290826477,0.06769704628194562
0.5,x2,405.33166341233897,859.1138322308763,27.469270261657822,1.0059624372253886,1.0059644461948356,29.605385128258646,148.02692564129325,-0.9398541518798574,0.07520569228980754
0.5,x3,520.9740959396731,1063.6250537468932,35.30634177506027,1.005293520617735,1.0058493312974182,23.03377479518589,115.16887397592946,0.6929961123132538,0.07180774879279186
0.5,x4,1019.4275611390669,1988.9625252204355,69.08646354781489,1.0021127086214179,1.0022700786870493,11.771312114214068,58.85656057107034,0.05828889388487911,0.058173898734340035
0.5,x5,615.7443234793428,1252.925871783028,41.72890686935867,1.0025931073204526,1.0045435602797792,19.48860840842584,97.4430420421292,0.5478401801470058,0.06987942866644167
0.5,x6,476.8434139017794,1039.5072752040708,32.31561161219856,1.0064517335175585,1.0065457094643093,25.16549385008759,125.82746925043794,-0.3304258013114511,0.06636324132127207
0.5,x7,739.7555736770686,1714.80686346043,50.133131988337354,1.0042682101396665,1.004131185026579,16.221574296969685,81.10787148484843,0.09899747388149606,0.06143985841098139
0.5,x8,1315.6208386209853,2376.0116955721132,89.15944062624301,1.0007376589093355,1.0016649078772646,9.121168993171487,45.605844965857436,0.010671602496651464,0.0481014134647341
1.0,intercept,3141.333152329432,5101.539786521146,182.54073858414057,1.000373126232622,1.0003689829650153,3.8200341759680887,19.100170879840444,-0.1600439294709443,0.05533784990597465
1.0,x1,513.4931181410401,1285.4500138036842,29.83873677130727,1.002725873233861,1.0027050727179776,23.369349220185622,116.84674610092812,1.1009337222652815,0.06890930412967648
