alpha,accuracy,balanced_accuracy,roc_auc,log_loss,brier_score,sensitivity,specificity,tn,fp,fn,tp,l2_error_vs_beta_true
0.0,0.719,0.7155744605073577,0.7967047643716307,0.5410715473935286,0.18278833871841216,0.6838565022421524,0.7472924187725631,414,140,141,305,0.3288732639242665
0.1,0.719,0.7155744605073577,0.7967250004047207,0.5410601060074791,0.1827843278439255,0.6838565022421524,0.7472924187725631,414,140,141,305,0.32894479233495416
0.25,0.719,0.7155744605073577,0.7967411892311927,0.5410445468343122,0.1827787990835627,0.6838565022421524,0.7472924187725631,414,140,141,305,0.3290993362347669
0.5,0.718,0.7144533842741739,0.7967371420245746,0.5410342635784898,0.18277511341153652,0.6816143497757847,0.7472924187725631,414,140,142,304,0.32932089931645414
1.0,0.718,0.7144533842741739,0.7967411892311926,0.5410343603540767,0.18277520765274133,0.6816143497757847,0.7472924187725631,414,140,142,304,0.3292657666969783
