mc_se_mean,ess,run,coordinate,mean_langevin,mean_reference,mean_abs_error,var_langevin,var_reference,var_rel_error,wasserstein_1d,energy_1d,mean_error_in_se,var_rel_se,energy_multivariate,step_divisor,alpha,step_size,n_iterations
0.04933717234585937,633.9290915010961,"alpha=0.0, h/1",0,0.011892325955313065,0.0011878959527568806,0.010704430002556185,1.5430826662150732,1.4084929042637473,0.09555586793792131,0.04692644385053553,0.029329120906237186,0.21696480551250233,0.056168736759651325,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.037117464776103476,819.5589712915668,"alpha=0.0, h/1",1,0.06726545448637998,-0.002540596683407565,0.06980605116978754,1.1291114689701356,1.1251024170612762,0.0035632773053059915,0.06980605116978753,0.046256518893379416,1.8806793942114612,0.049399766201573346,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.029624870938353857,1023.5761769003833,"alpha=0.0, h/1",2,-0.00645559737945171,-0.0014395191288716631,0.0050160782505800465,0.8983242084597517,0.9010361175215779,0.003009767321298553,0.015612582520967314,0.009975251276255905,0.16931983470975995,0.04420332242182344,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.026342927507159344,1147.2691397271105,"alpha=0.0, h/1",3,-0.000878004108845738,-0.001020348182037847,0.00014234407319210893,0.7961472240734078,0.731556624783753,0.08829200242530452,0.03269024887239914,0.023151630349707217,0.005403502444951245,0.04175248627941569,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.01964290686750323,1609.5700087917885,"alpha=0.0, h/1",4,-3.554180941559015e-05,0.00044024920508148004,0.0004757910144970702,0.6210425927931716,0.5928468969090998,0.04755982704990879,0.015204721399750534,0.010840054614407641,0.02422202669423678,0.03525007636893831,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.015386592694301798,2096.5728462293237,"alpha=0.0, h/1",5,-0.008467046248101089,-0.004125987180914807,0.004341059067186282,0.4963578237764796,0.4994483543447174,0.0061878881797351026,0.017341450152254127,0.013155231840509525,0.2821325782409208,0.030885882823738966,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.014938010371343709,2002.6300403403272,"alpha=0.0, h/1",6,0.007720021933048304,-0.0005370047923058348,0.008257026725354139,0.4468751858350895,0.42111693283233426,0.061166509808834445,0.016726529816725746,0.013582011878544816,0.5527527776519678,0.03160200479141846,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.011801301108136531,2572.9523844660944,"alpha=0.0, h/1",7,-0.011635336603863232,-2.7481092369901892e-05,0.011607855511493329,0.3583368998358279,0.35122558689634725,0.0202471380354738,0.015861778470765923,0.019294821428032523,0.9836081127944588,0.02788040789396364,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.01133958113941506,2636.1896633595707,"alpha=0.0, h/1",8,0.010009607780718719,-0.0008461740890152895,0.010855781869734009,0.33897734877200714,0.3078537772330445,0.10109855340641849,0.026634727429403492,0.026185526556903205,0.9573353491868035,0.027543978546250028,0.006347927954165389,1.0,0.0,0.01666666666666667,40000
0.049808647542053046,625.0762706811153,"alpha=0.5, h/1",0,0.03751551438935059,0.0011878959527568806,0.03632761843659371,1.5507525762675591,1.4084929042637473,0.10100134091777647,0.05373597017171355,0.038345733588198275,0.7293436025526008,0.056565091193787664,0.006571733059807627,1.0,0.5,0.01666666666666667,40000
0.036676426968577286,842.3708162645919,"alpha=0.5, h/1",1,0.05906830766923794,-0.002540596683407565,0.06160890435264551,1.1331237758586612,1.1251024170612762,0.007129447662494981,0.061609562655002434,0.04020084057046331,1.6797957010760414,0.048726289550448554,0.006571733059807627,1.0,0.5,0.01666666666666667,40000
0.029500448651298746,1036.2528925303393,"alpha=0.5, h/1",2,-0.010930415410966258,-0.0014395191288716631,0.009490896282094595,0.9018265099892708,0.9010361175215779,0.0008772039792001349,0.015254305814900926,0.01038453699059927,0.32172040480736086,0.0439321158242852,0.006571733059807627,1.0,0.5,0.01666666666666667,40000
0.02653685046574097,1146.2338104559446,"alpha=0.5, h/1",3,0.0023177069192945377,-0.001020348182037847,0.0033380551013323847,0.8071829301661708,0.731556624783753,0.10337724083186696,0.038483094853347194,0.027076923506159898,0.12578942273657562,0.041771338373087726,0.006571733059807627,1.0,0.5,0.01666666666666667,40000
