experiment,eta,s,train,train_sd,test,test_sd,d_train,t_train,d_test,t_test,U,proj,nonfinite
magic_ball,0.0001,reversible,0.7829620136698213,0.0011331373841652827,0.7834674027339645,0.0014642302586501583,0.0,0.0,0.0,0.0,7560.426564324198,0.68286,0
magic_ball,0.0001,0,0.7829620136698213,0.0011331373841652827,0.7834674027339645,0.0014642302586501583,0.0,0.0,0.0,0.0,7560.426564324198,0.68286,0
magic_ball,0.0001,0.25,0.7829626708727655,0.0011651403720455747,0.7835515247108308,0.0014275193437352895,6.572029442686311e-07,0.02613875530467399,8.412197686645584e-05,1.9243434214662678,7560.440995463266,0.68307,0
magic_ball,0.0001,1,0.7828719768664563,0.0012270768104655232,0.783359621451104,0.001377674113945426,-9.00368033648813e-05,-1.4720184385385497,-0.00010778128286014654,-1.2145358289130557,7560.584794074925,0.68602,0
magic_ball,0.0001,2,0.7600716351209253,0.02207304215536332,0.760060462670873,0.02320855242961481,-0.022890378548895883,-10.32133810948212,-0.023406940063091488,-9.961656721192377,8152.375238253944,0.87987,0
magic_ball,0.0001,5,0.5668815720294427,0.05843832408058248,0.5659621451104101,0.05535865110306318,-0.21608044164037857,-36.92141854295589,-0.21750525762355416,-39.26340582269063,13856.929478157588,0.99928,0
magic_ball,3e-05,reversible,0.7830034174553103,0.0010135984199712619,0.7834148264984226,0.0012537352524627785,0.0,0.0,0.0,0.0,7560.1307083707015,0.44223,0
magic_ball,3e-05,0,0.7830034174553103,0.0010135984199712619,0.7834148264984226,0.0012537352524627785,0.0,0.0,0.0,0.0,7560.1307083707015,0.44223,0
magic_ball,3e-05,0.25,0.7830283911671924,0.0010011228098089477,0.7834043112513145,0.001210888824844423,2.4973711882230186e-05,1.0999509112578751,-1.051524710830698e-05,-0.24882462912669542,7560.114012574959,0.4421,0
magic_ball,3e-05,1,0.782971214511041,0.0010328837390785283,0.7834516298633019,0.0011217850465683617,-3.220294426919401e-05,-0.5880004276369031,3.680336487907443e-05,0.49125479850164616,7560.18164275993,0.44221,0
