alpha,h,s,n_chains,n_draws_per_chain,n_iter_per_chain,sim_time,runtime_s,ess_x1,ess_x2,ess_x3,ess_r,ess_min,ess_mean,ess_tail_min,ess_per_sec_min,ess_per_sec_mean,ess_frac,iact_mean,rhat_max,rhat_x1,rhat_x2,rhat_x3,projection_fraction,max_norm,a_min,a_max,mean_drift_norm,mean_nr_drift_norm,mean_radius,mean_abs_x1,sd_x1,ks_x1,ks_r,bias_mean_abs_x1,bias_mean_radius
0.0,0.02,1.0,4,16000,40000,800.0,7.978913543999965,997.5216215262388,1018.639373555516,1080.1482625249682,1832.1438866897386,997.5216215262388,1032.1030858689076,1465.781056876062,125.01973057175955,129.35383748393102,0.01612661071670168,62.00930980273123,1.0044154915076324,1.002548566566183,1.0044154915076324,1.0033341469753787,0.02965625,3.000000000000001,0.8902396705278045,0.9978372757870356,1.6429219387972571,0.0,1.6651065104058274,0.7994441474313578,1.0426163584663324,0.030488749999999953,0.030124999999999957,0.019166094142120116,0.051200036632686796
0.5,0.02,1.0,4,16000,40000,800.0,7.937319563999949,1028.8732176249093,1065.5438605471645,1074.1933305261005,1809.5198229152068,1028.8732176249093,1056.2034695660582,1481.2156311499093,129.62476933540734,133.06802895482676,0.01650317921196966,60.594385309389715,1.0041473672220471,1.002770688468618,1.0037944278099158,1.0041473672220471,0.02980625,3.000000000000001,0.8907847207333957,0.9978371433542579,1.8046703756347802,0.6546461156936701,1.6710442140638528,0.8045577322827473,1.04857537181197,0.029688124999999954,0.030679374999999953,0.02427967899350958,0.05713774029071228
1.0,0.02,1.0,4,16000,40000,800.0,7.453020607000099,1092.6993902480062,1131.8336009822033,1169.0796786794492,1724.647463930547,1092.6993902480062,1131.2042233032196,1498.3187464822222,146.611615325699,151.77795459746332,0.017675065989112806,56.57687505189307,1.0029718962338698,1.0029718962338698,1.0029507752853153,1.002700340940337,0.03006875,3.000000000000001,0.8789894871871573,0.9978373321732296,2.1925544392239846,1.3195279254836574,1.6760757816432883,0.8143522699224186,1.0606207395378753,0.030477499999999935,0.03190749999999998,0.03407421663318089,0.06216930787014774
2.0,0.02,1.0,4,16000,40000,800.0,7.987190003000023,1302.7608782806199,1353.9146313697825,1337.3943683182654,1991.4182868310447,1302.7608782806199,1331.3566259895558,1841.2961137082502,163.10628366062372,166.686484920165,0.02080244728108681,48.07126712005568,1.003487359413938,1.0019051069427287,1.003487359413938,1.0020072546041314,0.03136875,3.000000000000001,0.8892001211128355,0.9978365703185985,3.2347954068353495,2.644465502862772,1.676695937275265,0.8233154055694749,1.0712930890893555,0.029476874999999958,0.032931874999999944,0.043037352280237196,0.06278946350212444
4.0,0.02,1.0,4,16000,40000,800.0,7.805461931000082,1697.1445114095757,1656.6691100445018,1907.7231010767375,1799.873750954899,1656.6691100445018,1753.8455741769383,2653.1646230639776,212.24485170632812,224.69465480465487,0.02740383709651466,36.49124013101013,1.0020566689170929,1.0016806835296241,1.0020566689170929,1.001707527526881,0.042225,3.000000000000001,0.8862402787254912,0.9978370573722746,5.954236025572062,5.6118868976538945,1.7550697446347872,0.8514637569639565,1.096366259375616,0.02857437500000004,0.07980374999999995,0.07118570367471877,0.1411632708616466
8.0,0.02,1.0,4,16000,40000,800.0,6.79694884699984,2614.4472836078635,2842.0505590503326,2741.616165342092,1910.1651242724258,2614.4472836078635,2732.704669333429,4542.631040899781,384.6501338261322,402.0487325779478,0.04269851045833483,23.420020728259342,1.0025886915683027,1.001356464127231,1.0011288973912165,1.0016940615093066,0.10523125,3.000000000000001,0.8889795455814322,0.9978373775339685,14.299180355475343,14.153427482476175,2.108146654572258,1.012755975898223,1.2855517534230936,0.069934375,0.2892625,0.23247792260898525,0.49424018079911725
