alpha,h,s,n_chains,n_draws_per_chain,n_iter_per_chain,sim_time,runtime_s,ess_x1,ess_x2,ess_x3,ess_r,ess_min,ess_mean,ess_tail_min,ess_per_sec_min,ess_per_sec_mean,ess_frac,iact_mean,rhat_max,rhat_x1,rhat_x2,rhat_x3,projection_fraction,max_norm,a_min,a_max,mean_drift_norm,mean_nr_drift_norm,mean_radius,mean_abs_x1,sd_x1,ks_x1,ks_r,bias_mean_abs_x1,bias_mean_radius,w1_x1,w1_x2,w1_x3,w1_r,sw1,sw2,w1_coord_mean,w2_exact,w1_x1_chain,w1_x1_chain_sd,w1_x1_ratio,w1_coord_mean_chain,w1_coord_mean_chain_sd,w1_coord_mean_ratio,w1_r_chain,w1_r_chain_sd,w1_r_ratio,sw1_chain,sw1_chain_sd,sw1_ratio,sw2_chain,sw2_chain_sd,sw2_ratio,n_wasserstein,n_wasserstein_per_chain
0.0,0.02,1.0,4,16000,40000,800.0,6.928738634000183,997.5216215262388,1018.639373555516,1080.1482625249682,1832.1438866897386,997.5216215262388,1032.1030858689076,1465.781056876062,143.96871843762096,148.95973717412997,0.01612661071670168,62.00930980273123,1.0044154915076324,1.002548566566183,1.0044154915076324,1.0033341469753787,0.02965625,3.000000000000001,0.8902396705278045,0.9978372757870356,1.6429219387972571,0.0,1.6651065104058274,0.7994441474313578,1.0426163584663324,0.030488749999999953,0.030124999999999957,0.019166094142120116,0.051200036632686796,0.0654472807044393,0.038914457441676396,0.03652011889203248,0.04866192550743289,0.046675655824684546,0.05599010783165621,0.04696061901271605,0.2720641103195989,0.06767392824145596,0.01607725848066133,0.9670974096690215,0.06329156848220292,0.014186949131771792,0.7419727483277808,0.05116599990970725,0.0361850135875717,0.9510597973909763,0.06436345274739892,0.016021541262504643,0.7251888118536466,0.07891402241368624,0.021134883616179607,0.709507716361772,20000,5000
0.0,0.01,1.0,4,32000,80000,800.0,16.12635794300877,1136.9670021503416,1174.9151326978995,1264.2297521641308,2175.6903918345133,1136.9670021503416,1192.0372956707906,1768.0749074831597,70.50364416866046,73.91856858712306,0.009312791372428051,107.37919062169195,1.0032460906170142,1.0032460906170142,1.0019880465493531,1.0032087538569334,0.021209375,3.000000000000001,0.8842232554268775,0.9978368413619837,1.6410229090106325,0.0,1.6408085107729657,0.794119138327816,1.031904684275914,0.025560312500000015,0.021549375000000093,0.013841085038578282,0.026902036999825185,0.049852059701278345,0.02725627491232132,0.051738605401300646,0.029888584209644676,0.03860357871702438,0.04694448777809017,0.042948980004966775,0.2755472681475843,0.07605335544901555,0.01665180347156563,0.6554879716608696,0.06704075574773238,0.012273709402948271,0.6406398544577788,0.049036266061822695,0.026714205375754158,0.6095199861254221,0.06288412510210724,0.01447160232603286,0.6138843254055351,0.07490311231210438,0.014848245688012936,0.6267361439199358,20000,5000
0.0,0.005,1.0,4,64000,160000,800.0,29.19018970898469,1097.6510065571388,905.036490962626,1225.5472139738415,2389.9514610948463,905.036490962626,1076.0782371645355,1835.7628381361603,31.004817028786125,36.86437970745084,0.0042034306139239665,237.9009175713465,1.0050110781515988,1.0027184225131682,1.0050110781515988,1.0032412386166307,0.015865625,3.000000000000001,0.8679527844031126,0.9978353775492687,1.6397078019930476,0.0,1.6463160961382661,0.8036710114420564,1.0458149582777092,0.012355312500000104,0.020201718750000097,0.02339295815281872,0.03240962236512557,0.033683016931386124,0.027708880583584054,0.05628428409361023,0.0339154863746538,0.03845170476212004,0.04629104546430082,0.0392253938695268,0.2802753163892551,0.05561070588267504,0.028669538182691922,0.6056930297279275,0.06262532188908722,0.016724837019258157,0.626350375316187,0.03605524286910442,0.025665787231160028,0.9406533884068171,0.06144343561951879,0.014798404626427678,0.6258065548324425,0.07636693010452447,0.01762971948899595,0.6061661166808936,20000,5000
2.0,0.02,1.0,4,16000,40000,800.0,7.487121404003119,1302.7608782806199,1353.9146313697825,1337.3943683182654,1991.4182868310447,1302.7608782806199,1331.3566259895558,1841.2961137082502,174.00023426681398,177.8195589666441,0.02080244728108681,48.07126712005568,1.003487359413938,1.0019051069427287,1.003487359413938,1.0020072546041314,0.03136875,3.000000000000001,0.8892001211128355,0.9978365703185985,3.2347954068353495,2.644465502862772,1.676695937275265,0.8233154055694749,1.0712930890893555,0.029476874999999958,0.032931874999999944,0.043037352280237196,0.06278946350212444,0.0573665892211809,0.01617360847386687,0.05187600938587993,0.05610518422570377,0.042630771583788425,0.052419341531904966,0.04180540236030924,0.26715867723547093,0.06073935758334495,0.02071155177335983,0.9444714515207702,0.056997751555379055,0.010084614639097406,0.733457043822002,0.05628549625887215,0.021047756886909994,0.9967964743112671,0.05637905523548693,0.00974450917061583,0.7561455474151887,0.07058707680487371,0.014530646717632137,0.7426195261890439,20000,5000
2.0,0.01,1.0,4,32000,80000,800.0,14.84289511400857,1359.1430245920199,1429.065741656678,1471.453953438257,2199.2455056707186,1359.1430245920199,1419.887573228985,2018.3398399265811,91.568593199131,95.66109322492684,0.011092871665851446,90.14798242716746,1.003096096833997,1.00184393631405,1.0028656891215868,1.003096096833997,0.02165,3.000000000000001,0.8683809322294086,0.9978372740940261,3.2055945465842335,2.61094744404115,1.6561119197221736,0.8046261230105194,1.0470420522250916,0.020668437500000025,0.02286750000000004,0.024348069721281673,0.04220544594903308,0.035492363488563765,0.02237664097394227,0.05633554898013404,0.048459042398818285,0.03824067427169558,0.04805660400580993,0.03806818448088003,0.27550653121858987,0.05636219625451751,0.022370470093798677,0.6297193127160832,0.06600145693219027,0.023638975858059352,0.5767779417353042,0.05426715148955386,0.03480957419737234,0.8929719188991593,0.060711707261106154,0.022874983395224743,0.6298731496255215,0.07315787943114391,0.025099133755761133,0.6568889691648422,20000,5000
2.0,0.005,1.0,4,64000,160000,800.0,28.315798862982774,1456.772491366749,1173.4285071136142,1296.160721612111,2216.862506423504,1173.4285071136142,1308.7872400308247,2317.593950310159,41.440769967031954,46.221095380847665,0.005112450156370409,195.60092898978039,1.005720045890872,1.0015420097607879,1.005720045890872,1.0024913914780185,0.015921875,3.000000000000001,0.8750863157462807,0.9978373856589452,3.2042584759816317,2.6106553778011885,1.655844727792674,0.7878808307759579,1.0270861330310543,0.005858281250000097,0.02688968749999998,0.007602777486720225,0.04193825401953344,0.015007010498106472,0.029917203999501686,0.04336028151946726,0.0411378693552588,0.028999666502425817,0.03580864609234594,0.029428165339025137,0.2767175985441776,0.03660804128179107,0.005217996487620946,0.40993754302749313,0.04730813354196542,0.011905136943668588,0.6220529776961169,0.04172422656325364,0.018894300925990294,0.9859468405698084,0.04878354687962219,0.013732721546409254,0.5944558843575911,0.06157862902017563,0.017114459949903748,0.5815109342660681,20000,5000
