geometry,seed_offset,ergodic_variance_ratio
L1-smooth ball,101,0.525339903803333
L1-smooth ball,202,0.5185637210183085
L1-smooth ball,303,0.5531212843102408
L1-smooth ball,404,0.524500078721099
unit ball,101,0.5156479060950963
unit ball,202,0.500089877060901
unit ball,303,0.5616207302312708
unit ball,404,0.5548025420049977
