experiment,h,rev_train,nonrev_train,paired_dtrain,paired_dtrain_se,t_train,win_train,rev_U,nonrev_U,proj_nonrev
magic_ball,1e-05,0.7811070583596215,0.7638226209253418,-0.017284437434279695,0.0024148817631253713,-7.157467375094154,0.025,7567.2272270571675,7827.963038333042,0.673775
magic_ball,3e-06,0.7802888406940063,0.7771950578338591,-0.003093782860147218,0.0007943536829999379,-3.8947170842883345,0.3,7572.583754381425,7627.554630060241,0.2817
magic_ball,1e-06,0.776984752891693,0.7773626445846478,0.0003778916929547876,0.0007460040267540115,0.5065544948853127,0.6,7719.051024130509,7715.813254053721,0.0
magic_ball,3e-07,0.7501067954784437,0.7556075841219768,0.005500788643533117,0.001696970979573334,3.2415337149231442,0.7,8481.345751859351,8463.353469289856,0.0
magic_ball,1e-07,0.6278670478443743,0.6268270241850683,-0.0010400236593059956,0.005980988841091846,-0.17388824606402983,0.375,9886.005849411213,9898.342069734583,0.0
magic_lp,1e-05,0.7805484358569926,0.5542898922187172,-0.2262585436382755,0.01251504543391582,-18.078923071674513,0.0,7403.842312993802,15800.398784560315,0.92615
magic_lp,3e-06,0.7800653916929547,0.6742951498422712,-0.10577024185068348,0.012964021771368153,-8.158752254202753,0.0,7452.14032547535,10493.273537414778,0.540975
magic_lp,1e-06,0.7780132754994742,0.7708366193480547,-0.007176656151419561,0.0016175554294058424,-4.4367296606680595,0.275,7647.791174870152,7734.874373847631,0.0
magic_lp,3e-07,0.7566377497371188,0.760429810725552,0.003792060988433249,0.001976183163622672,1.9188813356155567,0.65,8352.769182766633,8324.730006117092,0.0
magic_lp,1e-07,0.6445961487907466,0.6518401682439537,0.007244019453207154,0.006288249339385713,1.1519930368910607,0.575,9700.248625148486,9641.648384239928,0.0
titanic_ball,3e-05,0.7889044943820226,0.790625,0.0017205056179775274,0.0023369426371113475,0.7362207315898063,0.45,367.141707065314,365.7724723376286,0.09716666666666667
titanic_ball,1e-05,0.7503862359550562,0.7615870786516854,0.011200842696629219,0.005024742889203678,2.229137478993344,0.625,388.3498808168062,384.71903189473085,6.666666666666667e-05
titanic_ball,3e-06,0.6749648876404495,0.6786165730337078,0.003651685393258422,0.006100074362506436,0.598629652074929,0.55,441.99107600259197,441.6259697008867,0.0
titanic_lp,3e-05,0.7981390449438203,0.7944873595505617,-0.00365168539325843,0.002508305536512211,-1.4558375525240375,0.375,347.28771799361937,349.27537621456906,0.055175
titanic_lp,1e-05,0.7720856741573033,0.7837078651685394,0.011622191011235957,0.003230645324626599,3.5974828071166436,0.725,369.63681549777135,363.43365652339935,0.0
titanic_lp,3e-06,0.7135884831460675,0.7247191011235955,0.011130617977528082,0.005499320310696731,2.0239988487082505,0.65,420.011123261186,417.0257464290227,0.0
