dataset,h,Lam,D,rev_train,rev_test,rev_test_sd,nonrev_train,nonrev_test,nonrev_test_sd,d_train,t_train,d_test,t_test,rev_norm,nonrev_norm,rev_U,nonrev_U,proj_rev,proj_nonrev
magic,0.0001,4.0,3.8108899980829287,0.7758664125481949,0.7703732912723449,0.0068526244341016295,0.5167619610935856,0.517214335786891,0.1013080618362684,-0.2591044514546092,-19.103071001895916,-0.2531589554854539,-19.385986086708133,1.9118336861243286,1.8318891085708158,7528.72023250493,17418.412591176893,0.3156833333333333,0.9916333333333334
magic,0.0001,2.0,1.8108899980829287,0.7743888012618296,0.7703689099193832,0.009469103702041185,0.5289990799158779,0.5278960743077462,0.09233441952041808,-0.24538972134595163,-19.979796614550118,-0.2424728356116369,-19.92201282715237,1.403226454221719,1.3434694576769897,7691.042196329309,14607.603734975732,0.7156666666666667,0.9883666666666666
magic,0.0001,1.0,0.8108899980829287,0.7702265159481249,0.7675604626708729,0.01386843540137379,0.5003231247809324,0.5008017875920084,0.09113887593728584,-0.2699033911671925,-21.815147450690652,-0.2667586750788643,-21.97186843230296,0.985014293613739,0.9499710247974379,8051.97994071934,13185.934715790547,0.9153833333333333,0.9856333333333334
magic,0.0001,0.5,0.3108899980829287,0.7605886347704172,0.7598711882229232,0.019960753279385752,0.5672603399929899,0.5667762004907115,0.06660027680314934,-0.19332829477742727,-20.87134100413519,-0.19309498773221165,-21.8226421873721,0.6405066039958816,0.6269969215203822,8601.427850860535,10871.269045941635,0.9847333333333333,0.98815
magic,1e-05,4.0,3.8108899980829287,0.7807779092183667,0.7743559411146163,0.002891014406801558,0.5731981685944618,0.5722397476340694,0.06582301050084899,-0.2075797406239047,-23.32255054479401,-0.2021161934805468,-23.74011311960141,1.951016271013816,1.83254556586367,7398.7804868593485,14938.382808198345,0.051283333333333334,0.9120833333333334
magic,1e-05,2.0,1.8108899980829287,0.7814274447949526,0.7762837364178059,0.0026115975916975783,0.6016243866105854,0.6005564318261479,0.07787222652522964,-0.17980305818436731,-17.225213329589355,-0.1757273045916579,-17.337578081930626,1.4146297339857863,1.3443292030723952,7564.041145821179,11870.11179683283,0.48236666666666667,0.8981
magic,1e-05,1.0,0.8108899980829287,0.7813014808973011,0.7774009814230635,0.0028318822577011833,0.6989024710830705,0.6956361724500526,0.06059850747494592,-0.08239900981423065,-10.424850947778992,-0.08176480897301087,-10.361395852839069,0.9892597619332676,0.9662527425418908,7924.56418945197,9165.697260113731,0.7914166666666667,0.9088666666666667
magic,1e-05,0.5,0.3108899980829287,0.779194050122678,0.77734402383456,0.004461633140867203,0.745234183315808,0.7441903259726604,0.026543110017700492,-0.03395986680686995,-10.053948851922739,-0.03315369786189976,-9.602750595212722,0.6417558290251928,0.639648896437298,8471.599358195133,8742.981038709904,0.9337666666666666,0.9576
titanic,0.0001,4.0,3.8531423678231564,0.8011704119850186,0.8068901303538177,0.011378041826257722,0.7688670411985019,0.7839851024208566,0.03001724195658912,-0.03230337078651684,-7.889197107589145,-0.022905027932960897,-5.439215488355471,1.8963471530537235,1.925983088710883,345.2092576040675,364.2856217626726,0.17573333333333332,0.2583166666666667
titanic,0.0001,2.0,1.8531423678231567,0.7899110486891384,0.8028864059590316,0.011731693276038726,0.7781601123595505,0.7900372439478587,0.027738965904736252,-0.011750936329588011,-4.406866507651588,-0.012849162011173188,-3.580666052907696,1.4089302365043814,1.4156261574080953,364.69021518219523,370.03296785970207,0.27781666666666666,0.3123166666666667
titanic,0.0001,1.0,0.8531423678231566,0.7720973782771535,0.7847299813780261,0.01995718234331119,0.7668305243445693,0.7770949720670391,0.027651263983513513,-0.005266853932584257,-1.7658143302675502,-0.007635009310986964,-2.1009609986400877,1.0180365802557463,1.018836757955207,387.07329881878366,389.6161917441958,0.38055,0.39531666666666665
titanic,0.0001,0.5,0.35314236782315656,0.7502106741573034,0.7544692737430166,0.025968717823159092,0.7480102996254682,0.7518621973929237,0.028951995663403597,-0.0022003745318352067,-0.8258116803333319,-0.0026070763500931184,-0.6627932860090919,0.6921495903240216,0.6920308873388241,412.04609570589975,412.9878808077845,0.486875,0.49370833333333336
titanic,1e-05,4.0,3.8531423678231564,0.7821629213483144,0.7944134078212293,0.016093172549286057,0.7842696629213481,0.7990689013035384,0.020285800662358508,0.002106741573033712,0.8558117743426126,0.004655493482309122,1.6542518445268817,1.461375131104822,1.4836598207506917,365.2318774834058,363.6324958144404,0.0,0.0
titanic,1e-05,2.0,1.8531423678231567,0.7757724719101123,0.7872439478584731,0.01941506252006756,0.7816479400749062,0.7961824953445065,0.022096215285941783,0.005875468164794001,2.897123372320967,0.008938547486033517,2.8314281092770557,1.3392008082654592,1.3471609581757287,371.2741287596935,369.9994199790429,0.00515,0.007466666666666667
titanic,1e-05,1.0,0.8531423678231566,0.763576779026217,0.7730912476722535,0.026586060479458988,0.7662453183520598,0.7764432029795157,0.02743600478455548,0.002668539325842691,1.0194921849184093,0.003351955307262568,0.9210009834422527,1.015415319119342,1.017842329061769,389.10999217237196,389.10611970819576,0.056925,0.061066666666666665
titanic,1e-05,0.5,0.35314236782315656,0.7497893258426966,0.7533519553072626,0.02857560156673924,0.7520131086142322,0.7556797020484172,0.03223014202330663,0.0022237827715355764,0.8098109238651188,0.0023277467411545573,0.5523289040061358,0.6901439397721768,0.6914700604141083,412.6456186510832,413.046161496771,0.12790833333333335,0.132875
