dataset,Lam,h,init,rev_train,nonrev_train,d_train,t_train,rev_test,nonrev_test,d_test,t_test,rev_U,nonrev_U,proj_rev,proj_nonrev
magic,4.0,1e-05,unit ball (as specified),0.7806657465825446,0.5601938748685594,-0.22047187171398527,-25.864035529026335,0.774111461619348,0.5602234490010515,-0.2138880126182965,-26.283621086640878,7401.083881264241,15389.618144156533,0.05492,0.92525
magic,2.0,1e-05,unit ball (as specified),0.7814629337539433,0.5856946635120925,-0.19576827024185067,-24.656632560045274,0.7762881177707677,0.586577287066246,-0.18971083070452155,-25.131416553554974,7565.45514714361,12469.81116772279,0.48958,0.90249
titanic,4.0,1e-05,unit ball (as specified),0.7754353932584269,0.7823314606741572,0.0068960674157303396,3.2260888468282536,0.7893296089385475,0.7950279329608939,0.005698324022346368,1.7076933248370436,368.82460941081297,364.97919119187446,0.0,0.0
titanic,2.0,1e-05,unit ball (as specified),0.7684831460674159,0.7733567415730339,0.0048735955056179725,2.15927497126682,0.779832402234637,0.7831284916201117,0.003296089385474865,1.0800662541440296,376.34690856770635,373.4792176893303,0.007005,0.009185
