experiment,h,rev_train,nonrev_train,paired_dtrain,paired_dtrain_se,t_train,win_train,rev_U,nonrev_U,proj_nonrev
magic_ball,1e-05,0.7806815194532072,0.7806366105853488,-4.4908867858391614e-05,5.1844593680468454e-05,-0.8662208471567258,0.4666666666666667,7566.589276678992,7566.925692004418,0.49083333333333334
magic_ball,3e-06,0.7802904837013668,0.7801940939362074,-9.638976515948434e-05,6.655903349043273e-05,-1.4481845679646101,0.43333333333333335,7572.368150924434,7572.304671989694,0.22251666666666667
magic_ball,1e-06,0.7770187083771468,0.7769277953031895,-9.091307395724021e-05,7.236640548734737e-05,-1.2562883750407579,0.43333333333333335,7726.141859371719,7725.941663548459,0.0006333333333333333
magic_ball,3e-07,0.750858745180512,0.7511424377847881,0.0002836926042762052,0.0002400655004849917,1.181730001616542,0.5666666666666667,8492.479546630979,8491.839572166913,0.0
magic_ball,1e-07,0.6294174991237294,0.6290538468279004,-0.0003636522958289488,0.00030732183023319756,-1.1832947095004847,0.4,9866.23526910097,9865.49128934408,0.0
magic_lp,1e-05,0.7805380301437085,0.7805062653347353,-3.1764808973013445e-05,0.00012985759071539428,-0.2446126468080838,0.5,7402.13966743552,7406.404741086353,0.05945
magic_lp,3e-06,0.780268576936558,0.780471214511041,0.00020263757448299818,0.00013522257003542438,1.498548462951954,0.5666666666666667,7451.934745345514,7452.1033308625365,0.0
magic_lp,1e-06,0.778232343147564,0.7784043112513145,0.000171968103750438,0.0001653562345572664,1.0399856056886791,0.55,7652.424738931718,7651.355139558594,0.0
magic_lp,3e-07,0.7576377935506484,0.757497590255871,-0.0001402032947774301,0.0003475607084362473,-0.40339224594240186,0.4666666666666667,8362.220102679297,8362.64741740841,0.0
magic_lp,1e-07,0.6464401507185419,0.6466395022783035,0.00019935155976164668,0.00048169635931041545,0.41385315854791477,0.5166666666666667,9681.83199242671,9684.726799533237,0.0
