experiment,dataset,geometry,h,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
titanic_ball,titanic,ball,0.0001,reversible (no J),,reversible,0.7912862211709052,0.7928089887640449,0.00962975264967526,0.8055865921787709,0.011850951639997996,0.0,0.0,0.0,0.0,364.3328501459343,0.27098666666666665,0
titanic_ball,titanic,ball,0.0001,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7912862211709052,0.7928089887640449,0.00962975264967526,0.8055865921787709,0.011850951639997996,0.0,0.0,0.0,0.0,364.3328501459343,0.27098666666666665,0
titanic_ball,titanic,ball,0.0001,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7912832643406271,0.7926404494382022,0.009576344906590333,0.8055865921787709,0.011850951639997996,-2.956830277920375e-06,2.647422830389002e-05,0.0,0.0,364.32526625234954,0.2707733333333333,0
titanic_ball,titanic,ball,0.0001,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7912522176227088,0.7926404494382022,0.009619163180796135,0.8051396648044693,0.011776098140605115,-3.4003548196310794e-05,5.560131764598273e-05,-0.00044692737430167105,0.00030937146603046494,364.3137118942349,0.27093333333333336,0
titanic_ball,titanic,ball,0.0001,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7913069189828507,0.7923595505617977,0.009753233456131808,0.8053631284916202,0.011815785533866146,2.0697811945602497e-05,9.560005102034854e-05,-0.00022346368715083997,0.0006826928409617594,364.29410827496974,0.2709066666666667,0
titanic_ball,titanic,ball,0.0001,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.7914725014784156,0.7926404494382023,0.009368093340254093,0.8055865921787709,0.01128897174393123,0.00018628030751037804,0.0002659476664231006,8.881784197001253e-18,0.0010199675186315922,364.2369493173249,0.2701866666666667,0
titanic_ball,titanic,ball,0.0001,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.791596688350089,0.7940449438202247,0.008268246219840604,0.8053631284916202,0.012033887837172077,0.00031046717918393086,0.0004724186071203091,-0.00022346368715082666,0.0013093777155491191,364.1608495178535,0.2712,0
titanic_ball,titanic,ball,0.0001,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7916070372560619,0.7938202247191011,0.009839817208325708,0.8044692737430168,0.011403583532510142,0.0003208160851566921,0.0007385164569384767,-0.0011173184357541866,0.0018245733652016247,364.1168310093103,0.27098666666666665,0
titanic_ball,titanic,ball,0.0001,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7920683027794208,0.7922471910112359,0.008198767282940243,0.8080446927374303,0.009105745384281293,0.000782081608515699,0.0009101605580661126,0.002458100558659222,0.0015827582391713796,364.1848249580021,0.2749333333333333,0
titanic_ball,titanic,ball,0.0001,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.7920017740981671,0.7926404494382023,0.010151298314377893,0.8100558659217877,0.009676261494798194,0.0007155529272619754,0.0009980964810282706,0.004469273743016764,0.0017067321024044082,364.69522459689796,0.27674666666666664,0
titanic_ball,titanic,ball,0.0001,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.7903740390301599,0.7926404494382022,0.008618683713845545,0.8091620111731843,0.013558280558113516,-0.0009121821407451724,0.0013330092749995,0.0035754189944134217,0.0028280887160625117,365.5530762581708,0.284,0
titanic_ball,titanic,ball,0.0001,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.7875990538143113,0.7889887640449439,0.013929063149963115,0.8058100558659217,0.015323293539791947,-0.0036871673565938633,0.001851535782354883,0.00022346368715083108,0.002688538416875073,366.57068907095265,0.29058666666666666,0
titanic_ball,titanic,ball,0.0001,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.7829198698994679,0.7814606741573035,0.019325624944335495,0.7966480446927373,0.02898395235805099,-0.00836635127143721,0.0019810106390881605,-0.008938547486033519,0.006320507541332265,370.05562994172965,0.30984,0
titanic_ball,titanic,ball,0.0001,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.7877764636309879,0.7924719101123597,0.010105855169911615,0.8075977653631286,0.01250032510006584,-0.0035097575399172997,0.0016880975719641678,0.002011173184357542,0.002637755115028044,365.5172059789826,0.28592,0
titanic_ball,titanic,ball,0.0001,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7913675340035485,0.792752808988764,0.008658644265905778,0.8049162011173183,0.012379061344223652,8.131283264340982e-05,0.0004852800576702457,-0.0006703910614525155,0.0013030060100212952,364.2445699283648,0.2696,0
titanic_ball,titanic,ball,3e-05,reversible (no J),,reversible,0.7802646363098757,0.785,0.011799146074320567,0.7986592178770948,0.009048439935386473,0.0,0.0,0.0,0.0,366.8912517098619,0.09242666666666667,0
titanic_ball,titanic,ball,3e-05,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7802646363098757,0.785,0.011799146074320567,0.7986592178770948,0.009048439935386473,0.0,0.0,0.0,0.0,366.8912517098619,0.09242666666666667,0
titanic_ball,titanic,ball,3e-05,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7803326434062684,0.785,0.011715256873582486,0.7986592178770948,0.010004004483101148,6.800709639267488e-05,7.203892872310316e-05,4.440892098500626e-18,0.00045614334130040737,366.8967530375557,0.09232,0
titanic_ball,titanic,ball,3e-05,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7803903015966881,0.7845505617977528,0.011133072987447678,0.7988826815642457,0.009809733475654317,0.00012566528681253963,0.0001296074929599879,0.00022346368715084442,0.0007550515803617624,366.9030967770764,0.09250666666666667,0
