experiment,dataset,geometry,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
magic_ball,magic,ball,reversible (no J),,reversible,0.7727164388363125,0.7706799859796705,0.013331055131842035,0.7672187171398527,0.010994237114606056,0.0,0.0,0.0,0.0,7732.433807040263,0.7232333333333333,0
magic_ball,magic,ball,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.7727164388363125,0.7706799859796705,0.013331055131842035,0.7672187171398527,0.010994237114606056,0.0,0.0,0.0,0.0,7732.433807040263,0.7232333333333333,0
magic_ball,magic,ball,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.7727259025587101,0.7706975113915178,0.013334647608915314,0.7672450052576235,0.010948375035377354,9.463722397510625e-06,7.901126877511116e-06,2.6288117770774852e-05,7.387172389092946e-05,7732.432964626037,0.7231666666666666,0
magic_ball,magic,ball,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.7727411496670175,0.7707676130389063,0.013409383799939474,0.767148615492464,0.011197389707749717,2.471083070454775e-05,1.45159535992271e-05,-7.010164738870949e-05,0.0001593985467994309,7732.536877229153,0.7231,0
magic_ball,magic,ball,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.7727631440588854,0.7707632316859446,0.013386316437365929,0.7671836663161584,0.01147856463981019,4.670522257275156e-05,2.762551678515286e-05,-3.5050823694356596e-05,0.00022360743196047936,7732.9998981788685,0.7241,0
magic_ball,magic,ball,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.772656764808973,0.7706186470382054,0.013555618596409877,0.7670347003154573,0.012076640504150436,-5.96740273395957e-05,5.8264505738851564e-05,-0.00018401682439537955,0.0005019806666962145,7736.72230284519,0.7292333333333333,0
magic_ball,magic,ball,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.7719931650893798,0.7699526813880125,0.013836489997927536,0.7667192429022084,0.012942285371211682,-0.0007232737469330693,0.000114334624180953,-0.000499474237644589,0.0008729116642009559,7751.693875185746,0.7430333333333333,0
magic_ball,magic,ball,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7681861198738171,0.7663512092534172,0.015895837837316223,0.7626971608832808,0.01514252710073383,-0.00453031896249562,0.0002610219656485588,-0.004521556256572031,0.0016076837856359226,7816.7370425802255,0.788,0
magic_ball,magic,ball,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.739608832807571,0.7440435506484402,0.02634705540127485,0.741062039957939,0.02714913950907662,-0.03310760602874162,0.0011942139350766766,-0.026156677181913775,0.004659472610258563,8209.367154782738,0.8927,0
magic_ball,magic,ball,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.6612741850683491,0.6795697511391516,0.0637028409052092,0.6779267437784787,0.061416305572402456,-0.11144225376796356,0.0027700618122133767,-0.089291973361374,0.011215597861179644,9881.797002489044,0.9473666666666667,0
magic_ball,magic,ball,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.5820253242201192,0.5990733438485804,0.07721052762372665,0.6020066596565019,0.07358385305864469,-0.19069111461619348,0.0035865114177088073,-0.16521205748335085,0.013758397480241257,12476.936628669244,0.9708333333333333,0
magic_ball,magic,ball,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.5556196985629162,0.5665461794602173,0.08393307508314245,0.5682790045566072,0.08342283111155006,-0.2170967402733964,0.003311426039040713,-0.1989397125832457,0.015541176528606648,13665.349302287972,0.9791666666666666,0
magic_ball,magic,ball,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.5386113739922888,0.5402668243953733,0.07272871246257584,0.5434454959691554,0.06989305432488083,-0.23410506484402385,0.0027641233508783596,-0.22377322117069756,0.012930254549426503,14306.987223135398,0.9874333333333334,0
magic_ball,magic,ball,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.6595256747283561,0.6488455134945672,0.07608151190992468,0.6459165790396073,0.07824173573049502,-0.11319076410795652,0.0026731971565216077,-0.12130213810024536,0.014627906180384048,9948.592844880155,0.9535666666666667,0
magic_ball,magic,ball,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.7686594812478093,0.7670193655800911,0.015681233268472126,0.7629337539432177,0.015027088773601338,-0.004056957588503329,0.00024879456372523754,-0.00428496319663512,0.0015507838349904845,7804.930961491455,0.7847,0
