experiment,dataset,geometry,s,s_tuple,method,sel_train_acc,final_train_acc,final_train_sd,final_test_acc,final_test_sd,paired_dtrain,paired_dtrain_se,paired_dtest,paired_dtest_se,train_loss_U,projection_rate,n_nonfinite
titanic_lp,titanic,lp,reversible (no J),,reversible,0.8000486891385765,0.8009831460674159,0.008860951413694645,0.8059590316573556,0.01182215956611137,0.0,0.0,0.0,0.0,344.9581274929991,0.17106666666666667,0
titanic_lp,titanic,lp,"(0,0,0)","[0.0, 0.0, 0.0]",non-reversible,0.8000486891385765,0.8009831460674159,0.008860951413694645,0.8059590316573556,0.01182215956611137,0.0,0.0,0.0,0.0,344.9581274929991,0.17106666666666667,0
titanic_lp,titanic,lp,"(0.02,0.02,0.02)","[0.02, 0.02, 0.02]",non-reversible,0.8000505617977525,0.8011704119850189,0.008733630793352164,0.8057728119180634,0.01293084465035248,1.8726591760461394e-06,3.575850859311309e-05,-0.00018621973929237035,0.0004999192480357522,344.9351440839261,0.17155,0
titanic_lp,titanic,lp,"(0.05,0.05,0.05)","[0.05, 0.05, 0.05]",non-reversible,0.8001516853932582,0.8019194756554309,0.008210139390282513,0.8063314711359404,0.011675598202855655,0.0001029962546816902,0.00010619582657090848,0.0003724394785847333,0.0005949391804739242,344.89865834134963,0.17173333333333332,0
titanic_lp,titanic,lp,"(0.1,0.1,0.1)","[0.1, 0.1, 0.1]",non-reversible,0.8003089887640445,0.8022940074906368,0.007925161182554985,0.8074487895716945,0.011894763070891098,0.0002602996254681744,0.00019318083444352477,0.001489757914338911,0.0009998384960715045,344.839485984503,0.17221666666666666,0
titanic_lp,titanic,lp,"(0.25,0.25,0.25)","[0.25, 0.25, 0.25]",non-reversible,0.8005046816479398,0.8019662921348316,0.007719213634597744,0.8074487895716945,0.012682946038107273,0.00045599250936333066,0.00041900567785830645,0.0014897579143389147,0.00205628280327494,344.7569472175391,0.17413333333333333,0
titanic_lp,titanic,lp,"(0.5,0.5,0.5)","[0.5, 0.5, 0.5]",non-reversible,0.8005852059925094,0.8008895131086144,0.008903326567085479,0.8074487895716946,0.013263635347571832,0.0005365168539326486,0.0005821562272601658,0.0014897579143389184,0.0023797567218956815,344.9773943591326,0.17718333333333333,0
titanic_lp,titanic,lp,"(1,1,1)","[1.0, 1.0, 1.0]",non-reversible,0.7999176029962545,0.7969569288389515,0.008857368335742357,0.8070763500931099,0.013584317471390963,-0.00013108614232208992,0.000769074377482629,0.0011173184357541814,0.0026839177155018085,345.8773139118554,0.17861666666666667,0
titanic_lp,titanic,lp,"(2,2,2)","[2.0, 2.0, 2.0]",non-reversible,0.7984625468164791,0.7956460674157305,0.01075181026504614,0.8009310986964617,0.009785018015877655,-0.0015861423220973096,0.000990510171611854,-0.005027932960893848,0.0024307155667285425,346.83304451390944,0.1838,0
titanic_lp,titanic,lp,"(3,3,3)","[3.0, 3.0, 3.0]",non-reversible,0.793140449438202,0.7936797752808988,0.011418211385366705,0.802048417132216,0.014275776410578069,-0.006908239700374478,0.0017080194463693517,-0.00391061452513967,0.0026536735304373,349.306160149573,0.19408333333333333,0
titanic_lp,titanic,lp,"(5,5,5)","[5.0, 5.0, 5.0]",non-reversible,0.7733801498127338,0.7698970037453184,0.031342756139742585,0.775977653631285,0.035068249176494044,-0.026668539325842545,0.0036640145931069075,-0.029981378026070774,0.007318336900365977,364.7323976533214,0.26,0
titanic_lp,titanic,lp,"(7,7,7)","[7.0, 7.0, 7.0]",non-reversible,0.7322930711610487,0.7426966292134832,0.043573526455788936,0.7551210428305399,0.04736027253931397,-0.06775561797752785,0.0057900920065946234,-0.05083798882681566,0.00942211979966955,387.99351955328495,0.42443333333333333,0
titanic_lp,titanic,lp,"(10,10,10)","[10.0, 10.0, 10.0]",non-reversible,0.6696825842696631,0.6832397003745319,0.04918114401308606,0.7009310986964618,0.06296168498311358,-0.1303661048689136,0.006649287154812442,-0.10502793296089384,0.011989088754420221,460.76087107183963,0.6865666666666667,0
titanic_lp,titanic,lp,"(2,7,2)","[2.0, 7.0, 2.0]",non-reversible,0.7311779026217227,0.7486423220973782,0.04690266347217463,0.7594040968342645,0.0421378520755498,-0.06887078651685373,0.006781379128558196,-0.046554934823091275,0.0075918957260970995,380.6856851180058,0.42101666666666665,0
titanic_lp,titanic,lp,"(1,0.25,1)","[1.0, 0.25, 1.0]",non-reversible,0.8008099250936329,0.8011235955056182,0.009342609202836923,0.8061452513966482,0.011841866968950314,0.0007612359550562645,0.0006563378392621323,0.00018621973929235555,0.0019219216078261022,344.96158282915076,0.17451666666666665,0
