experiment,h,rev_train,nonrev_train,paired_dtrain,paired_dtrain_se,t_train,win_train,rev_U,nonrev_U,proj_nonrev
magic_ball,1e-05,0.7806815194532072,0.7802028566421311,-0.0004786628110760601,0.0002439955446484978,-1.9617686534630216,0.4666666666666667,7566.589276678992,7572.7194267705345,0.49866666666666665
magic_ball,3e-06,0.7802904837013668,0.780117420259376,-0.00017306344199089312,0.0001714983100987476,-1.0091262234085243,0.5,7572.368150924434,7572.8067765698415,0.22538333333333332
magic_ball,1e-06,0.7770187083771468,0.7770723799509288,5.3671573781982615e-05,0.00024097858999985635,0.22272341199280238,0.55,7726.141859371719,7723.809800551148,0.0005666666666666667
magic_ball,3e-07,0.750858745180512,0.7515060900806169,0.0006473449001051531,0.0008312487121371364,0.7787619886241176,0.55,8492.479546630979,8489.949171617482,0.0
magic_lp,1e-05,0.7805380301437085,0.777292542937259,-0.0032454872064493546,0.0007765187679658041,-4.179534790834929,0.2833333333333333,7402.13966743552,7472.442623611989,0.13721666666666665
magic_lp,3e-06,0.780268576936558,0.7800714160532772,-0.00019716088328075959,0.0003384565422719126,-0.582529390501078,0.45,7451.934745345514,7465.588857480508,0.0
magic_lp,1e-06,0.778232343147564,0.7784700315457413,0.00023768839817735662,0.0003820035714578357,0.62221512032013,0.4666666666666667,7652.424738931718,7648.7983863137815,0.0
magic_lp,3e-07,0.7576377935506484,0.7582840431125131,0.0006462495618647035,0.0010557920096500681,0.6120993111880971,0.5666666666666667,8362.220102679297,8353.045844726144,0.0
