geometry,seed_offset,ergodic_variance_ratio
L1-smooth ball,101,0.5259937658396516
L1-smooth ball,202,0.5189147549287092
L1-smooth ball,303,0.5529102315144849
L1-smooth ball,404,0.5244908614082563
unit ball,101,0.514957506305179
unit ball,202,0.49947714813229693
unit ball,303,0.561884342993486
unit ball,404,0.5544433145601576
