geometry,s,ergodic_variance_ratio,rev_test_acc,nr_test_acc,paired_accuracy_diff,accuracy_t,projection_rate
unit ball,0.5,0.9759670102104209,0.6601,0.659725,-0.0003750000000000009,-0.8014946383921149,0.0
L1-smooth ball,0.5,0.8457127224377482,0.659075,0.658975,-9.999999999999786e-05,-0.15540988466557618,0.0
unit ball,1.0,0.9183114146314618,0.6601,0.6601750000000002,7.500000000000506e-05,0.1328409173204314,0.0
L1-smooth ball,1.0,0.6595874983479291,0.659075,0.6596499999999998,0.0005750000000000055,0.6397195918521322,0.0
unit ball,2.0,0.78079684564661,0.6601,0.660975,0.0008750000000000013,0.9894498976194273,0.0
L1-smooth ball,2.0,0.5175833758315181,0.659075,0.6607749999999999,0.0016999999999999993,1.5401919882221484,0.0
unit ball,3.0,0.677683562736056,0.6601,0.660425,0.00032500000000000085,0.3183073332664537,0.0
L1-smooth ball,3.0,0.4858057136869895,0.659075,0.6598999999999998,0.0008250000000000047,0.58225129875197,0.0
unit ball,4.0,0.6139574612585453,0.6601,0.660425,0.00032500000000000194,0.302590183100295,0.0
L1-smooth ball,4.0,0.5099897965175629,0.659075,0.6579999999999999,-0.0010749999999999959,-0.6123003140029055,3e-05
unit ball,5.0,0.5748746043938683,0.6601,0.6594249999999999,-0.0006750000000000045,-0.5751522860723206,0.0
L1-smooth ball,5.0,0.8499797367162353,0.659075,0.6339250000000001,-0.025149999999999995,-12.716643328385356,0.00027
unit ball,7.0,0.5346927932288416,0.6601,0.6584000000000002,-0.0016999999999999982,-1.4393087182954971,0.0
L1-smooth ball,7.0,4.370526551897009,0.659075,0.5865250000000001,-0.07255,-29.935125836781904,0.50251
unit ball,10.0,0.5588234409744327,0.6601,0.657775,-0.0023249999999999994,-1.4107160312458797,0.0005
L1-smooth ball,10.0,3.5742977555054165,0.659075,0.537375,-0.12170000000000002,-55.75182980636248,0.88006
