method,rho,alpha,final_train_acc,final_train_sd,final_test_acc,final_test_sd,frac_reaching_target,median_iters_to_target,median_secs_to_target,projection_rate,drift_ratio_alphaJv_over_v,mean_step_displacement,max_kkt_residual,n_nonfinite,runtime_s,secs_per_iter_per_replicate
Projected SGLD,0.0,0.0,0.6684562499999999,0.005805163992280731,0.6542999999999999,0.009892605135333995,1.0,30.0,0.00018575489519998881,0.0,0.0,0.059835523160865545,0.0,0,0.6191829839999627,6.191829839999627e-06
Non-reversible SGLD,0.0,1.0,0.54006875,0.049739051936713984,0.5364249999999999,0.05750412260144151,0.44,290.0,0.012734324881899966,0.89603,13.342916977676694,1.1250018386966385,3.1086244689504383e-15,0,4.391146510999988,4.3911465109999885e-05
Reversible anchored Langevin,0.6931471805599453,0.0,0.6684750000000002,0.005677935542096448,0.6541250000000001,0.009603075843528769,1.0,30.0,0.00018453239760001455,0.0,0.0,0.05704506581777967,0.0,0,0.6151079920000484,6.151079920000485e-06
Non-reversible anchored Langevin,0.6931471805599453,1.0,0.5429624999999999,0.04462514147050547,0.5429499999999999,0.05293933539744557,0.63,230.0,0.0085036250440005,0.76693,13.337381552781451,0.5650008947181335,1.3322676295501878e-15,0,3.6972282800002176,3.697228280000218e-05
