geometry,method,iteration,simulated_time,train_acc_mean,train_acc_sd,test_acc_mean,test_acc_sd,n_repeats
unit ball,Projected SGLD,0,0.0,0.49674999999999997,0.062149522373974295,0.491475,0.0687038136870983,100
unit ball,Projected SGLD,10,0.001,0.59099375,0.03935651672563582,0.5821999999999999,0.045250816165417,100
unit ball,Projected SGLD,20,0.002,0.649975,0.013564206183700514,0.6387999999999999,0.020678149302726746,100
unit ball,Projected SGLD,30,0.003,0.66410625,0.007970438893121878,0.6516500000000001,0.01172183923927962,100
unit ball,Projected SGLD,40,0.004,0.6665687500000002,0.005499436811156124,0.654525,0.009209233124830477,100
unit ball,Projected SGLD,50,0.005,0.6671687500000002,0.006248393101510985,0.6539999999999999,0.011337343319109358,100
unit ball,Projected SGLD,60,0.006,0.66734375,0.006303041969413006,0.6555,0.01064818474594795,100
unit ball,Projected SGLD,70,0.007,0.66685,0.006607168207119577,0.6552499999999999,0.009069735443225523,100
unit ball,Projected SGLD,80,0.008,0.6686625,0.005308521237338389,0.65565,0.010210041601039126,100
unit ball,Projected SGLD,90,0.009000000000000001,0.66778125,0.005086355751995586,0.65605,0.010524022543925433,100
unit ball,Projected SGLD,100,0.01,0.6685625000000001,0.004956009131867239,0.6538500000000002,0.010441153038227001,100
unit ball,Projected SGLD,110,0.011000000000000001,0.6690062499999999,0.005486938548392754,0.653725,0.010674801585457642,100
unit ball,Projected SGLD,120,0.012,0.6680687499999999,0.005056573098702841,0.6546000000000001,0.00989668855953569,100
unit ball,Projected SGLD,130,0.013000000000000001,0.6689750000000001,0.005404648672460339,0.65555,0.010621946976696774,100
unit ball,Projected SGLD,140,0.014,0.6689562499999999,0.0061923190600056315,0.6535500000000001,0.010151503844408005,100
unit ball,Projected SGLD,150,0.015000000000000001,0.6692875,0.005334472534583169,0.6556000000000001,0.010126223582382732,100
unit ball,Projected SGLD,160,0.016,0.6681812500000001,0.005135548241906557,0.6546,0.010622779031093254,100
unit ball,Projected SGLD,170,0.017,0.66815625,0.005461914017526137,0.6544,0.010445384655725264,100
unit ball,Projected SGLD,180,0.018000000000000002,0.667825,0.005703700287506077,0.6534,0.011819988206936645,100
unit ball,Projected SGLD,190,0.019,0.6680999999999999,0.005261411359602048,0.6550750000000001,0.010021788132550875,100
unit ball,Projected SGLD,200,0.02,0.6689687499999999,0.006209702792827729,0.65435,0.010592426301348297,100
unit ball,Projected SGLD,210,0.021,0.668875,0.006160982228525098,0.6539,0.008655295570582294,100
unit ball,Projected SGLD,220,0.022000000000000002,0.66866875,0.005035899374751866,0.654125,0.009254912700339707,100
unit ball,Projected SGLD,230,0.023,0.66813125,0.005671799563666192,0.6551999999999998,0.009611651178847396,100
unit ball,Projected SGLD,240,0.024,0.6687312499999999,0.0053251705703700565,0.65455,0.009830508068705758,100
unit ball,Projected SGLD,250,0.025,0.6688312499999999,0.005277685987372975,0.6550250000000001,0.009799086485973899,100
unit ball,Projected SGLD,260,0.026000000000000002,0.6689812500000001,0.005422967634715488,0.6539499999999999,0.010649251882482908,100
