method,rho,alpha,final_train_acc,final_train_sd,final_test_acc,final_test_sd,frac_reaching_target,median_iters_to_target,median_secs_to_target,projection_rate,drift_ratio_alphaJv_over_v,mean_step_displacement,max_kkt_residual,n_nonfinite,runtime_s,secs_per_iter_per_replicate
Projected SGLD,0.0,0.0,0.6686624999999999,0.005415224166899997,0.654825,0.010176814359368586,1.0,20.0,0.0001660270175999358,0.0,0.0,0.05961680273706979,0.0,0,0.8301350879996789,8.30135087999679e-06
Non-reversible SGLD,0.0,1.0,0.60391875,0.03100444623845151,0.594825,0.03707291307462072,1.0,90.0,0.0008780553440999938,0.55877,4.383760289987856,0.286311275158635,1.1102230246251565e-16,0,0.9756170489999931,9.756170489999932e-06
Reversible anchored Langevin,0.6931471805599453,0.0,0.6689937499999999,0.005292050660131095,0.654,0.009521374147493931,1.0,30.0,0.00024323546400000848,0.0,0.0,0.046096654738276725,0.0,0,0.8107848800000284,8.107848800000283e-06
Non-reversible anchored Langevin,0.6931471805599453,1.0,0.6386749999999999,0.017155078465915487,0.6281,0.02384482664176357,1.0,50.0,0.00048290784949995213,0.04059,4.229075972882861,0.13299047960352833,1.1102230246251565e-16,0,0.9658156989999043,9.658156989999042e-06
