step_factor,h,n_iter,alpha,posterior_mean_norm,mean[intercept],mean[fLength],mean[fWidth],mean[fSize],mean[fConc],mean[fConc1],mean[fAsym],mean[fM3Long],mean[fM3Trans],mean[fAlpha],mean[fDist],sd[intercept],sd[fLength],sd[fWidth],sd[fSize],sd[fConc],sd[fConc1],sd[fAsym],sd[fM3Long],sd[fM3Trans],sd[fAlpha],sd[fDist],min_ess,ess_per_second,max_r_hat,projection_frequency,roc_auc,log_loss,accuracy
1.0,4.9087463019355625e-06,60000,0.0,1.6559846295375076,0.6579334690510744,-1.0250277495168396,-0.041923940946977926,-0.032836542358065254,-0.014203589799508259,-0.2309532760169406,0.012888336670833578,0.22682562085701902,0.0016706990662022254,-1.0721804106677657,-0.03406093845224695,0.0218413106984217,0.040206346576589,0.029408436059138014,0.02684636472342157,0.01890797809806828,0.03483260296225859,0.01398304909643466,0.025166612401438956,0.008096367628138845,0.022552968731722613,0.020943109108732382,56.45544010874872,120.54764726458978,1.0569506079032958,0.00010833333333333333,0.8377639939045459,0.46001154165514313,0.7899579390115667
1.0,4.9087463019355625e-06,60000,200.0,1.649137086051385,0.6609440140785949,-1.0116151298447924,-0.053165867920924245,-0.03801288151292738,-0.01751286648133107,-0.2321848554198315,0.014848838583119271,0.22381066028522031,0.0016366324904400545,-1.0720866246978893,-0.03561969363727418,0.022576409189793346,0.04609562588945355,0.03834982726416305,0.0305653869248139,0.02216919942841899,0.040471246931842245,0.016709565317299117,0.027999883900437436,0.009250731407294576,0.024628966284738672,0.022320465113177052,92.05607788200926,197.1860431503316,1.028018538432309,0.001775,0.8379622052742408,0.4599832218395192,0.788906414300736
0.5,2.4543731509677813e-06,120000,0.0,1.6496918902003914,0.6598484535883015,-1.0158730979745918,-0.04618859417539878,-0.035277306724385754,-0.012822366036023066,-0.23312645772499221,0.012952081930603916,0.22588290610726702,0.0013155362371335797,-1.0694746748780282,-0.035018740681604855,0.022012278422626135,0.04064294483865415,0.033941362722196985,0.02984847897465368,0.01646889023672443,0.03446343474004929,0.013777503160306221,0.024844998653791906,0.007794430966178044,0.02186510489555269,0.02058103503523458,75.89476008334081,69.18650011487055,1.0513238584221034,0.00044166666666666665,0.8378549165511949,0.4600882898225504,0.788906414300736
0.5,2.4543731509677813e-06,120000,200.0,1.6469402182604853,0.6603018281844436,-1.011040762619486,-0.051496565844745816,-0.03741032102202219,-0.013294189623504564,-0.23571155298111957,0.01268423647203329,0.22377484731872893,0.001361503292122429,-1.0690787325109141,-0.035423047538834365,0.021287775922603343,0.04328126817664084,0.03582625917196192,0.03035284780831725,0.016807880940639102,0.03504702454910456,0.01440942115165194,0.026031583643428807,0.008204775095542875,0.023676040641765206,0.02079476964363437,120.04359902156725,136.65600940929463,1.0187207865279295,0.0001375,0.8379722067653723,0.460062365796893,0.7886435331230284
0.25,1.2271865754838906e-06,240000,0.0,1.6515837034937557,0.6606781599025443,-1.019415505554505,-0.049614323339874665,-0.032897369707238534,-0.01147692918372783,-0.2379530346627596,0.011571421925877075,0.22438673448763022,0.0014711155776856266,-1.0677172288598056,-0.034962718453281964,0.020813498233355508,0.03869392119594009,0.03580626673044752,0.029213794630026876,0.014926898161193122,0.03160533939505898,0.013103327533620061,0.026191508265875876,0.007939341261917846,0.022795784215353665,0.020184183265010265,73.55978710287901,36.06156559160842,1.0384145738629658,0.00023333333333333333,0.8379964528044787,0.46000433838417903,0.7883806519453207
0.25,1.2271865754838906e-06,240000,200.0,1.652679383311199,0.6611444349770997,-1.0188029149823141,-0.04905521930004628,-0.033105136227519184,-0.013251917003712343,-0.23484242487832915,0.011738014642537363,0.2240653802717007,0.001238228455492867,-1.070454386793163,-0.035094943988077706,0.02074095369329755,0.042104480736197866,0.03320420184672858,0.027471701928164175,0.01708603976893051,0.03314067035250669,0.013475011733954856,0.025713225561897906,0.007889001343351864,0.022935589447547703,0.02048794303539801,71.85333240294054,72.47421930645432,1.0413957993150766,6.666666666666667e-05,0.8379234116116706,0.46001697233945577,0.7886435331230284
