alpha,h,radius,n_chains,n_draws_per_chain,min_ess,median_ess,max_r_hat,ess_per_second,total_runtime_seconds,total_gradient_evaluations,projection_frequency,mean_squared_jump,a_mean,a_min,log_a_min,radius_mean,radius_max,reversible_drift_norm,nonreversible_drift_norm,n_numerical_warnings,n_warnings,warnings,ess[intercept],rhat[intercept],iat[intercept],ess[fLength],rhat[fLength],iat[fLength],ess[fWidth],rhat[fWidth],iat[fWidth],ess[fSize],rhat[fSize],iat[fSize],ess[fConc],rhat[fConc],iat[fConc],ess[fConc1],rhat[fConc1],iat[fConc1],ess[fAsym],rhat[fAsym],iat[fAsym],ess[fM3Long],rhat[fM3Long],iat[fM3Long],ess[fM3Trans],rhat[fM3Trans],iat[fM3Trans],ess[fAlpha],rhat[fAlpha],iat[fAlpha],ess[fDist],rhat[fDist],iat[fDist]
0.0,4.9087463019355625e-06,0.19390470968383125,4,5000,735.7780668779117,2098.0513249222513,1.0059426294189178,115.63048042437705,331.88498863399946,1200000,0.000185,6.48417602310679e-05,0.5953400717768944,0.12797094974517992,-2.0559519959365113,0.08683375793562992,0.19390470968383133,142.51124751166742,0.0,0,0,,2793.966877443674,1.000958615359357,1.7895702487979115,735.7780668779117,1.0059426294189178,6.795527381260815,966.5274166958562,1.002383982686526,5.173158995419769,1356.3550607446068,1.0023410484735789,3.686350384725308,2923.046288920762,1.000346869148253,1.7105442424745467,1012.0547746672684,1.0041681658125559,4.940444060099259,6421.53921358043,1.0002778056343824,0.7786295206958911,2098.0513249222513,1.0017651450847573,2.3831638152061356,15199.561837885156,1.000082389082423,0.32895685108089223,2088.6232742416196,1.0039924344573112,2.393921422624912,2780.516545408743,1.0028346748132928,1.7982270266494629
0.25,4.9087463019355625e-06,0.19390470968383125,4,5000,735.7079269732928,2098.7023013363737,1.0059461170083626,108.05486607518637,355.1970798850002,1200000,0.00018416666666666665,6.484249995228493e-05,0.5953429854165223,0.12914537746417087,-2.046816552073319,0.08683317107547542,0.19390470968383133,142.51193484723865,0.604004054913162,0,0,,2794.780586982487,1.0009540422743382,1.7890492095476014,735.7079269732928,1.0059461170083626,6.796175243849869,967.2539150759892,1.0023716917868395,5.169273467977838,1355.0603426104444,1.0023423424301723,3.6898725781966233,2923.286719660333,1.0003504415943083,1.7104035558239623,1012.216735871961,1.0041698732038769,4.939653557192783,6425.131024006299,1.000278913166099,0.7781942471396204,2098.7023013363737,1.0017654366535347,2.3824246043930053,15199.3995355956,1.0000794457682913,0.32896036374926907,2088.088875016813,1.0039970491666894,2.3945340927884313,2781.144934141374,1.0028377805941435,1.7978207243426727
0.5,4.9087463019355625e-06,0.19390470968383125,4,5000,735.7032269211699,2099.159894851668,1.0059533391858249,106.04770765187598,361.9122766380001,1200000,0.0001833333333333333,6.484320344253515e-05,0.5953452040022102,0.13055828845299214,-2.0359354971277566,0.08683252397745017,0.19390470968383133,142.51246570182622,1.2079837476083133,0,0,,2796.0063624490576,1.0009487931663366,1.7882648863575676,735.7032269211699,1.0059533391858249,6.7962186613268,968.0039556235995,1.0023600145019895,5.165268148908484,1353.9097459387017,1.002344153515169,3.6930083522911397,2923.4420772847116,1.0003532028797155,1.7103126615198725,1012.3327003807336,1.0041713962116696,4.939087711104781,6423.058394979351,1.0002798614316013,0.7784453592868315,2099.159894851668,1.0017648774610428,2.3819052623208163,15198.742265725257,1.000073602409427,0.3289745896458498,2087.6683051869154,1.0040016167126402,2.395016482061471,2781.9403791903333,1.0028403382709934,1.7973066703374927
1.0,4.9087463019355625e-06,0.19390470968383125,4,5000,735.8389528081784,2100.2392506785163,1.00596380100354,105.31910233464566,364.44139154699997,1200000,0.00017999999999999998,6.484449230854806e-05,0.5953487264610386,0.1296506227359132,-2.04291196380103,0.08683102598084701,0.19390470968383133,142.5132916301817,2.4158602378382694,0,0,,2798.5103581378953,1.0009391629375266,1.786664818109502,735.8389528081784,1.00596380100354,6.794965095172695,969.5712776419863,1.0023344261740765,5.156918439415908,1351.2893430859801,1.0023466247982389,3.700169786421426,2923.6478065977226,1.0003592766162475,1.7101923113709612,1012.6425592505616,1.0041720899223792,4.937576397836182,6421.401107314282,1.000281174676019,0.7786462668255938,2100.2392506785163,1.0017630870374161,2.3806811525804354,15198.528919908005,1.000070676340147,0.3289792075501913,2087.13523819097,1.004007283921426,2.3956281837940523,2783.835397705063,1.0028441192468744,1.7960832038136658
2.0,4.9087463019355625e-06,0.19390470968383125,4,5000,736.1112861569587,2102.8370541081895,1.0059783119508028,105.33387008861091,364.5097033629995,1200000,0.00017583333333333334,6.484690361744962e-05,0.5953516012971491,0.12816304698446213,-2.054452021097154,0.08682449628685561,0.19390470968383133,142.51397333897646,4.831088923534993,0,0,,2803.7399730519624,1.0009147058101242,1.783332280474404,736.1112861569587,1.0059783119508028,6.792451214956465,973.4023033223717,1.002271184551789,5.136622322480881,1346.5171308818976,1.002357497239538,3.713283615430324,2923.9425713756727,1.0003712927667758,1.7100199056397924,1013.4192900723062,1.00417348227579,4.933792013810252,6420.223557794241,1.0002831303887154,0.7787890803163591,2102.8370541081895,1.0017555467159862,2.3777401060304664,15199.303179418988,1.000063911678334,0.3289624491976961,2087.2080720022354,1.0040151859576014,2.395544587561678,2788.513321891467,1.0028494508865002,1.793070149870565
10.0,4.9087463019355625e-06,0.19390470968383125,4,5000,749.6555245799456,2117.7624846640424,1.0060153322382526,107.30308221838362,362.03642384299974,1200000,0.00017,6.488139118493627e-05,0.5953564701355505,0.12917798788418053,-2.046564074562127,0.08676152237806818,0.19390470968383136,142.5297059087385,24.1391491636371,0,0,,2941.3780405988014,1.0007012610353516,1.6998835005180455,749.6555245799456,1.0060153322382526,6.669730077426761,1025.4867637227285,1.0016588328974678,4.8757333364781505,1332.6942766917032,1.0024666248368457,3.751798208672481,2918.6095395084344,1.000538426873967,1.7131445410276165,1022.0706614562116,1.0039891711226336,4.892029669334378,6522.148850535936,1.00027984801629,0.7666185048182612,2117.7624846640424,1.001740750331725,2.360982421875884,15253.938715383889,1.0000430047536273,0.3277841935314323,2107.563025020806,1.003940453122865,2.3724082936739888,2856.3162715124786,1.002793950770491,1.7505064302113844
50.0,4.9087463019355625e-06,0.19390470968383125,4,5000,887.9952585972949,2403.6972124495774,1.0054036652518168,127.66971011835304,363.64601763799965,1200000,0.00015916666666666667,6.540545375835198e-05,0.5957924462329004,0.14248824745203292,-1.9484957566954224,0.08703588368582005,0.19390470968383133,143.05123479912547,121.74629341869976,0,0,,4965.86184600242,1.0002934139581292,1.0068745678104318,887.9952585972949,1.0054036652518168,5.630660695078661,1442.840473532141,1.0009176518853746,3.465386570255938,1579.819794242412,1.0027194444817902,3.1649179344519505,3425.164978063517,1.0004164378257292,1.459783698602117,1127.688669269041,1.003981341084675,4.433847866220879,8631.575416157242,1.0004121605628646,0.5792685296638453,2293.4802845928143,1.0020603907653367,2.1800928630558087,16268.847912084279,1.0000984575215166,0.3073358376093779,2403.6972124495774,1.0032226135991846,2.0801288839972334,3399.609812546169,1.0022402706117521,1.470757020863875
200.0,4.9087463019355625e-06,0.19390470968383125,4,5000,1083.5014049650024,4323.522686380896,1.0054460065778368,205.13879663461,363.9722583759999,1200000,0.0014041666666666668,8.138578926291515e-05,0.6166731951569633,0.1437964160612148,-1.9393567570849497,0.0959048279335111,0.19390470968383136,156.85039033252556,622.7927534500845,0,0,,14091.925681140852,1.0000408052101923,0.35481311164530716,1083.5014049650024,1.0054460065778368,4.614668681635445,2803.9414151913684,1.0011118388842564,1.783204161438855,3218.331477747497,1.0020430081406488,1.553600067168808,4441.459421234171,1.0010612029388202,1.1257560918142138,1921.005567618649,1.0013229173761946,2.602803492234637,12789.105020031482,1.0000682026308123,0.3909577716477061,3708.932108828826,1.0012060412689634,1.348096932833547,20371.680114786923,1.0000339125378546,0.24543876459019773,4323.522686380896,1.0025498958982184,1.1564643839501545,5911.4261937083,1.0003078971099093,0.8458195765552554
