delta,a_at_map,curvature_max,curvature_min,h,effective_step,relaxation_iterations,n_near_zero
0.0003,0.9223468484497432,493465.55555264174,357.899392562374,5.066209732106228e-07,4.672802579993597e-07,5979.455053058068,3.0
0.0004403397802866209,0.8870893112188971,336975.7444174929,358.85127087779745,7.418931603880216e-07,6.581254926466209e-07,4234.252939956056,3.0
0.0006463304070095656,0.8373517540621128,229981.45598034194,359.4279068988096,1.0870441659494894e-06,9.102383391007913e-07,3056.5611038574357,3.0
0.0009486832980505141,0.7679392232927039,157199.91829160435,360.2800097469953,1.590331615416316e-06,1.2212780255206367e-06,2272.716637764816,3.0
0.0013924766500838337,0.6747989135606496,107658.13296433241,360.96125802602705,2.322165479897613e-06,1.5669947429429537e-06,1767.9576960966315,3.0
0.002043876207173883,0.5542818728476614,73923.03808452949,362.9746194990816,3.3818956373807323e-06,1.874523447662728e-06,1469.7141116790951,3.0
0.003000000000000001,0.41032433200410895,50929.501062506075,367.29867506766806,4.9087463019355625e-06,2.01417804731935e-06,1351.7076758688793,3.0
0.004403397802866209,0.25747736104812874,35254.09757562888,376.49912255913665,7.09137425695516e-06,1.8258683298854494e-06,1454.6770121270213,3.0
0.006463304070095649,0.12353750759839845,24583.52003209944,393.9969607301237,1.016941429354167e-05,1.2563040955596659e-06,2020.283666585735,3.0
0.009486832980505141,0.038288280951224204,17302.540136187105,421.3308677109314,1.4448745561765335e-05,5.53217629461625e-07,4290.231338137891,3.0
0.013924766500838338,0.0057668396231828414,12340.540522606641,452.74424395095144,2.0258431917307422e-05,1.1682712788428039e-07,18906.161459732593,3.0
0.020438762071738843,0.0002649339542923236,11166.89183697029,478.7622006586964,2.238760826645814e-05,5.931237585180268e-09,352155.78303524514,5.0
0.03,1.7145316757956628e-06,10808.797589190764,494.2872074895292,2.3129307208973008e-05,3.9655929848993195e-11,51016715.111517295,6.0
