arm,eta,s,mult,n_iter,train,test,wall
nrev,1e-06,20.0,1,2000,0.7264513108614232,0.7541899441340782,1.695662099999936
rev,1e-06,0.0,1,2000,0.6919475655430711,0.7135009310986966,1.4159970399996382
rev,1e-06,0.0,2,4000,0.7037453183520598,0.7281191806331472,2.812885661999644
rev,1e-06,0.0,4,8000,0.7219335205992511,0.7500931098696463,5.5319525729992165
rev,1e-06,0.0,8,16000,0.7464185393258427,0.7733705772811919,11.193376142000488
rev,1e-06,0.0,16,32000,0.7691713483146067,0.7939478584729981,21.56917786700069
