tag,eta,s,R,seed,rev_train,nrev_train,rev_test,nrev_test,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test,rev_U,nrev_U,proj_rev,proj_nrev,bad_nrev,bad_rev,wall_rev,wall_nrev
within100,1e-06,0.0,40,3000,0.6972963483146067,0.6972963483146067,0.7149441340782122,0.7149441340782122,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,434.6596522804346,434.6596522804346,0.0,0.0,0,0,0.7917209510001157,1.0418591170000582
within100,1e-06,1.0,40,3000,0.6972963483146067,0.6996839887640449,0.7149441340782122,0.7180167597765362,0.0023876404494382053,0.0011491881492094508,2.0776758367032504,0.55,0.0030726256983240247,0.002181633987683423,1.408405679261857,0.35,434.6596522804346,433.29799228009654,0.0,0.0,0,0,0.792661310999847,1.0456406579996838
within100,1e-06,2.0,40,3000,0.6972963483146067,0.703686797752809,0.7149441340782122,0.7217877094972067,0.006390449438202242,0.0022274946655134447,2.8688955071994404,0.7,0.006843575418994413,0.0036419438508313155,1.8790996509823426,0.525,434.6596522804346,430.2416693258664,0.0,0.0,0,0,0.7928953660002662,1.037336833000154
within100,1e-06,5.0,40,3000,0.6972963483146067,0.7211025280898877,0.7149441340782122,0.7435754189944135,0.023806179775280895,0.005444915713766774,4.3721851772819935,0.775,0.02863128491620113,0.006763296096538128,4.233333053517557,0.75,434.6596522804346,414.7949667639297,0.0,0.0,0,0,0.7949675370000477,1.0707458950000728
within100,1e-06,10.0,40,3000,0.6972963483146067,0.7379213483146068,0.7149441340782122,0.7687150837988825,0.040625,0.005373485428629342,7.560269873172904,0.925,0.053770949720670404,0.006421894582301428,8.373066395213295,0.925,434.6596522804346,399.55129216823514,0.0,0.0,0,0,0.8336554279999291,1.0411503120003545
within100,3e-06,0.0,40,3000,0.6272120786516854,0.6272120786516854,0.6403631284916201,0.6403631284916201,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,853.5467755401256,853.5467755401256,0.0,0.0,0,0,0.7926918359999036,1.0386305000001812
within100,3e-06,1.0,40,3000,0.6272120786516854,0.6170997191011236,0.6403631284916201,0.6310055865921788,-0.0101123595505618,0.005697586700849188,-1.7748496129167495,0.375,-0.009357541899441333,0.00767035684092994,-1.2199617427846865,0.275,853.5467755401256,859.3778281372468,0.0,0.2471375,0,0,0.7853613349998341,1.069448982999802
within100,3e-06,2.0,40,3000,0.6272120786516854,0.6154143258426966,0.6403631284916201,0.6332402234636871,-0.011797752808988751,0.006872461446910192,-1.7166706426986118,0.325,-0.0071229050279329655,0.009574388094572376,-0.7439540738870685,0.4,853.5467755401256,799.3271757151639,0.0,0.8463375,0,0,0.7917204049999782,1.074364370999774
within100,3e-06,5.0,40,3000,0.6272120786516854,0.6187148876404495,0.6403631284916201,0.6381284916201116,-0.008497191011235947,0.003374217229227433,-2.5182702932204157,0.35,-0.002234636871508375,0.004724315822055473,-0.47300751170698,0.575,853.5467755401256,736.7801691913999,0.0,0.9739125,0,0,0.8024895510002352,1.0904000800001086
within100,3e-06,10.0,40,3000,0.6272120786516854,0.6126053370786517,0.6403631284916201,0.6351955307262569,-0.014606741573033705,0.006339163021435809,-2.304206647414047,0.325,-0.005167597765363127,0.008325727423479062,-0.6206782305639966,0.475,853.5467755401256,700.7050799013953,0.0,0.99145,0,0,0.7987596230000236,1.1045626889999767
