tag,eta,s,R,seed,rev_train,nrev_train,rev_test,nrev_test,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test,rev_U,nrev_U,proj_rev,proj_nrev,bad_nrev,bad_rev,wall_rev,wall_nrev
base,0.0001,0.0,32,3000,0.7989817415730337,0.7989817415730337,0.8067388268156425,0.8067388268156425,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,382.95568492987945,382.95568492987945,0.29103125,0.29103125,0,0,0.7253337199999805,0.9104646470000262
base,0.0001,1.0,32,3000,0.7989817415730337,0.7995523174157303,0.8067388268156425,0.8081354748603353,0.0005705758426966384,0.0009329572532351544,0.6115776909586051,0.5,0.001396648044692743,0.0018938411927359614,0.737468405508203,0.375,382.95568492987945,383.1978927769352,0.29103125,0.2941875,0,0,0.6557718580002074,0.9024888180001653
base,0.0001,5.0,32,3000,0.7989817415730337,0.801439606741573,0.8067388268156425,0.8088337988826816,0.0024578651685393284,0.0015421611567373508,1.593779714786276,0.5,0.0020949720670391005,0.0027335243060712705,0.7663996483902049,0.46875,382.95568492987945,383.10693740214737,0.29103125,0.30025,0,0,0.6555979400000069,0.9048343849999583
base,3e-05,0.0,32,3000,0.799903441011236,0.799903441011236,0.8058659217877095,0.8058659217877095,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,382.79019048040334,382.79019048040334,0.11984375,0.11984375,0,0,0.6524580780001088,0.901037863000056
base,3e-05,1.0,32,3000,0.799903441011236,0.8002984550561797,0.8058659217877095,0.807437150837989,0.0003950140449438255,0.0008155337599042544,0.4843625909370093,0.4375,0.0015712290502793227,0.001630193535551039,0.9638297637760016,0.40625,382.79019048040334,382.91328072883164,0.11984375,0.1259375,0,0,0.6544992320000347,0.8931384599995909
base,3e-05,5.0,32,3000,0.799903441011236,0.7998156601123596,0.8058659217877095,0.8079608938547487,-8.77808988763995e-05,0.00170498000364106,-0.051485001987671135,0.46875,0.002094972067039111,0.0025550545898921327,0.8199324097915085,0.46875,382.79019048040334,383.52064399447625,0.11984375,0.132,0,0,0.6555927199997313,0.900697953999952
base,1e-05,0.0,32,3000,0.7861218398876405,0.7861218398876405,0.7925977653631284,0.7925977653631284,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,390.45526617806706,390.45526617806706,0.00646875,0.00646875,0,0,0.637590365000051,0.8827507860000878
base,1e-05,1.0,32,3000,0.7861218398876405,0.785814606741573,0.7925977653631284,0.7927723463687151,-0.00030723314606739827,0.002417678754009007,-0.12707773750252913,0.40625,0.0001745810055865972,0.0027304653633888815,0.06393818721432827,0.40625,390.45526617806706,389.5936218885059,0.00646875,0.007890625,0,0,0.6351817519998804,0.879550750999897
base,1e-05,5.0,32,3000,0.7861218398876405,0.7933637640449438,0.7925977653631284,0.8046438547486034,0.007241924157303382,0.0030218677514315603,2.396505986694037,0.65625,0.012046089385474863,0.0035038475305504096,3.437960493555659,0.65625,390.45526617806706,387.20133168575245,0.00646875,0.01275,0,0,0.6389490349997686,0.8840543909996086
base,3e-06,0.0,32,3000,0.7099719101123596,0.7099719101123596,0.7122905027932961,0.7122905027932961,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,432.3803469337334,432.3803469337334,0.0,0.0,0,0,0.6268637330003912,0.8729679600000964
base,3e-06,1.0,32,3000,0.7099719101123596,0.7083918539325843,0.7122905027932961,0.7039106145251397,-0.0015800561797752743,0.002881498609186108,-0.5483452862819768,0.53125,-0.008379888268156426,0.004604909306559348,-1.8197727056686879,0.375,432.3803469337334,432.01026033339247,0.0,0.0,0,0,0.6295917440002086,0.8740011190002406
base,3e-06,5.0,32,3000,0.7099719101123596,0.7105424859550562,0.7122905027932961,0.7159567039106145,0.0005705758426966349,0.007934465872838053,0.07191105889684135,0.46875,0.00366620111731843,0.012873060506108732,0.28479638665402723,0.4375,432.3803469337334,430.28862952898237,0.0,0.0,0,0,0.6257952689998092,0.8754810149998775
base,1e-06,0.0,32,3000,0.6349631320224719,0.6349631320224719,0.6433310055865922,0.6433310055865922,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,479.9146976164752,479.9146976164752,0.0,0.0,0,0,0.6282339650001632,0.8745428420002099
base,1e-06,1.0,32,3000,0.6349631320224719,0.6350070224719101,0.6433310055865922,0.6415851955307263,4.389044943819108e-05,0.0027894421564499208,0.01573448990032106,0.53125,-0.0017458100558659147,0.0029620741398757914,-0.5893876970746997,0.375,479.9146976164752,479.71048651984756,0.0,0.0,0,0,0.6257148019999477,0.8693352340001184
base,1e-06,5.0,32,3000,0.6349631320224719,0.6299596207865168,0.6433310055865922,0.6316340782122905,-0.005003511235955056,0.005455986125733018,-0.9170681744141768,0.40625,-0.011696927374301672,0.006921512071559328,-1.6899381599527434,0.375,479.9146976164752,478.954690160961,0.0,0.0,0,0,0.6214003749996664,0.8697413700001562
lam50,0.0001,0.0,32,3000,0.7720330056179776,0.7720330056179776,0.7838687150837989,0.7838687150837989,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,461.2792161668574,461.2792161668574,0.00803125,0.00803125,0,0,0.6543354909999834,0.901860754000154
lam50,0.0001,1.0,32,3000,0.7720330056179776,0.7724280196629213,0.7838687150837989,0.7817737430167597,0.0003950140449438255,0.0020202375870850818,0.19552850984906936,0.34375,-0.002094972067039104,0.002824100285927834,-0.7418192893071497,0.28125,461.2792161668574,461.46489113699784,0.00803125,0.008546875,0,0,0.6570346469998185,0.9024267179997878
lam50,0.0001,5.0,32,3000,0.7720330056179776,0.7713746488764044,0.7838687150837989,0.7798533519553073,-0.0006583567415730379,0.0030901092567471758,-0.21305290100520963,0.375,-0.0040153631284916246,0.0035760593167471462,-1.122845784376999,0.3125,461.2792161668574,463.5258845250519,0.00803125,0.012390625,0,0,0.6588196950001475,0.9037328750000597
lam50,3e-05,0.0,32,3000,0.7519311797752809,0.7519311797752809,0.7568086592178771,0.7568086592178771,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,461.87823135806264,461.87823135806264,0.0,0.0,0,0,0.6589600960001007,0.9054896090001421
lam50,3e-05,1.0,32,3000,0.7519311797752809,0.7552229634831461,0.7568086592178771,0.762395251396648,0.0032917837078651688,0.0022023662603207097,1.4946577084711683,0.46875,0.005586592178770958,0.002770677935037268,2.016326801511058,0.3125,461.87823135806264,461.86885543280766,0.0,0.0,0,0,0.6493697160003649,0.9058388720000039
lam50,3e-05,5.0,32,3000,0.7519311797752809,0.7592169943820225,0.7568086592178771,0.7704259776536313,0.007285814606741579,0.004411048280210438,1.6517195332974215,0.46875,0.01361731843575419,0.005844953362141738,2.3297565595569543,0.40625,461.87823135806264,461.8269416351279,0.0,0.0,0,0,0.6532071270003144,0.9009667950003859
lam50,1e-05,0.0,32,3000,0.7122103230337078,0.7122103230337078,0.7128142458100558,0.7128142458100558,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,468.3125713936765,468.3125713936765,0.0,0.0,0,0,0.647816540000349,0.8916048400001273
lam50,1e-05,1.0,32,3000,0.7122103230337078,0.7157654494382022,0.7128142458100558,0.7170041899441341,0.0035551264044943846,0.0022623813147577003,1.571409019913664,0.53125,0.004189944134078218,0.0032609901205978677,1.2848686991146225,0.40625,468.3125713936765,468.05146423043607,0.0,0.0,0,0,0.6558718480000607,0.8925898309998956
