tag,eta,s,R,seed,rev_train,nrev_train,rev_test,nrev_test,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test,rev_U,nrev_U,proj_rev,proj_nrev,bad_nrev,bad_rev,wall_rev,wall_nrev
within100,3e-09,0.0,24,3000,0.567837035576586,0.567837035576586,0.5787000525762355,0.5787000525762355,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,14927.965666854952,14927.965666854952,0.0,0.0,0,0,3.1276208099998257,3.1324365810005474
within100,3e-09,10.0,24,3000,0.567837035576586,0.5417214335786892,0.5787000525762355,0.5510975289169295,-0.02611560199789695,0.023654166676158276,-1.1040592702096594,0.3333333333333333,-0.027602523659305985,0.023671986294996367,-1.1660417218617785,0.3333333333333333,14927.965666854952,15028.750256069297,0.0,0.0,0,0,3.0736452309993183,3.08837911000046
within100,3e-09,20.0,24,3000,0.567837035576586,0.5563496757798808,0.5787000525762355,0.566979933403435,-0.011487359796705232,0.027640187344252894,-0.4156035432622981,0.4583333333333333,-0.011720119172800553,0.027319852909319268,-0.4289964229200744,0.4583333333333333,14927.965666854952,14908.976631581492,0.0,0.0,0,0,3.0448562430001402,3.1027807840000605
within100,3e-09,40.0,24,3000,0.567837035576586,0.6413999518051173,0.5787000525762355,0.6475530143708377,0.07356291622853137,0.021858295333613203,3.3654461661247637,0.75,0.06885296179460217,0.021392998136380292,3.2184811757409952,0.7083333333333334,14927.965666854952,13762.978939391794,0.0,0.01525,0,0,3.0672052560003067,3.125440661000539
within100,1e-08,0.0,24,3000,0.5781058315807921,0.5781058315807921,0.588054241149667,0.588054241149667,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,10767.256096462788,10767.256096462788,0.0,0.0,0,0,3.0643342510002185,3.1192295619994184
within100,1e-08,10.0,24,3000,0.5781058315807921,0.5800117201191728,0.588054241149667,0.5880104276200492,0.0019058885383806446,0.02421306260174221,0.07871323713686305,0.375,-4.381352961793419e-05,0.024550884435235284,-0.00178460086574532,0.375,10767.256096462788,10482.432631903659,0.0,0.0,0,0,3.028408066999873,3.097933990999991
within100,1e-08,20.0,24,3000,0.5781058315807921,0.686911255695759,0.588054241149667,0.6887486855941115,0.1088054241149667,0.019838598275487576,5.484531850690574,0.875,0.10069444444444443,0.019499928032422696,5.163836721705789,0.875,10767.256096462788,9340.057986608415,0.0,0.005416666666666667,0,0,3.068226905999836,3.0848602349997236
within100,1e-08,40.0,24,3000,0.5781058315807921,0.7117480502979321,0.588054241149667,0.7119369961444093,0.13364221871713985,0.020739153249738667,6.443957335568841,0.9583333333333334,0.12388275499474238,0.02016665933079661,6.142948763237171,0.9583333333333334,10767.256096462788,8918.475110101239,0.0,0.15466666666666667,0,0,3.0498346869999295,3.160708514000362
within100,3e-08,0.0,24,3000,0.5366144190325972,0.5366144190325972,0.5436820890290921,0.5436820890290921,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0,18416.863254011754,18416.863254011754,0.0,0.0,0,0,3.115855601000476,3.1685876619994815
within100,3e-08,10.0,24,3000,0.5366144190325972,0.654585085874518,0.5436820890290921,0.6563814405888538,0.11797066684192077,0.008143868221186137,14.485827083378148,1.0,0.11269935155976164,0.007896532634937304,14.27200478614326,1.0,18416.863254011754,11603.46758664654,0.0,0.8529166666666667,0,0,3.130715300000702,3.1651611779998348
within100,3e-08,20.0,24,3000,0.5366144190325972,0.6717517744479494,0.5436820890290921,0.6748269365580092,0.13513735541535224,0.008111397690960948,16.660181212165753,1.0,0.13114484752891695,0.008689070484787195,15.093081332292684,1.0,18416.863254011754,10653.620893706293,0.0,0.943,0,0,3.079021687000022,3.1545589339993967
within100,3e-08,40.0,24,3000,0.5366144190325972,0.6981987162635822,0.5436820890290921,0.7021775324220118,0.1615842972309849,0.008147987233942996,19.831191752222544,1.0,0.15849544339291974,0.008524257992243763,18.593459223915442,1.0,18416.863254011754,9543.656760462876,0.0,0.988,0,0,3.0899654100003318,3.1907453339999847
