iteration,reversible,non_reversible,paired_diff,paired_se,t_stat
200,0.6907000000000001,0.6918750000000001,0.0011749999999999994,0.001358407694562446,0.8649833217990394
400,0.6916000000000001,0.6925749999999999,0.0009750000000000047,0.0013026270077086983,0.7484874751023437
700,0.6919249999999999,0.6936250000000002,0.0017000000000000003,0.0011752283251188313,1.4465274225143505
1000,0.695525,0.69585,0.0003249999999999964,0.0011268391252265831,0.28841739049009846
