geometry,s,rev_final_acc,nr_final_acc,paired_diff,paired_se,t_stat,ergodic_variance_ratio,projection_rate,drift_ratio
ball,0.25,0.654,0.654325,0.0003250000000000086,0.0003049569434752023,1.0657242176433215,0.9945737036330043,0.0,0.0829861737945026
ball,0.5,0.654,0.6545500000000001,0.000550000000000006,0.0003633805918667847,1.5135645995139881,0.9841045308713471,0.0,0.16603203852487478
ball,1.0,0.654,0.654975,0.0009750000000000047,0.0004922313141874125,1.9807760536518457,0.9525877267132061,0.0,0.33256518306141325
ball,1.5,0.654,0.6551,0.0011000000000000087,0.0006763687954620237,1.6263316808526107,0.9162363499029471,0.0,0.5001312318392408
ball,2.0,0.654,0.654925,0.0009250000000000081,0.0008006113510021799,1.1553670814710812,0.8839645061603576,0.0,0.669284625554666
ball,3.0,0.654,0.6539,-9.999999999999897e-05,0.001001841738343372,-0.09981616474210511,0.845689641978181,0.0,1.014797441720162
ball,4.0,0.654,0.652225,-0.0017749999999999977,0.0011377892572613766,-1.5600428538694129,0.8435438415393198,0.0,1.37450565538359
ball,5.0,0.654,0.6505,-0.0034999999999999966,0.001401207992549229,-2.497844730126338,0.8777158293401911,0.0,1.754724843166573
ball,7.5,0.654,0.6418,-0.012199999999999997,0.001961201960868163,-6.220674995959844,1.2135413723351574,0.00044,2.848033329535346
ball,10.0,0.654,0.6281,-0.025899999999999992,0.0024294385600734415,-10.660899364014803,2.2202474525478153,0.04059,4.229075972882861
quartic,0.25,0.6541250000000001,0.6540250000000002,-0.0001000000000000012,0.00024078994576144124,-0.41529973223663824,1.0014713318595374,0.0,0.0448311733378579
quartic,0.5,0.6541250000000001,0.6539999999999999,-0.0001249999999999929,0.0003340428055797582,-0.3742035389238374,1.001855774646512,0.0,0.08971427326542351
quartic,1.0,0.6541250000000001,0.655075,0.0009500000000000042,0.00048821981305410605,1.945844831771959,0.9994625101209397,0.0,0.17984053014373816
quartic,1.5,0.6541250000000001,0.6547499999999999,0.0006250000000000045,0.0005588758106387971,1.1183164275541415,0.9933639812364242,0.0,0.2707497941463017
quartic,2.0,0.6541250000000001,0.654075,-5.0000000000006704e-05,0.0006425367968867897,-0.0778165550086252,0.9845491819284868,1e-05,0.3628666402278878
quartic,3.0,0.6541250000000001,0.6533249999999999,-0.0007999999999999985,0.0008490041700769683,-0.9422804129777982,0.9636564589462375,4e-05,0.5550390770337522
quartic,4.0,0.6541250000000001,0.6528,-0.0013249999999999972,0.0010084585446926595,-1.313886432886349,0.946353674876912,0.00059,0.7744467515880117
quartic,5.0,0.6541250000000001,0.6517499999999999,-0.0023750000000000047,0.0012458897068425285,-1.9062682570987703,0.9645592962534686,0.0073,1.1212220497353045
quartic,7.5,0.6541250000000001,0.5996,-0.054525000000000004,0.006074630034043642,-8.975855269280466,69.43872313561273,0.40058,7.264970051470602
quartic,10.0,0.6541250000000001,0.5429499999999999,-0.11117499999999997,0.005313345001127831,-20.92373071509596,107.51720601070657,0.76693,13.337381552781451
