geometry,seed_offset,ergodic_variance_ratio
L1-smooth ball,101,0.5202931815793778
L1-smooth ball,202,0.5161579289373109
L1-smooth ball,303,0.5528604337826833
L1-smooth ball,404,0.525557034663153
unit ball,101,0.518844285926326
unit ball,202,0.5008228652316741
unit ball,303,0.5666205834803126
unit ball,404,0.5598846667579268
