geometry,seed_offset,held_out,reversible,non_reversible,paired_diff,paired_se,t_stat
unit ball,0,False,0.6589499999999999,0.6588749999999999,-7.500000000000284e-05,0.0010398954638604673,-0.07212263405936571
unit ball,101,True,0.6594000000000001,0.65805,-0.0013500000000000022,0.0011017777186956286,-1.225292522341293
unit ball,202,True,0.6589500000000001,0.6584,-0.000549999999999996,0.0012214311030074275,-0.45029146436976847
unit ball,303,True,0.6569249999999998,0.6574000000000001,0.0004750000000000054,0.0011745915903157178,0.4043958801648924
smoothed l^4 ball,0,False,0.6574249999999999,0.6581249999999998,0.0007000000000000028,0.0007580210812345267,0.9234571667320522
smoothed l^4 ball,101,True,0.6581999999999999,0.6585,0.00030000000000000247,0.0008669579929939878,0.3460375271055179
smoothed l^4 ball,202,True,0.6579999999999999,0.6564999999999999,-0.0015000000000000091,0.0007264831572567794,-2.064741604835067
smoothed l^4 ball,303,True,0.6571750000000001,0.65715,-2.5000000000000577e-05,0.0007748370633542742,-0.03226484790463614
