geometry,s,ergodic_variance_ratio,rev_test_acc,nr_test_acc,paired_accuracy_diff,accuracy_t,projection_rate
unit ball,0.5,0.9843641468709682,0.651525,0.6512750000000002,-0.0002500000000000013,-0.6382847385042278,0.0
L1-smooth ball,0.5,0.8680222714705337,0.652975,0.65375,0.000774999999999999,1.251542126497279,0.0
unit ball,1.0,0.9448773851749322,0.651525,0.651325,-0.0002000000000000035,-0.3569210460350954,0.0
L1-smooth ball,1.0,0.6891507448895206,0.652975,0.6529499999999999,-2.5000000000000577e-05,-0.028545078755624745,0.0
unit ball,2.0,0.8362763821538438,0.651525,0.6519499999999999,0.00042500000000000204,0.5913718776757056,0.0
L1-smooth ball,2.0,0.5181772432310389,0.652975,0.65365,0.0006749999999999956,0.5631484621870425,0.0
unit ball,3.0,0.7402649906295987,0.651525,0.652075,0.0005500000000000038,0.6315966931225442,0.0
L1-smooth ball,3.0,0.4771042471421986,0.652975,0.6546999999999998,0.0017250000000000043,1.1778608476211931,0.0
unit ball,4.0,0.666773721901096,0.651525,0.652225,0.0007000000000000051,0.7169091893845586,0.0
L1-smooth ball,4.0,0.47353563904721757,0.652975,0.6533500000000001,0.00037499999999999865,0.23409489150748877,0.0
unit ball,5.0,0.6129165478305195,0.651525,0.652675,0.001149999999999999,1.0839749456092067,0.0
L1-smooth ball,5.0,0.49275243041509315,0.652975,0.6529249999999999,-4.999999999999783e-05,-0.027762094840923162,1e-05
unit ball,7.0,0.5601130621095323,0.651525,0.652975,0.0014500000000000025,1.1167621441489024,0.0
L1-smooth ball,7.0,1.3219219146240364,0.652975,0.608575,-0.044399999999999995,-20.174346182005785,0.00063
unit ball,10.0,0.5272072504378315,0.651525,0.652425,0.0009000000000000053,0.7105822376447776,0.0
L1-smooth ball,10.0,3.9787689263180654,0.652975,0.5511250000000001,-0.10185000000000001,-41.82451490316153,0.73403
