geometry,seed_offset,ergodic_variance_ratio
L1-smooth ball,101,0.5215000705793635
L1-smooth ball,202,0.5251178294984029
L1-smooth ball,303,0.5488007762089463
L1-smooth ball,404,0.533771033462638
unit ball,101,0.5337450644993755
unit ball,202,0.5109676532961109
unit ball,303,0.5590694775682638
unit ball,404,0.5588889434372873
