split,R,avg_rev,avg_nrev,avg_d_pts,avg_se_pts,avg_t,avg_win,final_d_pts,final_t
train,1500,0.7585219282348677,0.7696183097740729,1.109638153920507,0.05197387880915656,21.349919985672013,0.7093333333333334,0.900749063670412,18.00279770703244
test,1500,0.7638853847540098,0.780668949360245,1.6783564606235317,0.07077559549857701,23.71377377753432,0.726,1.1474860335195534,18.18727841145255
