experiment,eta,s,R,n_iter,rev_train,nrev_train,rev_test,nrev_test,d_train,t_train,d_test,t_test,proj_nrev
magic_ball,1e-06,5.0,100,600,0.7792304153522608,0.7799007623554154,0.7783017875920083,0.7789642481598318,0.00067034700315458,2.9251721027649236,0.0006624605678233486,2.0043584801624186,0.0
magic_lp,1e-06,5.0,100,600,0.7792304153522608,0.7802116193480546,0.7783017875920083,0.7790746582544691,0.0009812039957938989,3.399782328068471,0.0007728706624605685,2.1134594699192735,0.0
titanic_ball,1e-05,5.0,100,600,0.7105617977528088,0.7145084269662921,0.7158100558659217,0.718491620111732,0.003946629213483159,0.9335215131240214,0.0026815642458100585,0.4167201083964913,0.0
titanic_lp,1e-05,5.0,100,600,0.7105617977528088,0.7147050561797754,0.7158100558659217,0.7266480446927374,0.0041432584269662995,1.188971551367155,0.010837988826815644,2.4511283389419996,0.0
