experiment,eta,lam,delta,s,train,test,d_train,t_train,d_test,t_test,U,a,penalty,near_kink,proj
magic_ball,1e-06,5.0,0.015403270679109895,reversible,0.7837177970557307,0.7837329127234489,0.0,0.0,0.0,0.0,7153.46493931579,0.9628176504998227,15.35133305764756,0.65,0.05513
magic_ball,1e-06,5.0,0.015403270679109895,1,0.7840293112513145,0.7840562565720294,0.0003115141955835976,3.3945392433054664,0.0003233438485804396,2.028009706938836,7151.060933639238,0.9621671821439155,15.345224599284084,0.57,0.05516
magic_ball,1e-06,5.0,0.015403270679109895,5,0.7841528654048369,0.7841982124079917,0.00043506834910620574,2.090941702004333,0.00046529968454258274,1.6689061208615759,7148.439585230454,0.9643067053658839,15.482900124313323,0.49,0.05697
magic_ball,1e-06,7.5,0.010268847119406597,reversible,0.7837618296529968,0.7837723449001053,0.0,0.0,0.0,0.0,7159.158399670494,0.9741357522360148,23.033763626857635,0.61,0.05677
magic_ball,1e-06,7.5,0.010268847119406597,1,0.7840569137749737,0.7840667718191376,0.00029508412197686186,3.277400483945119,0.00029442691903259544,1.9866328442789993,7156.8461598846325,0.9732826710218727,23.022178538962894,0.58,0.05675
magic_ball,1e-06,7.5,0.010268847119406597,5,0.7841798107255522,0.7841272344900106,0.00041798107255520576,2.024264880631451,0.0003548895899053595,1.3093190041173501,7154.455541118439,0.9749650273073692,23.21559874126808,0.47,0.05866
magic_ball,1e-06,10.0,0.007701635339554948,reversible,0.7837703732912723,0.7837644584647739,0.0,0.0,0.0,0.0,7165.80831672581,0.9801966906070078,30.69474533325229,0.6,0.05657
magic_ball,1e-06,10.0,0.007701635339554948,1,0.7840516561514196,0.7840509989484751,0.00028128286014721284,3.1449023956932787,0.0002865404837013652,1.987988046326093,7163.534468997772,0.9793112591889591,30.677632636303528,0.57,0.05645
magic_ball,1e-06,10.0,0.007701635339554948,5,0.7842126708727655,0.7841298633017874,0.00044229758149316734,2.131080883717414,0.0003654048370136675,1.3207251110989604,7161.268731769801,0.9803819537120491,30.92360595439207,0.48,0.05843
magic_ball,1e-06,15.0,0.005134423559703298,reversible,0.7837381703470032,0.7837329127234487,0.0,0.0,0.0,0.0,7180.111348218951,0.9865340536102758,45.947358466904895,0.59,0.05438
magic_ball,1e-06,15.0,0.005134423559703298,1,0.7840043375394322,0.784008937960042,0.00026616719242902875,3.0688054359049066,0.00027602523659305824,1.9567138988027748,7177.870875695961,0.9843622560225428,45.915809207255386,0.55,0.05406
magic_ball,1e-06,15.0,0.005134423559703298,5,0.784144978969506,0.7840799158780233,0.00040680862250263796,1.980782559586506,0.0003470031545741303,1.2850543818329205,7175.725741744351,0.9857505380276111,46.26383351602206,0.47,0.05603
magic_ball,1e-06,20.0,0.003850817669777474,reversible,0.7836829652996845,0.7837513144058883,0.0,0.0,0.0,0.0,7194.929315702942,0.9891516893568832,61.100188821744624,0.6,0.05122
magic_ball,1e-06,20.0,0.003850817669777474,1,0.7839333596214508,0.7839589905362775,0.0002503943217665616,2.874586792653425,0.00020767613038906286,1.4269037437719096,7192.725260318261,0.9869059819553931,61.05214201345493,0.59,0.05065
magic_ball,1e-06,20.0,0.003850817669777474,5,0.7840746582544691,0.7839773922187173,0.00039169295478444277,1.940813514515787,0.00022607781282860007,0.8221686656436097,7190.60741449207,0.9890887641425483,61.49979711442314,0.48,0.05256
magic_ball,1e-05,5.0,0.015403270679109895,reversible,0.7872502628811776,0.7876235541535226,0.0,0.0,0.0,0.0,7100.287675910011,0.9803237236315847,16.49868322147847,0.0,0.77657
magic_ball,1e-05,5.0,0.015403270679109895,1,0.7871595688748687,0.7876787592008411,-9.069400630914992e-05,-2.4221636217158546,5.5205047318611646e-05,0.7497923327272784,7100.212617638368,0.9803576002833074,16.49543782271932,0.0,0.77672
magic_ball,1e-05,5.0,0.015403270679109895,5,0.7870649316508938,0.7875210304942166,-0.00018533123028391163,-1.8662368278001393,-0.00010252365930599305,-0.9825375081868079,7101.297503800438,0.9804474588432764,16.514618356757836,0.0,0.78079
magic_ball,1e-05,7.5,0.010268847119406597,reversible,0.7871549684542586,0.7875893796004205,0.0,0.0,0.0,0.0,7108.547985313638,0.9867631373162874,24.711482569003255,0.0,0.77402
magic_ball,1e-05,7.5,0.010268847119406597,1,0.7871083070452155,0.7876235541535226,-4.666140904310945e-05,-1.1753483671232674,3.417455310199768e-05,0.5014745808082653,7108.473228750827,0.98678680578083,24.706659308256807,0.0,0.77386
magic_ball,1e-05,7.5,0.010268847119406597,5,0.7869992113564669,0.7874579390115667,-0.00015575709779179768,-1.5391423076735964,-0.00013144058885383725,-1.2020123232392061,7109.564723190368,0.9868472554306712,24.735388410867905,0.0,0.77824
magic_ball,1e-05,10.0,0.007701635339554948,reversible,0.7871004206098844,0.7875762355415352,0.0,0.0,0.0,0.0,7116.796686896311,0.9900029928263695,32.89933426930572,0.0,0.77021
magic_ball,1e-05,10.0,0.007701635339554948,1,0.7870550736067298,0.787568349106204,-4.5347003154574405e-05,-1.0905191173840652,-7.886435331230235e-06,-0.13103666517360119,7116.722066655979,0.9900213383028413,32.892881343618484,0.0,0.76977
magic_ball,1e-05,10.0,0.007701635339554948,5,0.7869578075709778,0.7874185068349107,-0.00014261303890641952,-1.4101943859467136,-0.0001577287066246047,-1.4513383405406897,7117.814335050581,0.9900671739445793,32.931098379034616,0.0,0.77439
magic_ball,1e-05,15.0,0.005134423559703298,reversible,0.7869564931650893,0.7875,0.0,0.0,0.0,0.0,7133.257275656848,0.9932534456309883,49.19855324364185,0.0,0.76131
magic_ball,1e-05,15.0,0.005134423559703298,1,0.7869328338590956,0.7874710830704521,-2.3659305993682932e-05,-0.5051002146843134,-2.8916929547844193e-05,-0.43963068771437314,7133.183180944228,0.9932663566847935,49.18865463925084,0.0,0.76121
magic_ball,1e-05,15.0,0.005134423559703298,5,0.7868368822292326,0.7873080967402736,-0.00011961093585699523,-1.168751577067001,-0.0001919032597266024,-1.7484634151306826,7134.271235937215,0.9932976369476256,49.24557911904345,0.0,0.76538
magic_ball,1e-05,20.0,0.003850817669777474,reversible,0.7868395110410095,0.7873685594111461,0.0,0.0,0.0,0.0,7149.667943796238,0.9948805355538817,65.39289082178475,0.0,0.75099
magic_ball,1e-05,20.0,0.003850817669777474,1,0.7868217665615141,0.7873711882229233,-1.7744479495268582e-05,-0.41494042468527736,2.628811777076745e-06,0.041138019168876175,7149.594489759085,0.9948907135080599,65.37928784660757,0.0,0.75114
magic_ball,1e-05,20.0,0.003850817669777474,5,0.7867231861198739,0.7872712933753944,-0.00011632492113564319,-1.1125960321008,-9.726603575183956e-05,-0.8732482603842947,7150.675370897465,0.9949147191439118,65.45447282577129,0.0,0.75506
magic_lp,1e-06,5.0,0.015403270679109895,reversible,0.7837243690851734,0.7837644584647737,0.0,0.0,0.0,0.0,7131.462035246413,0.9637862676669339,15.996894747224562,0.63,0.0
magic_lp,1e-06,5.0,0.015403270679109895,1,0.7841719242902208,0.7839300736067297,0.0004475552050473175,3.765799598987143,0.00016561514195583492,0.7920565559348792,7128.83804713669,0.964155150512128,16.16612298115363,0.6,0.0
magic_lp,1e-06,5.0,0.015403270679109895,5,0.7842047844374342,0.7842744479495269,0.000480415352260779,2.017597280993434,0.0005099894847528885,1.8593343416838608,7125.659763464046,0.9679323163188333,16.336679622087377,0.48,0.0
magic_lp,1e-06,7.5,0.010268847119406597,reversible,0.7837782597266036,0.7837881177707675,0.0,0.0,0.0,0.0,7136.960208529194,0.9747049954845645,24.02705505106493,0.59,0.0
magic_lp,1e-06,7.5,0.010268847119406597,1,0.7842021556256572,0.7839668769716087,0.0004238958990536312,3.5903499685143485,0.00017875920084121867,0.8698761766443522,7134.572226917492,0.9736007589457405,24.26940403458056,0.57,0.0
magic_lp,1e-06,7.5,0.010268847119406597,5,0.7842501314405887,0.7843796004206098,0.00047187171398527906,2.007419513273889,0.0005914826498422676,2.2643694456556975,7131.534615464882,0.9761871449793885,24.505482129007376,0.49,0.0
magic_lp,1e-06,10.0,0.007701635339554948,reversible,0.7837960042060987,0.7837854889589906,0.0,0.0,0.0,0.0,7144.02866931126,0.9806734063648652,32.01234276276538,0.57,0.0
magic_lp,1e-06,10.0,0.007701635339554948,1,0.7842074132492113,0.7839984227129336,0.00041140904311250836,3.5332202402051647,0.00021293375394321635,1.0289198105723716,7141.755147216791,0.9792835517306899,32.32453267884443,0.57,0.0
magic_lp,1e-06,10.0,0.007701635339554948,5,0.784259989484753,0.7844164037854888,0.0004639852786540466,2.0121166448464862,0.0006309148264984187,2.414925973515085,7138.854813298033,0.9806754196992454,32.6228616035678,0.5,0.0
magic_lp,1e-06,15.0,0.005134423559703298,reversible,0.7837762881177707,0.7837933753943217,0.0,0.0,0.0,0.0,7159.813638046412,0.9868580330427867,47.83544666920614,0.56,0.0
magic_lp,1e-06,15.0,0.005134423559703298,1,0.7841706098843321,0.7839984227129336,0.0003943217665615162,3.4667873729748693,0.0002050473186119861,1.0392155774855758,7157.630381143195,0.98506662223683,48.27585717580313,0.59,0.0
magic_lp,1e-06,15.0,0.005134423559703298,5,0.7841706098843322,0.7843690851735015,0.00039432176656151174,1.733686030220884,0.0005757097791798071,2.253564921982422,7154.966854830574,0.9857189665013756,48.69781408136184,0.51,0.0
magic_lp,1e-06,20.0,0.003850817669777474,reversible,0.7837223974763406,0.7837618296529968,0.0,0.0,0.0,0.0,7176.370450346141,0.9894854649428977,63.4565098949546,0.55,0.0
magic_lp,1e-06,20.0,0.003850817669777474,1,0.7841042323869613,0.7839931650893794,0.0003818349106204022,3.3601011340081337,0.00023133543638275355,1.1925684818345348,7174.251793280906,0.9872124553670654,64.00928548755792,0.6,0.0
magic_lp,1e-06,20.0,0.003850817669777474,5,0.7841121188222923,0.7842928496319663,0.00038972134595163576,1.749272377075845,0.0005310199789695014,2.0868418287122297,7171.751007523849,0.989256375392202,64.55723034326373,0.54,0.0
magic_lp,1e-05,5.0,0.015403270679109895,reversible,0.7896812565720294,0.7907360672975814,0.0,0.0,0.0,0.0,6982.674491345708,0.9877199284271297,24.20984415569068,0.0,0.00096
magic_lp,1e-05,5.0,0.015403270679109895,1,0.7897916666666666,0.790814931650894,0.00011041009463722218,1.2731701977414422,7.886435331230234e-05,0.5699358138736648,6982.691656064249,0.9875906702683657,24.162723963375345,0.0,0.00099
magic_lp,1e-05,5.0,0.015403270679109895,5,0.5336586487907465,0.5339064143007362,-0.25602260778128294,-48.824089543980236,-0.25682965299684535,-52.952066098249496,16306.325960878909,0.8503762706986943,14.974690103587248,4.08,0.97109
magic_lp,1e-05,7.5,0.010268847119406597,reversible,0.7896937434279707,0.7907386961093588,0.0,0.0,0.0,0.0,6994.870298892022,0.9917140240045588,36.064028224440776,0.0,0.00053
magic_lp,1e-05,7.5,0.010268847119406597,1,0.7897936382754994,0.7907229232386959,9.989484752890631e-05,1.1338653756126045,-1.577287066246047e-05,-0.11315202051833244,6994.88786778279,0.9916255601514709,35.99209935521813,0.0,0.00058
magic_lp,1e-05,7.5,0.010268847119406597,5,0.537226603575184,0.5383175604626708,-0.2524671398527865,-47.96057625554513,-0.2524211356466876,-51.493703425722074,16347.353476621707,0.875258215195871,22.085564127595543,4.11,0.97208
magic_lp,1e-05,10.0,0.007701635339554948,reversible,0.7896832281808625,0.7907124079915877,0.0,0.0,0.0,0.0,7006.965845254116,0.9937154643189064,47.738423225173676,0.0,0.00026
magic_lp,1e-05,10.0,0.007701635339554948,1,0.7897404048370139,0.7906203995793902,5.717665615141643e-05,0.6525869555893492,-9.200841219768608e-05,-0.7006017852384534,7006.988601517896,0.9936474745091054,47.642212225432075,0.0,0.00029
magic_lp,1e-05,10.0,0.007701635339554948,5,0.5488466088328074,0.5510357518401683,-0.2408366193480547,-46.897908126529,-0.23967665615141953,-48.487950999705454,16010.5989008799,0.8928968067880493,29.854306039427282,4.12,0.97265
magic_lp,1e-05,15.0,0.005134423559703298,reversible,0.7896497108307047,0.7905257623554155,0.0,0.0,0.0,0.0,7030.866954492439,0.9957176018750427,70.55140275976224,0.0,3e-05
magic_lp,1e-05,15.0,0.005134423559703298,1,0.7896779705573083,0.7904153522607781,2.8259726603576675e-05,0.3168045242408053,-0.00011041009463722329,-0.8278211116741917,7030.89523164814,0.9956700012578322,70.40633890324055,0.0,5e-05
magic_lp,1e-05,15.0,0.005134423559703298,5,0.5440595425867507,0.5437907465825447,-0.24559016824395372,-45.368241051787926,-0.24673501577287063,-47.97854657294463,16221.825503508575,0.9185515104636824,45.28675697920027,4.06,0.97321
magic_lp,1e-05,20.0,0.003850817669777474,reversible,0.7895603312302838,0.7903916929547842,0.0,0.0,0.0,0.0,7054.39037732998,0.9967170449252448,92.66267100815341,0.0,0.0
magic_lp,1e-05,20.0,0.003850817669777474,1,0.7896556256572027,0.7901919032597264,9.529442691903256e-05,1.0584670771074205,-0.00019978969505783263,-1.5990865993676002,7054.4277031072,0.9966795123690874,92.46870178856308,0.0,0.0
magic_lp,1e-05,20.0,0.003850817669777474,5,0.5501715299684542,0.5494742376445848,-0.23938880126182965,-44.84788402212905,-0.24091745531019973,-47.77666351560482,16397.563515865215,0.9323904328415235,60.40818387208105,4.1,0.97352
titanic_ball,1e-05,5.0,0.015403270679109895,reversible,0.7642696629213482,0.7706703910614524,0.0,0.0,0.0,0.0,394.1042407040651,0.9427930283475847,13.56575865562465,1.24,0.0031533333333333335
titanic_ball,1e-05,5.0,0.015403270679109895,1,0.7668258426966292,0.7722905027932961,0.0025561797752809024,1.540585756777815,0.001620111731843582,0.5867248312831225,392.99745058623785,0.9471983629133205,13.519912036330613,1.08,0.0032866666666666665
titanic_ball,1e-05,5.0,0.015403270679109895,5,0.7775702247191013,0.7868715083798883,0.01330056179775281,6.413163850186617,0.01620111731843576,4.836727290168481,390.00144798552776,0.9428602083966402,13.596189280705044,1.3,0.00422
titanic_ball,1e-05,7.5,0.010268847119406597,reversible,0.7647752808988766,0.7702793296089385,0.0,0.0,0.0,0.0,401.11682573814085,0.9515609503445103,19.401849190626386,1.45,0.0018733333333333334
titanic_ball,1e-05,7.5,0.010268847119406597,1,0.7666432584269662,0.7721229050279331,0.001867977528089887,1.1557557704161299,0.0018435754189944098,0.6931216535262261,400.0194674401258,0.955943819035875,19.311251720421755,1.25,0.00216
titanic_ball,1e-05,7.5,0.010268847119406597,5,0.7771348314606742,0.786536312849162,0.012359550561797761,6.026375000103788,0.016256983240223476,4.843081400901625,397.15443770627354,0.9546256386735031,19.466601617811435,1.55,0.0024533333333333334
