stage,exp,init,arm,eta,s,train,test,proj,nbad,d_train,t_train
search,magic_ball,boundary,rev,1e-06,-,0.7796562828601472,0.7792948212407991,0.0223125,0,,
search,magic_ball,boundary,nrev,1e-06,u1,0.7799397016298633,0.7801163249211357,0.0225,0,0.00028341876971607616,1.1613353267984856
search,magic_ball,boundary,nrev,1e-06,u5,0.7802641955835963,0.7798698738170347,0.0275625,0,0.0006079127234490111,1.02433224739986
search,magic_ball,boundary,nrev,1e-06,gn5,0.7812130323343849,0.7810364090431126,0.0294375,0,0.0015567494742376384,2.338665696938636
search,magic_ball,boundary,rev,1e-05,-,0.7822234818611988,0.7825644058885384,0.2535,0,,
search,magic_ball,boundary,nrev,1e-05,u1,0.7823959976340693,0.7825808359621451,0.2540625,0,0.0001725157728706614,1.5929216269330384
search,magic_ball,boundary,nrev,1e-05,u5,0.7822481269716088,0.7825644058885384,0.2723125,0,2.4645110410094484e-05,0.09814548674270475
search,magic_ball,boundary,nrev,1e-05,gn5,0.7827492442166142,0.783139458464774,0.269,0,0.000525762355415342,2.328890038958282
search,magic_ball,boundary,rev,3e-05,-,0.7825931585173501,0.7825479758149316,0.4455,0,,
search,magic_ball,boundary,nrev,3e-05,u1,0.7824452878548895,0.782465825446898,0.4461875,0,-0.00014787066246057384,-1.02564518813682
search,magic_ball,boundary,nrev,3e-05,u5,0.6275959516298633,0.6270866193480547,0.997875,0,-0.15499720688748686,-17.271554912511032
search,magic_ball,boundary,nrev,3e-05,gn5,0.7825602983701366,0.7829258675078865,0.476875,0,-3.286014721346625e-05,-0.10961029742121038
search,magic_ball,boundary,rev,0.0001,-,0.7825561908517349,0.7827779968454259,0.684125,0,,
search,magic_ball,boundary,nrev,0.0001,u1,0.7825151156677183,0.7831065983175605,0.6895625,0,-4.107518401681026e-05,-0.2245217168655052
search,magic_ball,boundary,nrev,0.0001,u5,0.577114550473186,0.5751018664563617,0.9999375,0,-0.2054416403785489,-14.332685505019478
search,magic_ball,boundary,nrev,0.0001,gn5,0.7235557965299685,0.7205408780231335,0.999625,0,-0.059000394321766576,-18.821488882611703
search,magic_ball,antimap,rev,1e-06,-,0.7789621122502629,0.7784897476340694,0.0,0,,
search,magic_ball,antimap,nrev,1e-06,u1,0.7786992310725552,0.7781447160883281,0.0,0,-0.0002628811777076884,-1.621769708158878
search,magic_ball,antimap,nrev,1e-06,u5,0.779011402471083,0.7785883280757098,0.0,0,4.929022082018203e-05,0.14635016981099475
search,magic_ball,antimap,nrev,1e-06,gn5,0.7788922844374343,0.7785390378548896,0.0,0,-6.982781282861145e-05,-0.2924002385987378
search,magic_ball,antimap,rev,1e-05,-,0.782207051787592,0.7825479758149316,0.223875,0,,
search,magic_ball,antimap,nrev,1e-05,u1,0.7823918901156677,0.7825644058885384,0.223375,0,0.00018483832807570516,1.6903283840991825
search,magic_ball,antimap,nrev,1e-05,u5,0.7822275893796005,0.7825644058885384,0.2296875,0,2.053759200841554e-05,0.08347644807747501
search,magic_ball,antimap,nrev,1e-05,gn5,0.7827451366982123,0.7829915878023135,0.227375,0,0.0005380849106203858,2.6572864555953912
search,magic_ball,antimap,rev,3e-05,-,0.7825931585173501,0.7825479758149316,0.4311875,0,,
search,magic_ball,antimap,nrev,3e-05,u1,0.7824452878548895,0.782465825446898,0.4306875,0,-0.00014787066246057384,-1.02564518813682
search,magic_ball,antimap,nrev,3e-05,u5,0.6084343782860147,0.6135810988433228,0.9959375,0,-0.17415878023133544,-21.160244799720587
search,magic_ball,antimap,nrev,3e-05,gn5,0.7825849434805467,0.7829094374342798,0.44925,0,-8.215036803371767e-06,-0.03164071142115551
search,magic_ball,antimap,rev,0.0001,-,0.7825561908517349,0.7827779968454259,0.6779375,0,,
search,magic_ball,antimap,nrev,0.0001,u1,0.7825151156677183,0.7831065983175605,0.68225,0,-4.107518401681026e-05,-0.2245217168655052
search,magic_ball,antimap,nrev,0.0001,u5,0.6061629206098843,0.6157827287066246,0.999,0,-0.17639327024185067,-258.7877151254391
search,magic_ball,antimap,nrev,0.0001,gn5,0.7270759398002102,0.7271129074658255,0.9915,0,-0.05548025105152471,-13.58617956380894
