experiment,s,split,R,final_d,final_t,avg_rev,avg_nrev,avg_d,avg_se,avg_t,avg_win
titanic_ball,0.0,train,150,0.0,0.0,0.7945418145081796,0.7945418145081796,0.0,1e-300,0.0,0.0
titanic_ball,0.0,test,150,0.0,0.0,0.8023297069489365,0.8023297069489365,0.0,1e-300,0.0,0.0
titanic_ball,0.25,train,150,-0.0002528089887640387,-0.8739267530571868,0.7945418145081796,0.7945760644588991,3.424995071951005e-05,0.00014670761950493419,0.23345720443891554,0.5133333333333333
titanic_ball,0.25,test,150,-7.448789571694518e-05,-0.12458912575034231,0.8023297069489365,0.8020979123787121,-0.00023179457022444913,0.00017332984437112728,-1.337303284760006,0.43333333333333335
titanic_ball,1.0,train,150,-0.00014981273408239736,-0.23329339167430557,0.7945418145081796,0.7959370687955835,0.001395254287403919,0.0004173903727523592,3.3428041912019224,0.5933333333333334
titanic_ball,1.0,test,150,0.0005214152700186229,0.5978600174047787,0.8023297069489365,0.8032122905027933,0.0008825835538566699,0.00047782531158954044,1.8470841381773078,0.5133333333333333
titanic_ball,2.0,train,150,0.0001029962546816517,0.12833127464250876,0.7945418145081796,0.7966575497733087,0.0021157352651291527,0.0005661276470144534,3.7372053392671303,0.6266666666666667
titanic_ball,2.0,test,150,0.0004841713221601511,0.4947307423253156,0.8023297069489365,0.8044334999509947,0.0021037930020581757,0.0005931193991371999,3.5469974597332774,0.6066666666666667
titanic_ball,5.0,train,150,-4.681647940074714e-05,-0.04851018930866266,0.7945418145081796,0.7974542923319525,0.0029124778237729393,0.000545113341031908,5.3428848728221805,0.66
titanic_ball,5.0,test,150,0.0015270018621973975,1.310824058477917,0.8023297069489365,0.8054709399196314,0.00314123297069481,0.0005687447072159354,5.523098379361581,0.6466666666666666
titanic_lp,0.0,train,150,0.0,0.0,0.802571847072347,0.802571847072347,0.0,1e-300,0.0,0.0
titanic_lp,0.0,test,150,0.0,0.0,0.8036989509006768,0.8036989509006768,0.0,1e-300,0.0,0.0
titanic_lp,0.25,train,150,0.00034644194756553966,0.9566615835773318,0.802571847072347,0.8030926688174429,0.00052082174509588,0.00014161999132292547,3.6776004590219835,0.5733333333333334
titanic_lp,0.25,test,150,0.0008193668528864051,1.09254625042697,0.8036989509006768,0.8051444585799363,0.0014455076792594826,0.00022826008337999558,6.3327221205517406,0.6933333333333334
titanic_lp,1.0,train,150,-8.426966292135463e-05,-0.16037058404999954,0.802571847072347,0.8037172284644188,0.0011453813920718388,0.00032488805735049936,3.5254647444186156,0.5466666666666666
titanic_lp,1.0,test,150,0.00026070763500930517,0.27780708059707454,0.8036989509006768,0.804313291664362,0.0006143407636853667,0.0003744239233566492,1.6407625831648316,0.5333333333333333
titanic_lp,2.0,train,150,-0.0005898876404494447,-0.9530510688122622,0.802571847072347,0.8038556383728255,0.0012837913004784408,0.0003567316799325582,3.598758878721249,0.5933333333333334
titanic_lp,2.0,test,150,0.0006331471135940385,0.6408185251254667,0.8036989509006768,0.8042509725832919,0.0005520216826151854,0.0003749877429076436,1.4721059369429677,0.52
titanic_lp,5.0,train,150,-0.0016198501872659165,-2.402303531865047,0.802571847072347,0.8032570363777944,0.0006851893054474874,0.0003608429682265212,1.8988573029843718,0.5266666666666666
titanic_lp,5.0,test,150,0.0003724394785847318,0.3616856448723969,0.8036989509006768,0.8043306230064349,0.0006316721057580085,0.0004037083019863357,1.5646745500403128,0.52
