experiment,eta,s,R,rev_train,nrev_train,rev_test,nrev_test,d_train,t_train,d_test,t_test,proj_rev,proj_nrev,wall_rev,wall_nrev
magic_ball,1e-06,5.0,100,0.7810331230283913,0.7814478180862251,0.7810672975814933,0.7812250262881179,0.00041469505783385817,2.3457249070631994,0.0001577287066246047,0.6509848023125051,0.00122,0.00131,24.39637821500014,24.860992630000055
magic_lp,1e-06,5.0,100,0.7810331230283913,0.7815983175604627,0.7810699263932702,0.7815509989484752,0.000565194532071499,2.959498367840139,0.00048107255520504544,1.8714701892723609,0.0,0.0,17.739837171999852,17.418370635999963
titanic_ball,1e-05,5.0,100,0.7662921348314607,0.7764044943820226,0.7716201117318435,0.7860335195530724,0.010112359550561792,4.0866628851986295,0.014413407821229044,4.546253278651873,0.004506666666666667,0.00458,1.9289726259999043,2.1882899209999778
titanic_lp,1e-05,5.0,100,0.7826404494382024,0.7916573033707867,0.7889385474860336,0.8018994413407821,0.009016853932584277,4.721191603226099,0.012960893854748608,5.512143332022804,0.0,0.0,2.4264409969998724,2.870727079000062
