geometry,seed_offset,ergodic_variance_ratio
L1-smooth ball,101,0.2676897930383633
L1-smooth ball,202,0.24552702838700327
L1-smooth ball,303,0.19057915027751213
L1-smooth ball,404,0.2441113894349407
unit ball,101,0.6953393981990824
unit ball,202,0.7704081293971562
unit ball,303,0.7284067879810718
unit ball,404,0.681395241157759
