experiment,eta,s,rev_train,nrev_train,rev_test,nrev_test,rev_U,nrev_U,proj_nrev,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test
magic_ball,0.0001,0.0,0.782902865404837,0.782902865404837,0.7835173501577287,0.7835173501577287,7561.14842300336,7561.14842300336,0.681725,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_ball,0.0001,0.25,0.782902865404837,0.7829620136698212,0.7835173501577287,0.7834844900105152,7561.14842300336,7561.177513030542,0.681825,5.9148264984229536e-05,4.141836068522258e-05,1.4280687116941524,0.575,-3.286014721345931e-05,5.8166482857306654e-05,-0.564932682866032,0.35
magic_ball,0.0001,1.0,0.782902865404837,0.7829735147213459,0.7835173501577287,0.7835042060988433,7561.14842300336,7561.653079584695,0.68555,7.064931650894723e-05,8.771298536051413e-05,0.8054601746658999,0.5,-1.3144058885383724e-05,0.00011602792955352353,-0.11328357694532838,0.475
magic_ball,0.0001,2.0,0.782902865404837,0.7564027996845426,0.7835173501577287,0.7584253417455311,7561.14842300336,8288.903964540954,0.901125,-0.026500065720294414,0.00347628953921813,-7.623089337447617,0.2,-0.025092008412197702,0.0034059504482176423,-7.367109062120538,0.125
magic_ball,0.0001,5.0,0.782902865404837,0.5737595294426919,0.7835173501577287,0.5742573606729758,7561.14842300336,13776.176337127492,0.9993,-0.20914333596214513,0.010812550115390807,-19.342646621766516,0.0,-0.20925998948475288,0.009955620369846496,-21.019281743462003,0.0
magic_ball,3e-05,0.0,0.7826564143007361,0.7826564143007361,0.7830901682439537,0.7830901682439537,7560.277548653056,7560.277548653056,0.444775,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
magic_ball,3e-05,0.25,0.7826564143007361,0.7826859884332282,0.7830901682439537,0.7831361724500526,7560.277548653056,7560.184795696029,0.444475,2.9574132492121707e-05,3.0586606587305655e-05,0.9668981228011035,0.35,4.600420609884304e-05,5.231227044618301e-05,0.8794152061545583,0.4
magic_ball,3e-05,1.0,0.7826564143007361,0.7827237776025237,0.7830901682439537,0.7832939011566772,7560.277548653056,7560.1560659213965,0.445,6.736330178759297e-05,9.112207985773559e-05,0.7392643132461855,0.625,0.00020373291272344775,0.00010459807443754162,1.9477692473689108,0.55
magic_ball,3e-05,2.0,0.7826564143007361,0.7827960699263932,0.7830901682439537,0.783425341745531,7560.277548653056,7560.5582774612,0.44775,0.0001396556256572007,0.00011468355544275364,1.2177476109633898,0.6,0.000335173501577285,0.00015177087024462874,2.2084178672563617,0.525
magic_ball,3e-05,5.0,0.7826564143007361,0.6142218717139853,0.7830901682439537,0.611264458464774,7560.277548653056,12011.016776998458,0.99065,-0.16843454258675078,0.005984175585458718,-28.146657828028854,0.0,-0.17182570977917982,0.005191877129391238,-33.09510327324076,0.0
