experiment,eta,s,rev_train,rev_train_sd,nrev_train,nrev_train_sd,rev_test,rev_test_sd,nrev_test,nrev_test_sd,rev_U,nrev_U,proj_rev,proj_nrev,d_train,se_train,t_train,win_train,d_test,se_test,t_test,win_test
titanic_ball,3e-05,0.0,0.7970692883895131,0.011692945171904619,0.7970692883895131,0.011692945171904619,0.8047672253258846,0.012762169662029602,0.8047672253258846,0.012762169662029602,384.2576593075204,384.2576593075204,0.09577333333333334,0.09577333333333334,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
titanic_ball,3e-05,0.25,0.7970692883895131,0.011692945171904619,0.7968164794007491,0.012112195766684309,0.8047672253258846,0.012762169662029602,0.8046927374301677,0.012581887162000255,384.2576593075204,384.183342674673,0.09577333333333334,0.09694222222222222,-0.0002528089887640387,0.0002892793793983965,-0.8739267530571868,0.3333333333333333,-7.448789571694518e-05,0.0005978683554310158,-0.12458912575034231,0.28
titanic_ball,3e-05,1.0,0.7970692883895131,0.011692945171904619,0.7969194756554306,0.011864195780451633,0.8047672253258846,0.012762169662029602,0.8052886405959032,0.012011354839511202,384.2576593075204,383.9242889322391,0.09577333333333334,0.10085333333333334,-0.00014981273408239736,0.0006421644994194553,-0.23329339167430557,0.48,0.0005214152700186229,0.0008721360432865355,0.5978600174047787,0.36
titanic_ball,3e-05,2.0,0.7970692883895131,0.011692945171904619,0.7971722846441947,0.011632156918968307,0.8047672253258846,0.012762169662029602,0.8052513966480446,0.013026040635231112,384.2576593075204,383.73722072451454,0.09577333333333334,0.10366222222222223,0.0001029962546816517,0.0008025810931011745,0.12833127464250876,0.4533333333333333,0.0004841713221601511,0.0009786562280008444,0.4947307423253156,0.46
titanic_ball,3e-05,5.0,0.7970692883895131,0.011692945171904619,0.7970224719101122,0.011623655743441909,0.8047672253258846,0.012762169662029602,0.806294227188082,0.01373771883512233,384.2576593075204,383.8992184693778,0.09577333333333334,0.10590666666666666,-4.681647940074714e-05,0.0009650854813792065,-0.04851018930866266,0.4533333333333333,0.0015270018621973975,0.0011649174824960862,1.310824058477917,0.48
titanic_lp,3e-05,0.0,0.8055617977528089,0.00653414907128178,0.8055617977528089,0.00653414907128178,0.8042458100558659,0.011503497364231284,0.8042458100558659,0.011503497364231284,371.6753565785109,371.6753565785109,0.03725,0.03725,0.0,1e-300,0.0,0.0,0.0,1e-300,0.0,0.0
titanic_lp,3e-05,0.25,0.8055617977528089,0.00653414907128178,0.8059082397003743,0.006587052959215528,0.8042458100558659,0.011503497364231284,0.8050651769087522,0.011416984435900196,371.6753565785109,371.5423914517241,0.03725,0.038143333333333335,0.00034644194756553966,0.00036213636411536225,0.9566615835773318,0.41333333333333333,0.0008193668528864051,0.000749960793482376,1.09254625042697,0.38666666666666666
titanic_lp,3e-05,1.0,0.8055617977528089,0.00653414907128178,0.8054775280898876,0.006933777421185798,0.8042458100558659,0.011503497364231284,0.8045065176908753,0.011695214957238416,371.6753565785109,371.51154898902263,0.03725,0.04124,-8.426966292135463e-05,0.0005254683296226037,-0.16037058404999954,0.4666666666666667,0.00026070763500930517,0.0009384484889621297,0.27780708059707454,0.3933333333333333
titanic_lp,3e-05,2.0,0.8055617977528089,0.00653414907128178,0.8049719101123594,0.007986619131901173,0.8042458100558659,0.011503497364231284,0.80487895716946,0.012127804451252087,371.6753565785109,371.37937502942293,0.03725,0.042543333333333336,-0.0005898876404494447,0.0006189465179285627,-0.9530510688122622,0.42,0.0006331471135940385,0.000988028730084034,0.6408185251254667,0.4
titanic_lp,3e-05,5.0,0.8055617977528089,0.00653414907128178,0.803941947565543,0.008252499625155636,0.8042458100558659,0.011503497364231284,0.8046182495344506,0.012465926705010205,371.6753565785109,372.20759266723064,0.03725,0.045086666666666664,-0.0016198501872659165,0.0006742903907768612,-2.402303531865047,0.38666666666666666,0.0003724394785847318,0.0010297325422360317,0.3616856448723969,0.36666666666666664
