geometry,seed_offset,iteration,reversible,non_reversible,paired_diff,paired_se,t_stat
L1-smooth ball,101,100,0.557925,0.7069500000000001,0.14902500000000002,0.010331921641107225,14.42374469886414
L1-smooth ball,202,100,0.5491999999999999,0.7189000000000001,0.16970000000000002,0.012392277246476343,13.694012538999079
L1-smooth ball,303,100,0.550125,0.71075,0.160625,0.010691104522409782,15.024172634671334
L1-smooth ball,404,100,0.5307000000000001,0.707075,0.17637500000000003,0.01156816507410826,15.246583954335215
unit ball,101,60,0.5387,0.66695,0.12825,0.009719519826440277,13.195096289748594
unit ball,202,60,0.5452750000000001,0.6674500000000002,0.12217499999999999,0.008124477838699245,15.03788950202375
unit ball,303,60,0.5438250000000001,0.6612250000000001,0.1174,0.008892307423449288,13.202422544503195
unit ball,404,60,0.5423,0.66845,0.12615,0.009725877956267085,12.970551405974867
