geometry,iteration,reversible,non_reversible,paired_diff,paired_se,t_stat
L1-smooth ball,50,0.5276,0.612975,0.08537499999999998,0.013531219746507808,6.30948292906365
L1-smooth ball,100,0.5567749999999999,0.721975,0.16519999999999999,0.011143331565731964,14.82500982991693
L1-smooth ball,150,0.5845750000000001,0.7354000000000002,0.150825,0.010356465737680861,14.563365903026147
L1-smooth ball,200,0.61205,0.743325,0.131275,0.009930344209095226,13.219582044272435
L1-smooth ball,300,0.6653749999999999,0.7548250000000002,0.08945,0.00765055784590479,11.691957867867245
L1-smooth ball,400,0.7075,0.765675,0.058175000000000004,0.005595233248132745,10.397243049593028
L1-smooth ball,600,0.7594499999999997,0.78385,0.02439999999999999,0.003006541689265747,8.115636675558262
L1-smooth ball,1000,0.7964249999999999,0.7991749999999999,0.0027500000000000037,0.0017895953495557359,1.5366602291868308
unit ball,50,0.5427500000000001,0.654275,0.111525,0.008552341445003189,13.040288524163154
unit ball,100,0.580975,0.6766,0.09562499999999999,0.007279708809666452,13.13582761346486
unit ball,150,0.6151999999999999,0.6901249999999999,0.074925,0.005904271587570983,12.689965034420807
unit ball,200,0.64405,0.6992249999999999,0.055174999999999995,0.004051320865788805,13.619015088615363
unit ball,300,0.6868,0.7093249999999998,0.022524999999999986,0.0021638953721975973,10.40946816995323
unit ball,400,0.7066749999999999,0.7161,0.009425000000000008,0.0016891868673202717,5.5796076694296355
unit ball,600,0.7196499999999999,0.7224999999999998,0.0028500000000000014,0.001154164615466945,2.4693184679266618
unit ball,1000,0.725425,0.7246499999999999,-0.0007750000000000045,0.0009492787001218622,-0.8164093431154782
