geometry,iteration,rev_train,nr_train,rev_test,nr_test,rev_test_sd,nr_test_sd,paired_diff,paired_se,t_stat
L1-smooth ball,0,0.49950000000000006,0.49950000000000006,0.5016999999999999,0.5016999999999999,0.05205120827443185,0.05205120827443185,0.0,0.0,
L1-smooth ball,10,0.50245,0.5007875,0.5023,0.50215,0.06704784964049287,0.0736571877899999,-0.00014999999999999985,0.004377949222403041,-0.03426261758186071
L1-smooth ball,20,0.5073624999999999,0.5117812500000001,0.506075,0.5107,0.08055619078467759,0.08900337639719637,0.0046249999999999954,0.008502849715408847,0.543935286968389
L1-smooth ball,30,0.51276875,0.53581875,0.5122,0.5344000000000001,0.09215248671675012,0.09630360241644047,0.022199999999999998,0.011880310083359259,1.8686380948166934
L1-smooth ball,40,0.5213875,0.57501875,0.51895,0.5727500000000001,0.10197307279746737,0.09913928830109929,0.05379999999999999,0.013715428531328497,3.922589795653205
L1-smooth ball,50,0.5290125,0.615425,0.5276,0.612975,0.10475917548589646,0.09389017802892392,0.08537499999999998,0.013531219746507808,6.30948292906365
L1-smooth ball,60,0.5362125,0.6557000000000001,0.534475,0.6514250000000001,0.10737236667906053,0.09546884242378438,0.11695,0.01377110776556879,8.492417748149805
L1-smooth ball,70,0.542425,0.6920499999999999,0.5407249999999999,0.6843500000000001,0.10697003203012166,0.07938257639018423,0.14362499999999997,0.012712952464063388,11.297533000771853
L1-smooth ball,80,0.5485562500000001,0.7149125000000001,0.54635,0.70545,0.10738478674487564,0.06054819017388822,0.1591,0.01185713142613194,13.418085225011454
L1-smooth ball,90,0.55396875,0.7264562499999999,0.5513250000000001,0.716125,0.10701084092631725,0.05316186332439084,0.1648,0.01136474479442562,14.500985546180852
L1-smooth ball,100,0.559725,0.7347125000000001,0.5567749999999999,0.721975,0.10677095694745245,0.04858645189845425,0.16519999999999999,0.011143331565731964,14.82500982991693
L1-smooth ball,110,0.5659000000000001,0.7401375,0.5625749999999999,0.7263499999999999,0.10672018957833783,0.04825937392587239,0.16377500000000006,0.011168277529672963,14.664302491128714
