factor,value,tag,peak_gap,peak_iteration,peak_t,rev_at_peak,nr_at_peak,gap_at_100,t_at_100,gap_at_400,gap_final,t_final,final_iteration,projection_rate_nr,bayes_ceiling,verdict
kappa_v2,2,map_kappa_v22,0.009666666666666665,470,2.4420571081331066,0.7341666666666666,0.7438333333333332,0.0014999999999999963,0.2855588486755779,0.0032499999999999972,0.0004583333333333254,0.40180397839237575,1500,2.2222222222222223e-05,0.8352189175511772,tie
kappa_v2,4,map_kappa_v24,0.01866666666666667,380,3.3745620548257986,0.7056666666666668,0.7243333333333333,0.001666666666666659,0.25783134147707576,0.017,0.0003749999999999994,0.31481789849722686,1500,1.1111111111111112e-05,0.8352189175511774,NR wins (small)
kappa_v2,8,map_kappa_v28,0.049499999999999995,310,5.422246542655353,0.6747083333333334,0.7242083333333333,0.010624999999999996,1.1882881511948276,0.04145833333333333,0.0008750000000000018,0.7029250116754796,1500,1.1111111111111112e-05,0.835218917551177,NR wins
kappa_v2,16,map_kappa_v216,0.09308333333333335,220,6.799486899237316,0.627625,0.7207083333333333,0.04341666666666667,3.879527490823269,0.05316666666666666,0.0012916666666666651,1.0587723237353628,1500,1.1111111111111112e-05,0.8352189175511772,NR wins
kappa_v2,32,map_kappa_v232,0.134,150,8.749996354268747,0.5892916666666665,0.7232916666666667,0.10274999999999998,6.157801406471158,0.05687499999999999,0.0019583333333333306,1.6214741287621905,1500,1.1111111111111112e-05,0.835218917551177,NR wins
kappa_v2,64,map_kappa_v264,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
kappa_v2,128,map_kappa_v2128,0.17991666666666664,90,11.458429371454033,0.549375,0.7292916666666668,0.1764166666666667,11.217912055998928,0.060791666666666674,0.0015000000000000033,1.0931828585330803,1500,0.0002111111111111111,0.8156104386967344,NR wins
kappa_v2,256,map_kappa_v2256,0.18933333333333333,70,12.070961523467313,0.5397083333333333,0.7290416666666666,0.18320833333333333,11.682203492773924,0.06404166666666666,0.0009583333333333333,0.611265664314837,1500,0.0010888888888888888,0.8156104386967342,NR wins
s,0,map_s0,0.0,0,,0.5015416666666667,0.5015416666666667,0.0,,0.0,0.0,,1500,0.0,0.8197389218183079,tie
s,0.5,map_s0.5,0.03325000000000001,250,6.730184728888324,0.6600416666666666,0.6932916666666665,0.0063750000000000065,0.9133301462226229,0.02591666666666666,0.0007500000000000007,0.6976456413394462,1500,0.0,0.8197389218183079,NR wins
s,1,map_s1,0.08041666666666665,240,8.943773395099788,0.6544166666666666,0.7348333333333332,0.038583333333333344,3.170442661100128,0.050749999999999997,0.0025000000000000022,1.8928803320381908,1500,0.0,0.8197389218183079,NR wins
s,2,map_s2,0.13945833333333332,140,8.77842843088654,0.5932916666666668,0.7327500000000001,0.1075,6.601254037275989,0.057666666666666665,0.0012916666666666742,0.9006420469052916,1500,0.0,0.8197389218183079,NR wins
s,3,map_s3,0.16049999999999998,120,9.666865828365776,0.5805833333333336,0.7410833333333334,0.1584166666666667,8.793254711216731,0.06054166666666667,0.00133333333333334,0.9950711098717191,1500,0.0,0.8197389218183079,NR wins
s,4,map_s4,0.17979166666666666,100,10.774453575352677,0.5663750000000001,0.7461666666666666,0.17979166666666666,10.774453575352677,0.06366666666666666,0.0006250000000000071,0.42321807590092564,1500,2.2222222222222223e-05,0.8197389218183079,NR wins
s,6,map_s6,0.19054166666666666,100,11.037161736409027,0.5663750000000001,0.7569166666666667,0.19054166666666666,11.037161736409027,0.066875,0.0015416666666666727,1.0555667083229532,1500,0.0007333333333333333,0.8197389218183079,NR wins
s,8,map_s8,0.20116666666666663,100,11.860414767700618,0.5663750000000001,0.7675416666666666,0.20116666666666663,11.860414767700618,0.07225,-0.0003749999999999957,-0.25246355498773637,1500,0.009244444444444444,0.8197389218183079,NR wins
s,12,map_s12,0.20787500000000006,110,11.995893486774191,0.5740416666666666,0.7819166666666667,0.2044583333333333,11.311110655693684,0.08316666666666665,-0.0007916666666666664,-0.4589931210917512,1500,0.044811111111111114,0.8197389218183079,NR wins
s,16,map_s16,0.20275,110,11.399497764481863,0.5740416666666666,0.7767916666666667,0.1875,10.510778778138356,0.07658333333333332,-0.006541666666666657,-2.7435301301205453,1500,0.3285444444444444,0.8197389218183079,unstable (projection pinned)
eta,2e-06,map_eta2e-06,0.16741666666666663,340,9.888709205391553,0.5664583333333333,0.7338749999999999,0.007791666666666668,0.45886544472591884,0.16308333333333333,0.05108333333333333,7.2723592622014746,1500,0.0,0.8197389218183079,NR wins
eta,4e-06,map_eta4e-06,0.17120833333333332,170,10.188797566700499,0.5650000000000001,0.7362083333333332,0.10362500000000001,4.870591207582132,0.12258333333333332,0.009583333333333322,4.918416729822425,1500,0.0,0.8197389218183079,NR wins
