arm,eta,n_iter,proj,train_half_mean,train_half_var,train_half_bias,train_half_mse,test_half_mean,test_half_var,test_half_bias,test_half_mse,U0_half_mean,U0_half_var,U0_half_bias,U0_half_mse
rev,0.0001,2000,0.28777125,0.7990472035265319,7.97653082940635e-06,0.00012428384692420025,7.991977304012628e-06,0.8060264671718568,1.0800587662564251e-05,0.00022747386470500786,1.0852332021688082e-05,383.241558441193,0.565289603680895,-0.2644277985140775,0.6352116643078966
nrev,0.0001,2000,0.29815125,0.7969761305484475,5.023616537235829e-06,-0.0019467891311601981,8.813604458439307e-06,0.8044012390065822,5.2725536726659905e-06,-0.0013977543005695425,7.2262707574266415e-06,384.16825516911854,0.6871471542415598,0.6622689294114821,1.1257472891053903
rev,0.0003,667,0.4466829085457271,0.7988374046950235,8.86349886673395e-06,-8.55149845842007e-05,8.870811679322385e-06,0.8058007033120509,1.073823907075335e-05,1.7100048991247618e-06,1.0738241994870104e-05,383.18784466343595,0.5758187782576122,-0.3181415762711026,0.677032840809874
nrev,0.0003,667,0.70380059970015,0.6062856766653293,2.0317707318471167e-05,-0.19263724301427843,0.037129425103460637,0.6046838836791699,2.421415636974405e-05,-0.20111510962798185,0.040471501477044904,530.1714923080712,8.13138156979097,146.6655060683641,21518.902051859135
rev,0.001,200,0.6564125,0.7985159639559456,8.108185786639593e-06,-0.00040695572366211685,8.273798747660951e-06,0.8052547154156755,1.1723548374340668e-05,-0.0005442778914762636,1.2019786797490515e-05,383.18582502969554,0.6130410556168896,-0.32016121001151987,0.7155442560129301
nrev,0.001,200,0.8793625,0.5443717668817445,1.3808800470020746e-05,-0.2545511527978632,0.06481009819119114,0.5408255434481994,1.5773191532185863e-05,-0.2649734498589523,0.07022670232168692,580.8272566826757,8.649534223553745,197.32127044296868,38944.33330345074
rev,0.003,67,0.8275746268656716,0.7968053949107735,8.829335546722111e-06,-0.0021175247688342003,1.3313246693348444e-05,0.8034813506408149,1.1365324522005923e-05,-0.0023176426663368277,1.6736792050830803e-05,383.715324036027,0.6824786959914676,0.2093377963199714,0.7263010089595694
nrev,0.003,67,0.9581716417910447,0.5466475958360872,6.185104037226558e-05,-0.25227532384352047,0.06370469006072539,0.5458577062109761,0.0001421552679519367,-0.2599412870961757,0.06771162800516839,597.1441718686209,44.76125949741345,213.63818562891385,45686.03561831166
