potential,label,labels,s1,s2,s3,b1,b2,b3,overall,overall_se,overall_t,bias_nrev,bias_rev,admissible,rhat,acc_rev,acc_nrev,d_acc_pts,t_acc,proj_nrev
lasso,composed s* = s* REVERSED,composed s*|s* REVERSED,20.0,5.0,20.0,3.3847071448346586,4.081073339077077,7.276750784830418,4.649550827355063,0.028811480353000168,53.33882882230282,0.5521848925364514,0.19602052741834985,False,1.0328757008959981,0.8057664448717867,0.8038620259758243,-0.19044188959624922,-23.903378654067797,0.33594596354166667
lasso,s* ROTATED,s* ROTATED,5.0,20.0,20.0,2.088999971690676,20.69016267804357,18.30594583702659,9.249072225343856,0.03701133963701811,60.10382948436159,24.47301830539276,0.19602052741834985,False,1.0328757008959981,0.8057664448717867,0.7262077575498674,-7.955868732191929,-505.72777286974485,0.7187799479166667
lasso,"best uniform (5,5,5) = project default (5,5,5)","best uniform (5,5,5)|project default (5,5,5)",5.0,5.0,5.0,1.4676086451913692,4.317562084563389,2.683344571780378,2.57143232514915,0.02360681121290597,40.00807479256952,0.20128557454535614,0.19602052741834985,True,1.0328757008959981,0.8057664448717867,0.8054030126471837,-0.036343222460305524,-5.2994030837807715,0.32726822916666665
lasso,"requested (4,2,7)","requested (4,2,7)",4.0,2.0,7.0,1.3435983772260063,2.3726061292149803,3.3443164400673777,2.2009026202797655,0.02062645217708684,38.24543122560449,0.1996086483398701,0.19602052741834985,True,1.0328757008959981,0.8057664448717867,0.8056533232461609,-0.011312162562580306,-1.6048649899980993,0.326533203125
lasso,"requested REVERSED (7,2,4)","requested REVERSED (7,2,4)",7.0,2.0,4.0,1.6700105057092283,2.344885796067819,2.3162921968608186,2.085505859681815,0.01497786928009487,49.07316458909681,0.1982254498537028,0.19602052741834985,True,1.0328757008959981,0.8057664448717867,0.8056739285033719,-0.009251636841482724,-1.3166766577480202,0.32625130208333336
lasso,"ascending (2,5,10)","ascending (2,5,10)",2.0,5.0,10.0,1.1367843927281291,4.286375678017803,4.286324032375542,2.7539186755242575,0.030098668654275396,33.65679997085351,0.20442075279790783,0.19602052741834985,True,1.0328757008959981,0.8057664448717867,0.8052872289939762,-0.04792158778104533,-6.957725747137663,0.3282903645833333
lasso,"descending (10,5,2)","descending (10,5,2)",10.0,5.0,2.0,1.9638392871795964,4.273175363512807,1.571816900256853,2.36275960841869,0.022475454191151507,38.256413160650204,0.2014296292187205,0.19602052741834985,True,1.0328757008959981,0.8057664448717867,0.8054187884335904,-0.034765643819633055,-4.9412226029071125,0.3274498697916667
graded,"composed s* = descending (10,5,2)","composed s*|descending (10,5,2)",10.0,5.0,2.0,2.0147184652012493,3.7853141778895107,1.6324214534616384,2.3176589604571576,0.02357697968877504,35.651623683474035,0.1209315441542885,0.10558326843843203,False,1.0543643693816693,0.7964559306716269,0.796357130172527,-0.009880049909994037,-1.1986017365499415,0.08921354166666666
graded,"s* REVERSED = ascending (2,5,10)","s* REVERSED|ascending (2,5,10)",2.0,5.0,10.0,1.164322839235319,2.795079225621036,4.309346178984739,2.411531693951476,0.04065355887079506,21.652768606930298,1.0627503018448061,0.10558326843843203,False,1.059472676043165,0.7964559306716269,0.7978095644236433,0.13536337520161795,13.180276829730687,0.15352669270833333
graded,s* ROTATED,s* ROTATED,5.0,2.0,10.0,1.5213401109935318,1.418604857066395,4.339095109712021,2.107797941228016,0.0355295123303085,20.986603076491676,1.0180424438339408,0.10558326843843203,False,1.0594217407497226,0.7964559306716269,0.7978744131611265,0.14184824894996584,13.942886997054849,0.15312044270833333
graded,"best uniform (2,2,2)","best uniform (2,2,2)",2.0,2.0,2.0,1.1162995235893456,1.9590383912497742,1.6224184127464034,1.5252072146346232,0.01477965539137256,28.56157793260059,0.10064361673157114,0.10558326843843203,True,1.0543643693816693,0.7964559306716269,0.7964941882264895,0.0038257554862580526,0.473694208832215,0.08788346354166666
graded,"project default (5,5,5)","project default (5,5,5)",5.0,5.0,5.0,1.4741223597910942,3.7148975487984237,2.8956512189413957,2.5123233892958923,0.029288629249325942,31.452751518515807,0.16018114120355811,0.10558326843843203,False,1.0543643693816693,0.7964559306716269,0.7966134485168115,0.015751784518455943,1.9024730220360275,0.093353515625
graded,"requested (4,2,7)","requested (4,2,7)",4.0,2.0,7.0,1.352636136696245,1.850969940274656,3.523106172367021,2.0661825734212758,0.028401116538812547,25.551908717599726,0.222176948997302,0.10558326843843203,False,1.0543643693816693,0.7964559306716269,0.7971093347968544,0.06534041252274081,8.055903504690871,0.099970703125
graded,"requested REVERSED (7,2,4)","requested REVERSED (7,2,4)",7.0,2.0,4.0,1.6861850323138672,1.947472472357581,2.5282677082679106,2.0248827086136885,0.020798263713007352,33.9216670652894,0.10668893898728611,0.10558326843843203,True,1.0543643693816693,0.7964559306716269,0.7966110992411046,0.015516856947770294,1.9749773734979954,0.09017578125
