variant,kind,k,lam2,eta,n_meas,aniso_within,aniso_between,aniso_total,ess_ratio_geo,ess_ratio_se,ess_ratio_t,ess_ratio_total,ratio_min,ratio_max,acc_rev,acc_nrev,d_acc_pts,t_acc,proj_rev,proj_nrev,rhat_max
lasso,iso,1.0,0.0,0.0001,24000,2.3069497631153837,2.3807285346670044,15.277128614201088,2.6122239293727425,0.02396975863739059,40.058890590660816,2.861653547447703,1.2195089313056662,7.47322500505201,0.8060274054598598,0.8055902134629784,-0.04371919968813216,-7.751335805175652,0.32407118055555556,0.32578993055555555,1.0184818737072783
iso,iso,1.0,35.6,0.0001,24000,1.6929844739767916,2.3692126100996265,5.484316279762505,2.2118534748887515,0.023079741923767785,34.395135053042246,2.5463701510417507,1.1816001910665717,6.538459158592258,0.797409156390905,0.7969150120869798,-0.04941443039252249,-6.450623991090404,0.03285199652777778,0.033474826388888886,1.018180442436316
between k=10,between,10.0,35.6,0.0001,24000,1.729015016526039,3.6795009078201435,5.424990421741615,1.8766394084554934,0.022371089443726084,28.138219649953136,1.770938345551275,1.0843033345428712,5.944481108720582,0.7773343288664547,0.7769789115571886,-0.03554173092659765,-3.431474156976033,0.06389149305555555,0.06471310763888889,1.0083992505229609
within k=3,within,3.0,35.6,0.0001,24000,2.9521773475791684,2.3203499287469844,9.290780586897714,2.535599837276158,0.025590311108674563,36.35869166658163,2.9624533717136394,1.062798728142957,9.515731503357154,0.796678901253872,0.7963477244369832,-0.03311768168887698,-4.293790729542797,0.05847612847222222,0.05983940972222222,1.026291391772198
within k=10,within,10.0,35.6,0.0001,24000,6.840570032298337,2.3185728697845294,16.819361038454755,2.5822719637364817,0.02899253209906878,32.72117158602142,2.866492863285527,1.055863227096911,13.771592078747265,0.7976723395722488,0.7975020063504852,-0.017033322176344033,-2.2270040681184406,0.08338020833333333,0.0878984375,1.028611744143356
within k=30,within,30.0,35.6,0.0001,24000,16.30355592253779,2.3641541076766845,35.572731973211845,2.4562725739593145,0.03217516733226214,27.929768872037368,2.240974697565973,1.0578318114090506,14.214299905537704,0.7981610480706244,0.7984075698533403,0.0246521782715835,3.181422994706835,0.09273871527777777,0.10746527777777778,1.0292175866793734
within k=10 @eta/3,within,10.0,35.6,3.3333333333333335e-05,72000,6.909809693883689,2.317104732523141,17.006363077140776,2.5340621613638095,0.028538056724422042,32.58188255429801,2.8471144567145177,1.04947617487076,12.700080446726924,0.7976769510361926,0.7975357849601815,-0.014116607601136316,-1.689477873297256,0.04932320601851852,0.05002633101851852,1.0309193288526555
