variant,coord,block,c_j,ess_rev,ess_nrev,ratio,rhat_rev,rhat_nrev
lasso,1,1,1.0,173.69307488479458,211.52635431052832,1.2195089313056662,1.0058787462247638,1.00476159125852
lasso,2,1,1.0,158.6832864520168,229.63206107693955,1.457331875429422,1.0068359294751348,1.0044767216263228
lasso,3,1,1.0,245.7424289672324,447.30257545183093,1.8513114488002473,1.0046270063606266,1.0019643513545322
lasso,4,2,1.0,99.76833466345892,723.4267735914509,7.47322500505201,1.0094946839071333,1.0015830682776252
lasso,5,2,1.0,114.84479697100699,192.74664765148654,1.651303991897163,1.0091787803951142,1.0060730404235754
lasso,6,2,1.0,111.43893216411094,732.3417372013322,6.806458916623451,1.009959315073171,1.00062129012832
lasso,7,3,1.0,58.11865891018643,82.44718350066285,1.403449632681411,1.0184818737072783,1.0122212821228738
lasso,8,3,1.0,105.61310980087156,360.8968273770685,3.500918402184975,1.0111801352527678,1.0011363321250886
lasso,9,3,1.0,65.67402533812209,263.58347632617694,4.1709555255014035,1.0164714291483026,1.0057930904494399
iso,1,1,1.0,192.0198706786019,233.8137796595929,1.2194550550712666,1.005204237869529,1.0043177734471707
iso,2,1,1.0,177.77018431372508,237.05427382909897,1.341618433355184,1.0059589055005078,1.0041755524638663
iso,3,1,1.0,264.5219271781119,445.6245956406842,1.7103980504790037,1.0042812464359734,1.0021211700516657
iso,4,2,1.0,117.86470094125887,751.410517559957,6.538459158592258,1.0081426414249823,1.0015470020650588
iso,5,2,1.0,108.87119658574225,140.83718321766935,1.2903458497954723,1.0105800251990193,1.008830176170237
iso,6,2,1.0,123.38366873382445,753.3094316490284,6.3064689114083405,1.0089542718386442,1.0009662370880772
iso,7,3,1.0,61.33580750338543,73.28510148276224,1.1816001910665717,1.018180442436316,1.014838598371846
iso,8,3,1.0,119.81152412804363,335.3645826028997,2.856200018023477,1.0094256626561378,1.00170144474569
iso,9,3,1.0,70.83836786385608,177.67650871165975,2.5216697020029564,1.0161037594055955,1.0080214183177154
between k=10,1,1,0.1,170.0058336444889,243.12905818666704,1.4296942029276194,1.0061597560098865,1.004418099267765
between k=10,2,1,0.1,133.783084193405,164.9808571261308,1.2375699833937464,1.0080320068564608,1.00617252356107
between k=10,3,1,0.1,214.8012290185408,404.76948445398193,1.9212807713451552,1.0053572395882395,1.002305442501186
between k=10,4,2,1.0,126.07653161389327,720.9782555595825,5.836911231912717,1.0071876021379458,1.0007345170438906
between k=10,5,2,1.0,128.368495602467,217.92658453313925,1.6940817930207142,1.0083992505229609,1.0056257529569892
between k=10,6,2,1.0,124.105255801203,720.1613627718237,5.944481108720582,1.0083742917904612,1.0004781024195457
between k=10,7,3,10.0,399.3993541387803,432.0900375083329,1.0843033345428712,1.002617546065868,1.0023208618626862
between k=10,8,3,10.0,558.5558281121822,656.5194800890216,1.1771124181926556,1.0017603574351943,1.0015332425663974
between k=10,9,3,10.0,430.87724711357623,487.7618730863316,1.1319404485153013,1.0023250193022157,1.0020877657265714
within k=3,1,1,0.3333333333333333,155.4425279923972,180.45230677621407,1.1611800661042186,1.0066663252050183,1.0057133426768918
within k=3,2,1,1.0,175.37323236203193,276.43254872842135,1.5865737343482844,1.006167169516338,1.0038178536221143
within k=3,3,1,3.0,346.89890871717176,625.9828692660531,1.8271297906851869,1.0032710011289838,1.001303985658842
within k=3,4,2,0.3333333333333333,82.26135040512766,752.62140594637,9.515731503357154,1.0121399825583828,1.0033707358198611
within k=3,5,2,1.0,107.41244201567486,158.64707785530828,1.464646715931364,1.0107251082003352,1.0077190517736723
within k=3,6,2,3.0,209.0827115829501,950.7413747060685,4.67546040647056,1.0055112983225023,1.000993534758678
within k=3,7,3,0.3333333333333333,42.783910883789325,45.69131944312951,1.062798728142957,1.026291391772198,1.024442067612099
within k=3,8,3,1.0,118.56305983792674,560.5496809923012,4.826700913674541,1.0094148039425497,1.0011297246747608
within k=3,9,3,3.0,152.90294316697086,568.8277894760133,3.8503157564540293,1.0073248824343737,1.0029460121342018
within k=10,1,1,0.1,145.87806858482864,170.1362101925621,1.1663317752133102,1.0071545901555419,1.0062981605140693
within k=10,2,1,1.0,174.54296028561768,295.7158492858172,1.7044940779325124,1.0063343083522822,1.0038341534457518
within k=10,3,1,10.0,644.8531164182589,1066.8960273374416,1.665238658280229,1.0017583036616302,1.00061889054735
within k=10,4,2,0.1,72.14900981321313,959.4957620912313,13.771592078747265,1.0141131032350996,1.0042805076098533
within k=10,5,2,1.0,95.82634450853486,142.24974937765165,1.4663095737717042,1.0119975525829932,1.008887655409654
within k=10,6,2,10.0,521.5710176304883,1555.0815268398076,3.0182236186773204,1.0023370531300648,1.0004528881955324
within k=10,7,3,0.1,39.22185107964668,41.60770320758777,1.055863227096911,1.028611744143356,1.0273254713672895
within k=10,8,3,1.0,117.20726716657423,897.8248078658945,7.8242540858522185,1.0094957143873111,1.0008750639159252
within k=10,9,3,10.0,422.9558692684543,1275.3264982972212,3.062752393134786,1.0025547123380236,1.0009331818160163
within k=30,1,1,0.03333333333333333,142.09074054095052,167.61211593505064,1.1795600981773262,1.007402493539113,1.006464046368965
within k=30,2,1,1.0,172.23617401881097,298.8692853461271,1.7480824496363478,1.0064808328394752,1.0039240793304776
within k=30,3,1,30.0,1509.9679279482252,2120.2299389570353,1.4088376952432196,1.0007229255239984,1.000214459433842
within k=30,4,2,0.03333333333333333,69.05880791358025,1060.7562688590385,14.214299905537704,1.0147996402860011,1.0045179877758084
within k=30,5,2,1.0,90.58602974445357,128.87214272993114,1.407176134980696,1.0126547854853596,1.0097891923183588
within k=30,6,2,30.0,1409.652519369494,2893.5806983259877,2.062461860667013,1.0008473427946276,1.0001216439810336
within k=30,7,3,0.03333333333333333,38.42228766464,40.82032031395703,1.0578318114090506,1.0292175866793734,1.0281506982982207
within k=30,8,3,1.0,115.2409474209386,1321.0647431399932,11.718514125175073,1.0096435612892902,1.000799987660599
within k=30,9,3,30.0,1200.7415183597675,2608.335522143325,2.190771336253697,1.00090636155318,1.0002842748354603
within k=10 @eta/3,1,1,0.1,146.58004639399113,170.21105403193746,1.1631511771543535,1.0067771367311344,1.0057708764003437
within k=10 @eta/3,2,1,1.0,172.49025343728817,283.60185411462675,1.6526839127931876,1.0066644685601684,1.0041350260232518
within k=10 @eta/3,3,1,10.0,629.5838564030341,1041.355899956693,1.669278492704118,1.0017805528414363,1.0006019421960832
within k=10 @eta/3,4,2,0.1,73.74453877796073,908.9679284593313,12.700080446726924,1.0149292828177578,1.0049601666050536
within k=10 @eta/3,5,2,1.0,100.58553044668935,140.45599345905762,1.3870120896029268,1.012958894734771,1.0096059235826365
within k=10 @eta/3,6,2,10.0,518.0460978526363,1585.9668553652766,3.0849339885825016,1.0022190550662389,1.000524327350057
within k=10 @eta/3,7,3,0.1,40.53128592262024,42.57291200642383,1.04947617487076,1.0309193288526555,1.028855232894422
within k=10 @eta/3,8,3,1.0,117.20067294226135,882.7320705685402,7.727463431763707,1.0075106062255887,1.0009385289668382
within k=10 @eta/3,9,3,10.0,422.7083361440198,1268.9165446249508,3.046901946607701,1.002638217476507,1.0009483784679634
