experiment,eta,s,train,test,d_train,t_train,d_test,t_test,U,proj
magic_ball,1e-06,reversible,0.7808510778128286,0.7809989484752892,0.0,0.0,0.0,0.0,7591.343099911864,0.00044
magic_ball,1e-06,"(1,1,1)",0.781044952681388,0.7808937960042062,0.00019387486855940384,2.1390890704652454,-0.0001051524710830698,-0.7473507511704467,7589.885633030095,0.00037
magic_ball,1e-06,"(5,5,5)",0.7813045478443744,0.7811461619348055,0.0004534700315457385,2.937829743694679,0.0001472134595162955,0.7215830610282646,7586.542070603009,0.00047
magic_ball,1e-06,"(5,0,0)",0.7809273133543638,0.7811435331230284,7.62355415352256e-05,0.8723964334816766,0.00014458464773922097,1.2652385327286324,7590.428007413546,0.00047
magic_ball,1e-06,"(0,5,0)",0.780910883280757,0.7808044164037854,5.980546792849095e-05,0.7957093437045085,-0.00019453207150368134,-1.556657359578793,7590.018724765125,0.00049
magic_ball,1e-06,"(0,0,5)",0.7811369610935854,0.7810725552050473,0.0002858832807570921,2.1609463424513757,7.360672975814997e-05,0.3900305198159322,7588.446206773341,0.00046
magic_ball,1e-06,"balanced (0.207, 0.492, 2.3)",0.780969374342797,0.7808412197686646,0.00011829652996844908,1.5194151595093028,-0.0001577287066246069,-1.3021244443240447,7589.297820039916,0.00048
magic_ball,1e-06,"balanced (1.036, 2.462, 11.502)",0.7811389327024186,0.7812513144058887,0.0002878548895899025,2.0025707956383543,0.0002523659305993686,1.3010706912091172,7585.372771492702,0.00055
magic_ball,1e-06,"reversed (11.502, 2.462, 1.036)",0.7808970820189275,0.7807754994742377,4.600420609883749e-05,0.35699664100190953,-0.00022344900105152664,-1.303956703395011,7589.019420966295,0.00054
magic_ball,1e-06,"(2,7,2)",0.7811073869610936,0.7810646687697161,0.00025630914826498154,2.3095876971967346,6.572029442691529e-05,0.40443970598617657,7586.647641783364,0.00053
magic_ball,1e-05,reversible,0.7830494216614089,0.7835199789695058,0.0,0.0,0.0,0.0,7560.10925293765,0.2537
magic_ball,1e-05,"(1,1,1)",0.7829791009463724,0.7835488958990535,-7.032071503680459e-05,-1.5789279028209764,2.8916929547844193e-05,0.38846998670885424,7560.036255146293,0.2534
magic_ball,1e-05,"(5,5,5)",0.7829449263932702,0.7834647739221872,-0.00010449526813879672,-0.9595961071531065,-5.5205047318611646e-05,-0.42295043727159565,7560.8150508649915,0.25901
magic_ball,1e-05,"(5,0,0)",0.7829238958990534,0.7834542586750787,-0.00012552576235541513,-1.2778968758504532,-6.572029442691862e-05,-0.5167946631485797,7560.851873971966,0.25718
magic_ball,1e-05,"(0,5,0)",0.7830139327024186,0.7834463722397476,-3.548895899054161e-05,-0.6295081372277729,-7.360672975814886e-05,-0.8889646823143287,7560.101936423437,0.25352
magic_ball,1e-05,"(0,0,5)",0.7829633280757098,0.7835147213459518,-8.60935856992684e-05,-2.2355706366809125,-5.25762355415349e-06,-0.0768817315414697,7560.087243661568,0.25496
magic_ball,1e-05,"balanced (0.207, 0.492, 2.3)",0.7829823869610937,0.7835410094637224,-6.703470031545811e-05,-2.0429075375524937,2.103049421661396e-05,0.3583650241220902,7560.049638956964,0.2538
magic_ball,1e-05,"balanced (1.036, 2.462, 11.502)",0.7829764721345951,0.7835094637223976,-7.294952681388244e-05,-1.0594243659174438,-1.051524710830698e-05,-0.10269889128068416,7560.1292274341695,0.25791
magic_ball,1e-05,"reversed (11.502, 2.462, 1.036)",0.5746148790746582,0.570205047318612,-0.20843454258675082,-51.493109105457556,-0.2133149316508938,-57.135025658356696,13211.5216185122,0.98858
magic_ball,1e-05,"(2,7,2)",0.782927839116719,0.783454258675079,-0.00012158254468980334,-1.658194639411726,-6.572029442691862e-05,-0.6067447762947039,7560.653090783673,0.25554
magic_lp,1e-06,reversible,0.7808510778128286,0.7809989484752892,0.0,0.0,0.0,0.0,7591.283641209414,0.0
magic_lp,1e-06,"(1,1,1)",0.7812315983175604,0.7810883280757099,0.0003805205047318505,4.192425745964666,8.937960042060934e-05,0.6004307875021954,7589.372264794904,0.0
magic_lp,1e-06,"(5,5,5)",0.7810758412197687,0.7810751840168243,0.0002247634069400517,1.2352861311214558,7.623554153522449e-05,0.33401871758396007,7585.999274901453,0.0
magic_lp,1e-06,"(5,0,0)",0.7808234752891693,0.7809647739221873,-2.7602523659314703e-05,-0.2715872766993887,-3.4174553101999905e-05,-0.22146258044101844,7591.036090083606,0.0
magic_lp,1e-06,"(0,5,0)",0.7809299421661409,0.7810042060988432,7.886435331229569e-05,0.9332565252573034,5.2576235541546e-06,0.0424075204540377,7589.423179627815,0.0
magic_lp,1e-06,"(0,0,5)",0.7810916140904312,0.7810856992639327,0.00024053627760251662,1.6377542499871627,8.675078864353036e-05,0.40751031135966365,7587.94857981496,0.0
magic_lp,1e-06,"balanced (0.208, 0.491, 2.301)",0.7813052050473185,0.7814826498422714,0.0004541272344900016,4.079907477105611,0.0004837013669821211,2.933304581626481,7588.376199590222,0.0
magic_lp,1e-06,"balanced (1.04, 2.455, 11.505)",0.7814662197686647,0.7812539432176657,0.0006151419558359561,5.031009649129996,0.0002549947423764432,1.2628421656898696,7585.456776365884,0.0
magic_lp,1e-06,"reversed (11.505, 2.455, 1.04)",0.7009772607781283,0.7001051524710832,-0.07987381703470033,-7.856767047532424,-0.08089379600420614,-7.9465265277607005,10592.125392529262,0.21299
magic_lp,1e-06,"(2,7,2)",0.7813387223974765,0.781401156677182,0.0004876445846477317,3.582521104520289,0.00040220820189274307,2.327246855489936,7586.585327350359,0.0
magic_lp,1e-05,reversible,0.783642875920084,0.7841377497371188,0.0,0.0,0.0,0.0,7557.5842710849865,0.0
magic_lp,1e-05,"(1,1,1)",0.7834424290220819,0.7840299684542588,-0.00020044689800210568,-2.2061005901773143,-0.00010778128286014654,-1.1814863722849493,7557.644803766798,0.0
magic_lp,1e-05,"(5,5,5)",0.5334923764458466,0.5357754994742376,-0.25015049947423756,-39.45633072305707,-0.2483622502628812,-40.13136212669213,16806.515252088004,0.9726
magic_lp,1e-05,"(5,0,0)",0.5469039169295479,0.5483385909568875,-0.23673895899053626,-43.74303431215763,-0.23579915878023136,-44.976603592347765,16704.505689428093,0.97217
magic_lp,1e-05,"(0,5,0)",0.7835646687697161,0.7839195583596213,-7.820715036803483e-05,-1.2582319598820264,-0.00021819137749736983,-2.1701757854998815,7558.556580056277,0.0
magic_lp,1e-05,"(0,0,5)",0.7836395899053628,0.7840509989484752,-3.286014721344266e-06,-0.06090250760161183,-8.675078864353258e-05,-1.023033218117882,7557.65963652485,0.0
magic_lp,1e-05,"balanced (0.208, 0.491, 2.301)",0.7835942429022081,0.7840615141955836,-4.863301787591978e-05,-0.958305756579331,-7.62355415352256e-05,-0.9723636620113989,7557.651172306836,0.0
magic_lp,1e-05,"balanced (1.04, 2.455, 11.505)",0.7832754994742376,0.7838853838065194,-0.000367376445846469,-1.6137334632690512,-0.0002523659305993686,-0.9859440196138058,7564.760062650714,0.00207
magic_lp,1e-05,"reversed (11.505, 2.455, 1.04)",0.5223836750788644,0.5251077812828602,-0.2612592008412198,-43.368029243276,-0.25902996845425863,-43.9842938170501,18540.938181850997,0.99567
magic_lp,1e-05,"(2,7,2)",0.758693480546793,0.757463196635121,-0.024949395373291265,-4.136058803316289,-0.026674553101997896,-4.190150036811305,8244.78855403604,0.14359
titanic_ball,1e-05,reversible,0.7646207865168542,0.7702234636871507,0.0,0.0,0.0,0.0,400.0559776382082,0.00206
titanic_ball,1e-05,"(1,1,1)",0.7666432584269662,0.7722346368715084,0.002022471910112358,1.2299286681900616,0.002011173184357544,0.7316147580456324,398.95582185281864,0.00226
titanic_ball,1e-05,"(5,5,5)",0.7775140449438203,0.786703910614525,0.012893258426966297,6.225742005946824,0.01648044692737431,4.948179061161229,396.07702843273285,0.00272
titanic_ball,1e-05,"(5,0,0)",0.7656882022471911,0.77,0.0010674157303370846,1.6676092213450342,-0.00022346368715083441,-0.1828360073166657,399.7739196755504,0.002013333333333333
titanic_ball,1e-05,"(0,5,0)",0.7767556179775282,0.7876536312849163,0.012134831460674162,6.903016027432361,0.01743016759776537,6.200591760840543,396.6317309707691,0.0030666666666666668
titanic_ball,1e-05,"(0,0,5)",0.766938202247191,0.7753072625698324,0.0023174157303370822,2.096057087969592,0.005083798882681564,2.471450919473692,399.69253043787364,0.0017933333333333334
titanic_ball,1e-05,"balanced (1.669, 0.666, 0.665)",0.7662078651685392,0.7710614525139664,0.0015870786516853951,1.1402208406950618,0.0008379888268156476,0.39238474152421915,399.23663437252765,0.00222
titanic_ball,1e-05,"balanced (8.346, 3.328, 3.326)",0.7759129213483148,0.7867597765363128,0.011292134831460677,4.924048888879357,0.01653631284916202,4.774017923717978,396.5620808910296,0.0022533333333333333
titanic_ball,1e-05,"reversed (3.326, 3.328, 8.346)",0.7778370786516854,0.7876536312849164,0.013216292134831468,6.152812328420234,0.017430167597765372,4.870485976750002,396.0276101564582,0.0024733333333333335
titanic_ball,1e-05,"(2,7,2)",0.777064606741573,0.7874860335195533,0.0124438202247191,5.212034322824072,0.017262569832402243,4.316112083421817,395.8786166726158,0.0022
titanic_ball,3e-05,reversible,0.7985674157303371,0.8054189944134079,0.0,0.0,0.0,0.0,383.97351023973454,0.09637333333333334
titanic_ball,3e-05,"(1,1,1)",0.7984129213483148,0.8062011173184358,-0.00015449438202246756,-0.22704494821372237,0.0007821229050279377,0.8774268044544011,383.6852261893051,0.10254666666666666
titanic_ball,3e-05,"(5,5,5)",0.7987780898876405,0.805977653631285,0.00021067415730337434,0.19687823355578407,0.0005586592178770988,0.39484872015877925,383.7178787785784,0.10830666666666666
titanic_ball,3e-05,"(5,0,0)",0.7979494382022471,0.8056983240223464,-0.0006179775280898758,-1.0374859194113752,0.00027932960893854887,0.2878284007607999,384.003659334666,0.09726
titanic_ball,3e-05,"(0,5,0)",0.7981601123595504,0.8068715083798881,-0.00040730337078651366,-0.53668857141687,0.0014525139664804466,1.146382876885514,383.7235336975184,0.10623333333333333
titanic_ball,3e-05,"(0,0,5)",0.7975140449438204,0.8061452513966482,-0.0010533707865168517,-1.5523955167133083,0.0007262569832402221,0.6960755382171451,383.86014416372336,0.09792666666666666
titanic_ball,3e-05,"balanced (1.669, 0.666, 0.665)",0.7984691011235957,0.8060893854748605,-9.831460674157522e-05,-0.1671386896440222,0.0006703910614525233,0.8003414080992883,383.693531606087,0.10048666666666667
titanic_ball,3e-05,"balanced (8.346, 3.328, 3.326)",0.7991011235955056,0.8069832402234637,0.0005337078651685467,0.4989835633774051,0.0015642458100558632,1.2432388439091735,383.6503633269461,0.10809333333333333
titanic_ball,3e-05,"reversed (3.326, 3.328, 8.346)",0.7981741573033709,0.8065921787709498,-0.00039325842696628975,-0.42455166400187827,0.0011731843575419076,0.9210988092392624,383.75258850023323,0.10703333333333333
titanic_ball,3e-05,"(2,7,2)",0.798497191011236,0.8068715083798881,-7.022471910112183e-05,-0.06553491069302987,0.0014525139664804498,1.0861943041771651,383.7125151510712,0.10697333333333334
titanic_lp,1e-05,reversible,0.7822612359550563,0.7920670391061452,0.0,0.0,0.0,0.0,390.71164781663737,0.0
titanic_lp,1e-05,"(1,1,1)",0.7878089887640449,0.8003351955307262,0.005547752808988757,4.217800603153329,0.00826815642458101,4.183604967757812,390.4809369007478,0.0
titanic_lp,1e-05,"(5,5,5)",0.7902949438202248,0.8003351955307262,0.008033707865168535,4.403533508998423,0.008268156424581013,3.6263878610921214,386.9841681887549,0.0
titanic_lp,1e-05,"(5,0,0)",0.78186797752809,0.7910614525139664,-0.0003932584269662964,-0.5569524132850794,-0.0010055865921787632,-0.9788661777311896,390.5316264757062,0.0
titanic_lp,1e-05,"(0,5,0)",0.7891151685393258,0.7988826815642459,0.006853932584269653,4.115076092339953,0.0068156424581005595,3.2734130714756664,388.10737983064996,0.0
titanic_lp,1e-05,"(0,0,5)",0.7824859550561797,0.7927374301675977,0.00022471910112358717,0.18791125566433614,0.0006703910614525189,0.405601473606094,389.74520793095434,0.0
titanic_lp,1e-05,"balanced (1.663, 0.653, 0.683)",0.785688202247191,0.7981005586592181,0.0034269662921348277,2.827072924610872,0.006033519553072628,3.3396092981449086,391.10019995017285,0.0
