geometry,iteration,rev_train,nr_train,rev_test,nr_test,rev_test_sd,nr_test_sd,paired_diff,paired_se,t_stat
L1-smooth ball,0,0.49950000000000006,0.49950000000000006,0.5016999999999999,0.5016999999999999,0.05205120827443185,0.05205120827443185,0.0,0.0,
L1-smooth ball,10,0.5026875000000001,0.5008312500000001,0.5021999999999999,0.5023000000000001,0.06738559328089486,0.07443616341700064,9.999999999999759e-05,0.004432991556659468,0.022558130039695753
L1-smooth ball,20,0.5074500000000001,0.511975,0.506175,0.511375,0.08088404766495473,0.0884200367792301,0.005200000000000005,0.00854819078264902,0.6083158567956721
L1-smooth ball,30,0.51310625,0.53729375,0.5125000000000001,0.5357999999999999,0.09248259459503883,0.09610658014659948,0.0233,0.011959151856687545,1.9482986987050144
L1-smooth ball,40,0.5216500000000001,0.57680625,0.5196000000000001,0.574,0.10227631419074724,0.09909310997463167,0.05439999999999998,0.01377851130338012,3.948176896778005
L1-smooth ball,50,0.52953125,0.618575,0.52785,0.615525,0.10507994791845614,0.09352813477745343,0.087675,0.01352678109596595,6.481586371361258
L1-smooth ball,60,0.53691875,0.6588624999999999,0.535075,0.65435,0.1072977631395337,0.09478152709672849,0.11927499999999998,0.013730693286622969,8.686742723778034
L1-smooth ball,70,0.54304375,0.6950062500000002,0.5411999999999999,0.6871500000000001,0.10725599509980076,0.0774229985667741,0.14595,0.012577476060021109,11.604076947036944
L1-smooth ball,80,0.5493312499999999,0.7169312500000002,0.5467749999999999,0.7076,0.10724705677485366,0.05946087755487602,0.16082500000000002,0.01176704947226909,13.667402383155567
L1-smooth ball,90,0.55478125,0.727975,0.552075,0.7175,0.10671640353211068,0.051789931161346114,0.16542500000000002,0.01127150329885777,14.676391925180363
L1-smooth ball,100,0.5606500000000001,0.736375,0.5575749999999999,0.723475,0.1065342780469737,0.048724766844392434,0.16590000000000005,0.01111098282754228,14.931172388167276
L1-smooth ball,110,0.5669125,0.7410374999999999,0.5636999999999999,0.726875,0.10644358775303178,0.048386041010258986,0.163175,0.0112006975229224,14.568289132534812
L1-smooth ball,120,0.5725187500000001,0.7440750000000002,0.5696,0.7295249999999999,0.10613487226689967,0.04778911877966965,0.15992499999999998,0.011058011344676308,14.462365339948143
L1-smooth ball,130,0.5785312499999999,0.7463125,0.5747749999999999,0.7314,0.10510041795128769,0.04658992607979984,0.156625,0.010959600687170234,14.291122867583283
L1-smooth ball,140,0.583925,0.7487625,0.580725,0.7335250000000001,0.10403676445654132,0.04593459200237053,0.15279999999999996,0.010650394785683257,14.346886014535409
L1-smooth ball,150,0.5904874999999999,0.750175,0.58565,0.7358750000000002,0.10185131022200644,0.04583316115670139,0.150225,0.010305809813357266,14.576729312944893
L1-smooth ball,160,0.5967,0.7525562499999999,0.59145,0.73675,0.10073416109801685,0.04498246010582033,0.1453,0.010266233757106622,14.153194193480994
L1-smooth ball,170,0.6021437500000001,0.7544625,0.596625,0.73775,0.09968978081523651,0.04430082540216526,0.141125,0.010203694060228748,13.830775321857919
L1-smooth ball,180,0.6079874999999999,0.7564,0.601925,0.7399499999999999,0.09894063557854714,0.043869037193018316,0.138025,0.010020074232572462,13.774848049660081
L1-smooth ball,190,0.6135562499999999,0.7577625,0.6077499999999999,0.74165,0.09739310379419411,0.04367756630101771,0.13390000000000002,0.009937959061247451,13.473591426044008
L1-smooth ball,200,0.6195625,0.7598937499999998,0.613825,0.743925,0.09655064549998953,0.042678997685446446,0.13010000000000002,0.009867424213342638,13.184798503350045
L1-smooth ball,210,0.6255187499999999,0.76105625,0.618,0.7454500000000002,0.09416767229283364,0.04110435721207889,0.12745,0.009717602221190828,13.11537528486959
L1-smooth ball,220,0.6318062499999999,0.7629625,0.6247750000000001,0.746075,0.09279137496382284,0.03984226316794059,0.1213,0.009451796900402836,12.833538561840045
L1-smooth ball,230,0.6368312500000001,0.7638062500000002,0.6308,0.7475750000000002,0.09131881658577418,0.0399217273947636,0.11677499999999999,0.009238307857541178,12.64030186054876
L1-smooth ball,240,0.6434875,0.7661500000000001,0.6370499999999999,0.7483500000000001,0.08794969579196389,0.03880021998271493,0.1113,0.008808891284183593,12.63496124646693
L1-smooth ball,250,0.6490937500000001,0.7676624999999998,0.642725,0.7497750000000001,0.08655156619675412,0.0382361993985339,0.10705000000000002,0.008607782184826366,12.43642063674726
L1-smooth ball,260,0.65460625,0.7692250000000002,0.6479250000000001,0.7511,0.08309667532154912,0.03718694242430651,0.103175,0.008177934017707639,12.616267113013592
L1-smooth ball,270,0.6602624999999999,0.7703812500000001,0.6521750000000001,0.7520750000000003,0.08301199788542192,0.036338154739873486,0.09990000000000002,0.008240384662983847,12.123220466728332
L1-smooth ball,280,0.6652374999999999,0.7716062499999999,0.657875,0.7542750000000001,0.08090505643385744,0.035221691477057865,0.0964,0.007937915661589324,12.144245934290874
L1-smooth ball,290,0.670425,0.7727812499999999,0.6631,0.7551499999999999,0.07782971570335233,0.034958164029640235,0.09204999999999998,0.0076871744818985035,11.974490785496828
L1-smooth ball,300,0.67593125,0.77488125,0.66755,0.7554750000000001,0.0759726326323559,0.035315488275276787,0.087925,0.007553600970812704,11.640143600349598
L1-smooth ball,310,0.68110625,0.7763125,0.672825,0.758225,0.07556074467846143,0.03469618316562539,0.08539999999999999,0.007456584778949178,11.452964397467095
