geometry,seed_offset,iteration,reversible,non_reversible,paired_diff,paired_se,t_stat
L1-smooth ball,101,100,0.5589,0.708325,0.149425,0.01030879631992293,14.49490273769587
L1-smooth ball,202,100,0.549975,0.71935,0.169375,0.012366018064752201,13.69681000893751
L1-smooth ball,303,100,0.5508249999999999,0.7143499999999999,0.163525,0.010252007379193125,15.950534753991768
L1-smooth ball,404,100,0.5316000000000001,0.708475,0.17687500000000003,0.011494584528587735,15.387681004050306
unit ball,101,60,0.539925,0.6704749999999998,0.13055,0.009429803119296122,13.844403573268321
unit ball,202,60,0.54685,0.6678250000000001,0.120975,0.008040765375776292,15.045209547395919
unit ball,303,60,0.54505,0.6618999999999999,0.11685000000000001,0.008765291112269362,13.330989068513341
unit ball,404,60,0.543225,0.6688999999999998,0.12567499999999998,0.009721686096328947,12.92728429561789
